[00:00:00.000 --> 00:00:05.000]  我这次讲的怎么这么慢
[00:02:40.000 --> 00:02:41.000]  这个是不是三对不对
[00:02:41.000 --> 00:02:43.000]  三档子启动初期嘛
[00:02:43.000 --> 00:02:45.000]  或者三分也是属于启动初期对不对
[00:02:45.000 --> 00:02:47.000]  来看一下这三根
[00:02:47.000 --> 00:02:49.000]  对的呢这是一个小放量对吧
[00:02:49.000 --> 00:02:51.000]  他就没有达到呢大家可以看
[00:02:51.000 --> 00:02:53.000]  这如果超过这个高度就不够漂亮对不对
[00:02:53.000 --> 00:02:55.000]  然后第二根我就放一点
[00:02:55.000 --> 00:02:56.000]  第三根给他放一点
[00:02:56.000 --> 00:02:58.000]  对的三根K线大家可以看
[00:02:58.000 --> 00:03:00.000]  是不是也是进攻
[00:03:00.000 --> 00:03:02.000]  小分歧停顿进攻有点分歧
[00:03:02.000 --> 00:03:04.000]  然后再向上是这一点点
[00:03:04.000 --> 00:03:05.000]  虽然没有达到对不对
[00:03:05.000 --> 00:03:06.000]  还是有分歧
[00:03:06.000 --> 00:03:08.000]  所以你到这里就出的好
[00:03:08.000 --> 00:03:10.000]  因为后面再上涨也是涨不好
[00:03:10.000 --> 00:03:11.000]  就是涨不好
[00:03:11.000 --> 00:03:14.000]  就是我都用尽了力气我都什么
[00:03:14.000 --> 00:03:16.000]  我在初期我就用尽了力气
[00:03:16.000 --> 00:03:18.000]  你想他后面还能长得有多顺了
[00:03:18.000 --> 00:03:20.000]  就比较困难啊
[00:03:20.000 --> 00:03:22.000]  这个也是一样的呢
[00:03:22.000 --> 00:03:24.000]  大家可以看到第一两种的
[00:03:24.000 --> 00:03:26.000]  一根两根三根对吧
[00:03:26.000 --> 00:03:28.000]  一根两根也是的我们讲的是
[00:03:28.000 --> 00:03:30.000]  像台阶嘛一个台阶一个台阶
[00:03:30.000 --> 00:03:32.000]  像是因为这是一个甲鹰真羊嘛
[00:03:32.000 --> 00:03:34.000]  这个K线是不是跳空的
[00:03:34.000 --> 00:03:36.000]  甲鹰真羊的长上一线对吧
[00:03:36.000 --> 00:03:38.000]  一根两根三根
[00:03:38.000 --> 00:03:40.000]  那么你到了第三根对吧
[00:03:40.000 --> 00:03:41.000]  又是给你看就是
[00:03:41.000 --> 00:03:42.000]  这是一个很漂亮的羊线吧
[00:03:42.000 --> 00:03:44.000]  这是带有下一线的羊线对不对
[00:03:44.000 --> 00:03:46.000]  长进来对不对第三根就要分期
[00:03:46.000 --> 00:03:49.000]  T量到了第三根分期你就出好了
[00:03:49.000 --> 00:03:51.000]  不用好又是防不防刺
[00:03:51.000 --> 00:03:52.000]  大家明白我的意思没有
[00:03:52.000 --> 00:03:56.000]  在启动初期是以正T量的方式启动是不好的
[00:03:56.000 --> 00:03:58.000]  是不好的
[00:03:58.000 --> 00:04:01.000]  然后呢再来看下一个叫倒T量
[00:04:01.000 --> 00:04:06.000]  你这边先写一下好
[00:04:06.000 --> 00:04:08.000]  正T量就是在启动初期
[00:04:08.000 --> 00:04:10.000]  你正T量的方式启动是不够好的
[00:04:10.000 --> 00:04:12.000]  不够漂亮的
[00:04:12.000 --> 00:04:14.000]  好正倒T量记好了啊
[00:04:14.000 --> 00:04:16.000]  倒T量它有个特点
[00:04:16.000 --> 00:04:18.000]  它是先要有一个进攻羊的
[00:04:18.000 --> 00:04:20.000]  倒T量首先前面需要有个进攻羊
[00:04:20.000 --> 00:04:22.000]  就你得有个高亮度或
[00:04:22.000 --> 00:04:24.000]  或者是什么被亮度的进攻羊
[00:04:24.000 --> 00:04:26.000]  你才能够进攻羊
[00:04:26.000 --> 00:04:28.000]  然后呢你再把这个进攻羊
[00:04:28.000 --> 00:04:30.000]  倒T量的方式启动
[00:04:30.000 --> 00:04:32.000]  你再把这个进攻羊
[00:04:32.000 --> 00:04:34.000]  你再把这个进攻羊
[00:04:34.000 --> 00:04:36.000]  你再把这个进攻羊
[00:04:36.000 --> 00:04:38.000]  你再把这个进攻羊
[00:04:38.000 --> 00:04:40.000]  你再把这个进攻羊
[00:04:40.000 --> 00:04:42.000]  你再把这个进攻羊
[00:04:42.000 --> 00:04:44.000]  你才能后面往下缩嘛
[00:04:44.000 --> 00:04:46.000]  先有个放亮
[00:04:46.000 --> 00:04:48.000]  后面再有一个台阶往下走
[00:04:48.000 --> 00:04:50.000]  所以倒T量首先先有一个
[00:04:50.000 --> 00:04:52.000]  高亮度进攻羊
[00:04:52.000 --> 00:04:54.000]  然后这个进攻羊
[00:04:54.000 --> 00:04:56.000]  之后的三天的走势你来看
[00:04:56.000 --> 00:04:58.000]  这三天小杆线小杆线往上分齐
[00:04:58.000 --> 00:05:00.000]  小梁线到修复对不对
[00:05:00.000 --> 00:05:02.000]  顶钝对不对
[00:05:02.000 --> 00:05:04.000]  三天可以先往上走
[00:05:04.000 --> 00:05:06.000]  但是对应的这个成家类
[00:05:06.000 --> 00:05:08.000]  你看这个量是放亮的对不对
[00:05:08.000 --> 00:05:10.000]  这个量是台阶往下朝的
[00:05:10.000 --> 00:05:12.000]  价格往上走的
[00:05:12.000 --> 00:05:14.000]  就是像老大所样
[00:05:14.000 --> 00:05:16.000]  刚才我们看的是价格往上涨
[00:05:16.000 --> 00:05:18.000]  成家类往上涨是正T量对不对
[00:05:18.000 --> 00:05:20.000]  这个就是价格往上
[00:05:20.000 --> 00:05:22.000]  但是成家类是缩亮的
[00:05:22.000 --> 00:05:24.000]  那这个就是好的
[00:05:24.000 --> 00:05:26.000]  强的是倒T量
[00:05:26.000 --> 00:05:28.000]  然后像这种多头驱之条子
[00:05:28.000 --> 00:05:30.000]  你看再次启动又是一个怀抱
[00:05:30.000 --> 00:05:32.000]  对吧又是一个怀抱
[00:05:32.000 --> 00:05:34.000]  是不是高亮度怀抱
[00:05:34.000 --> 00:05:36.000]  怀抱外做你看这三个线是
[00:05:36.000 --> 00:05:38.000]  价格向上的但是成家类
[00:05:38.000 --> 00:05:40.000]  你看是不是缩了
[00:05:40.000 --> 00:05:42.000]  对不对是不是缩了
[00:05:42.000 --> 00:05:44.000]  那就是好的
[00:05:44.000 --> 00:05:46.000]  所以倒T量正T量要好
[00:05:46.000 --> 00:05:48.000]  倒T量首先得要来一个
[00:05:48.000 --> 00:05:50.000]  高亮度进攻阳
[00:05:50.000 --> 00:05:52.000]  然后后面价格往上涨
[00:05:52.000 --> 00:05:54.000]  而成家类往下缩
[00:05:54.000 --> 00:05:56.000]  所以就是倒T量
[00:05:56.000 --> 00:05:58.000]  对都是在
[00:05:58.000 --> 00:06:00.000]  体现在三浪一和三浪初期的时候
[00:06:00.000 --> 00:06:02.000]  T亮度我们只在这里看
[00:06:02.000 --> 00:06:04.000]  三浪一
[00:06:04.000 --> 00:06:06.000]  和三浪初期的时候看
[00:06:06.000 --> 00:06:08.000]  就是我要看你启动的
[00:06:08.000 --> 00:06:10.000]  强弱
[00:06:10.000 --> 00:06:12.000]  就是T量
[00:06:12.000 --> 00:06:14.000]  然后三浪启动初期的强弱
[00:06:14.000 --> 00:06:16.000]  还有我们刚才所讲的倍量
[00:06:16.000 --> 00:06:18.000]  第一个倍量启动之后后面调一调
[00:06:18.000 --> 00:06:20.000]  第二个再次启动的量
[00:06:20.000 --> 00:06:22.000]  后面调前量
[00:06:22.000 --> 00:06:24.000]  就是我们说上升初期的启动
[00:06:24.000 --> 00:06:26.000]  T量中里面
[00:06:26.000 --> 00:06:28.000]  这几个字大家好好去感悟
[00:06:28.000 --> 00:06:30.000]  我觉得价值太大
[00:06:30.000 --> 00:06:32.000]  价升
[00:06:32.000 --> 00:06:34.000]  量升
[00:06:34.000 --> 00:06:36.000]  被动吸筹
[00:06:36.000 --> 00:06:38.000]  后视衰竭
[00:06:38.000 --> 00:06:40.000]  你们课间都有的
[00:06:40.000 --> 00:06:42.000]  老师没带课间
[00:06:42.000 --> 00:06:44.000]  都有的
[00:06:44.000 --> 00:06:46.000]  价升量升被动吸筹
[00:06:46.000 --> 00:06:50.000]  可以看到了
[00:06:50.000 --> 00:06:52.000]  后视衰竭
[00:06:52.000 --> 00:06:54.000]  再来看
[00:06:54.000 --> 00:06:56.000]  价升量缩是不是T亮度了
[00:06:56.000 --> 00:06:58.000]  首先我们说
[00:06:58.000 --> 00:07:00.000]  有个进攻阳
[00:07:00.000 --> 00:07:02.000]  这个T亮度是不是也有个进攻阳
[00:07:02.000 --> 00:07:04.000]  有一个进攻阳
[00:07:04.000 --> 00:07:06.000]  在后面再上涨价升量升
[00:07:06.000 --> 00:07:08.000]  那么T亮度就有个进攻阳
[00:07:08.000 --> 00:07:10.000]  价升量缩
[00:07:10.000 --> 00:07:12.000]  代表着什么
[00:07:12.000 --> 00:07:14.000]  筹马吸受
[00:07:14.000 --> 00:07:16.000]  后视看涨
[00:07:16.000 --> 00:07:18.000]  控盘到位
[00:07:18.000 --> 00:07:20.000]  这八个字
[00:07:20.000 --> 00:07:22.000]  他们这四个字
[00:07:22.000 --> 00:07:24.000]  筹马吸受
[00:07:24.000 --> 00:07:26.000]  筹马吸受说明没有什么抛押了
[00:07:26.000 --> 00:07:28.000]  后视看涨
[00:07:28.000 --> 00:07:30.000]  这个能理解我意思吧
[00:07:30.000 --> 00:07:32.000]  后视看涨
[00:07:32.000 --> 00:07:34.000]  这是我们说的
[00:07:34.000 --> 00:07:36.000]  正体量和倒体量
[00:07:36.000 --> 00:07:38.000]  正体量和倒体量
[00:07:38.000 --> 00:07:40.000]  他们还会出现正体量
[00:07:40.000 --> 00:07:42.000]  他们也会有一些调整
[00:07:42.000 --> 00:07:44.000]  这里有一些细节
[00:07:44.000 --> 00:07:46.000]  我们先来说
[00:07:46.000 --> 00:07:50.000]  正体量我就不讲了
[00:07:50.000 --> 00:07:52.000]  倒体量
[00:07:52.000 --> 00:07:54.000]  先有一个高亮度
[00:07:54.000 --> 00:07:56.000]  价格是不是往上涨了
[00:07:56.000 --> 00:07:58.000]  价升
[00:07:58.000 --> 00:08:00.000]  增加量什么
[00:08:00.000 --> 00:08:02.000]  量缩
[00:08:02.000 --> 00:08:04.000]  是不是量缩
[00:08:04.000 --> 00:08:06.000]  这个时候通常还会有一个回调的动作
[00:08:06.000 --> 00:08:08.000]  但是肯定是多方回调
[00:08:08.000 --> 00:08:10.000]  多方的回调
[00:08:10.000 --> 00:08:12.000]  那个动作
[00:08:12.000 --> 00:08:14.000]  多方回调出现阴线法包
[00:08:14.000 --> 00:08:16.000]  那基本上后面都是V+-
[00:08:16.000 --> 00:08:18.000]  这个法包
[00:08:18.000 --> 00:08:20.000]  基本上你只要大过这个量就好
[00:08:20.000 --> 00:08:22.000]  大过这个量
[00:08:22.000 --> 00:08:24.000]  就可以了
[00:08:24.000 --> 00:08:26.000]  这个叫能力甲
[00:08:26.000 --> 00:08:28.000]  倒体量的一种方式
[00:08:28.000 --> 00:08:30.000]  第二种方式就是我们说的
[00:08:30.000 --> 00:08:32.000]  高亮度进攻阳
[00:08:32.000 --> 00:08:34.000]  之后没有这个
[00:08:34.000 --> 00:08:36.000]  价升量缩
[00:08:36.000 --> 00:08:38.000]  没有这个动作
[00:08:38.000 --> 00:08:40.000]  高亮度进攻阳之后
[00:08:40.000 --> 00:08:42.000]  直接在阳线的身体之内
[00:08:42.000 --> 00:08:44.000]  架平
[00:08:44.000 --> 00:08:46.000]  看明白我意思没有
[00:08:46.000 --> 00:08:48.000]  然后传教的量缩
[00:08:48.000 --> 00:08:50.000]  也是向下缩
[00:08:50.000 --> 00:08:52.000]  架平量缩也是好
[00:08:52.000 --> 00:08:54.000]  这个起动是不是我们所说的怀抱就出来了
[00:08:54.000 --> 00:08:56.000]  这也是属于放量
[00:08:56.000 --> 00:08:58.000]  大过整个调整的量就可以了
[00:08:58.000 --> 00:09:00.000]  不是很大过
[00:09:00.000 --> 00:09:02.000]  大过调整的量就可以了
[00:09:02.000 --> 00:09:04.000]  架平量缩
[00:09:04.000 --> 00:09:06.000]  那么第三种情况就是进攻阳之后
[00:09:06.000 --> 00:09:08.000]  架回
[00:09:08.000 --> 00:09:10.000]  回到阳线的一半
[00:09:10.000 --> 00:09:12.000]  手嘛
[00:09:12.000 --> 00:09:14.000]  架回手 手哪里
[00:09:14.000 --> 00:09:16.000]  手阳线的一半
[00:09:16.000 --> 00:09:18.000]  量呢也是什么
[00:09:18.000 --> 00:09:20.000]  缩
[00:09:20.000 --> 00:09:22.000]  这个手中是什么
[00:09:22.000 --> 00:09:24.000]  是不是反打
[00:09:24.000 --> 00:09:26.000]  手的反打都是一个崴点
[00:09:26.000 --> 00:09:28.000]  就是我们所讲的起动初期
[00:09:28.000 --> 00:09:30.000]  它会有一些变化
[00:09:30.000 --> 00:09:32.000]  但所有的变化都是在多方
[00:09:32.000 --> 00:09:34.000]  趋势多头的进行中进行
[00:09:34.000 --> 00:09:36.000]  你自己想想看
[00:09:36.000 --> 00:09:38.000]  我买完之后可能不一定长
[00:09:38.000 --> 00:09:40.000]  他如果是走的这几种情况
[00:09:40.000 --> 00:09:42.000]  都是很健康的
[00:09:42.000 --> 00:09:44.000]  我们耐心持方就好
[00:09:44.000 --> 00:09:46.000]  就是架升量缩
[00:09:46.000 --> 00:09:48.000]  架平量缩
[00:09:48.000 --> 00:09:50.000]  架回手量缩
[00:09:50.000 --> 00:09:52.000]  都是好的
[00:09:52.000 --> 00:09:54.000]  这个大家能理解了
[00:09:54.000 --> 00:09:56.000]  我们说对于等梯量
[00:09:56.000 --> 00:09:58.000]  包括进攻阳之后的表现
[00:09:58.000 --> 00:10:00.000]  包括我们说高量柱
[00:10:00.000 --> 00:10:02.000]  进攻阳之后的一个表现
[00:10:02.000 --> 00:10:04.000]  架回手量缩
[00:10:04.000 --> 00:10:06.000]  架升量缩
[00:10:06.000 --> 00:10:08.000]  架平量缩
[00:10:08.000 --> 00:10:10.000]  就这几个字对应的图
[00:10:10.000 --> 00:10:12.000]  对应的走势的一个理解
[00:10:12.000 --> 00:10:14.000]  对应的一个走势的一个理解
[00:10:14.000 --> 00:10:16.000]  对应的一个走势的一个理解
[00:10:16.000 --> 00:10:20.000]  这个其实我们可以把它理解为3-2
[00:10:20.000 --> 00:10:24.000]  这些就是属于3-2多方修正过程中的一些
[00:10:24.000 --> 00:10:28.000]  量价走势的一些变化和细节
[00:10:28.000 --> 00:10:30.000]  3-2
[00:10:30.000 --> 00:10:32.000]  因为都是在我们的结构地基的基础之上
[00:10:32.000 --> 00:10:34.000]  来做什么解剖
[00:10:34.000 --> 00:10:36.000]  来做解剖
[00:10:36.000 --> 00:10:42.000]  所以我们说做股票
[00:10:42.000 --> 00:10:46.000]  是一个什么
[00:10:46.000 --> 00:10:48.000]  是一个细腻活对吧
[00:10:48.000 --> 00:10:50.000]  特别是我们这种跟装的
[00:10:50.000 --> 00:10:52.000]  就像大家在做的
[00:10:52.000 --> 00:10:54.000]  我们还要研究公司吗对不对
[00:10:54.000 --> 00:10:56.000]  也不是说我们不能光图形找股
[00:10:56.000 --> 00:10:58.000]  还要研究公司
[00:10:58.000 --> 00:11:00.000]  也特别是现在注册制对吧
[00:11:00.000 --> 00:11:02.000]  新国九条之后
[00:11:02.000 --> 00:11:04.000]  我们不能看的一个公司就得呀
[00:11:04.000 --> 00:11:06.000]  你还是要看一下这家公司不会太差
[00:11:06.000 --> 00:11:08.000]  不要踩雷了啊
[00:11:08.000 --> 00:11:10.000]  所以做股票是一个细腻活
[00:11:10.000 --> 00:11:12.000]  研究公司又是一个什么
[00:11:12.000 --> 00:11:14.000]  又是一门不容易的事
[00:11:14.000 --> 00:11:16.000]  就我研究公司
[00:11:16.000 --> 00:11:18.000]  就靠三个字想象你
[00:11:18.000 --> 00:11:20.000]  我就不来
[00:11:20.000 --> 00:11:22.000]  对我觉得就靠三个字
[00:11:22.000 --> 00:11:24.000]  想象你这个
[00:11:24.000 --> 00:11:26.000]  就是技术是很重要
[00:11:26.000 --> 00:11:28.000]  我们是资金把这个图
[00:11:28.000 --> 00:11:30.000]  这个价值做好准备是很重要的事
[00:11:30.000 --> 00:11:32.000]  但它也不代表
[00:11:32.000 --> 00:11:34.000]  做好了所有的价值就一定能
[00:11:34.000 --> 00:11:36.000]  很好的表现
[00:11:36.000 --> 00:11:38.000]  我们这个是不对不完全对等的
[00:11:38.000 --> 00:11:40.000]  大家应该能理解是吧
[00:11:40.000 --> 00:11:42.000]  所以我们说他为什么能够
[00:11:42.000 --> 00:11:44.000]  要表现得很好这就是我们要去研究
[00:11:44.000 --> 00:11:46.000]  行业与公司跟风口的关系
[00:11:46.000 --> 00:11:48.000]  那这个就是
[00:11:48.000 --> 00:11:50.000]  所以我们说做股票最大的区别
[00:11:50.000 --> 00:11:52.000]  你会发现是什么吗
[00:11:52.000 --> 00:11:54.000]  学同一个技术最终盈利区别
[00:11:54.000 --> 00:11:56.000]  最大的就是
[00:11:56.000 --> 00:12:00.000]  公司与行业跟风口的区别
[00:12:00.000 --> 00:12:02.000]  这个我也叫不来
[00:12:02.000 --> 00:12:04.000]  这个就是靠自己
[00:12:04.000 --> 00:12:06.000]  我就是三个字想象你
[00:12:06.000 --> 00:12:08.000]  也不是不懂行业
[00:12:08.000 --> 00:12:10.000]  我在看的过程中就是靠的一个想象力
[00:12:10.000 --> 00:12:12.000]  举个例子比如说去年中广天泽
[00:12:12.000 --> 00:12:14.000]  我的想象力就是
[00:12:14.000 --> 00:12:16.000]  炒短剧你肯定要涉及内容版权
[00:12:16.000 --> 00:12:18.000]  你中广天泽就是搞这个的
[00:12:18.000 --> 00:12:20.000]  我就不相信你不跟着这个风
[00:12:20.000 --> 00:12:22.000]  这就是我的想象力
[00:12:22.000 --> 00:12:24.000]  就这么简单
[00:12:24.000 --> 00:12:26.000]  那么换了下一个股票又不一样
[00:12:26.000 --> 00:12:28.000]  比如说在炒那个
[00:12:28.000 --> 00:12:30.000]  矿的时候
[00:12:30.000 --> 00:12:32.000]  那个西藏珠峰的时候
[00:12:32.000 --> 00:12:34.000]  我的想象力就很简单
[00:12:34.000 --> 00:12:36.000]  他阿根廷有矿就这么简单
[00:12:36.000 --> 00:12:38.000]  你说你要我跟你讲F10
[00:12:38.000 --> 00:12:40.000]  讲财务照表我不会讲的
[00:12:40.000 --> 00:12:42.000]  我讲不来的
[00:12:42.000 --> 00:12:44.000]  比如说在讲那个储能的时候
[00:12:44.000 --> 00:12:46.000]  我就觉得科社打你做逆变器的
[00:12:46.000 --> 00:12:48.000]  只要你储能炒你逆变器并涨
[00:12:48.000 --> 00:12:50.000]  这就是我的想象力
[00:12:50.000 --> 00:12:52.000]  这个我也不知道怎么教
[00:12:52.000 --> 00:12:54.000]  我就跟大家这么分享
[00:12:54.000 --> 00:12:56.000]  比如说像那个万锋
[00:12:56.000 --> 00:12:58.000]  万锋为什么涨
[00:12:58.000 --> 00:13:00.000]  低空机器要上涨
[00:13:00.000 --> 00:13:02.000]  万锋是做什么配件
[00:13:02.000 --> 00:13:08.000]  它是有飞行器的那个什么
[00:13:08.000 --> 00:13:10.000]  那个配件的
[00:13:10.000 --> 00:13:12.000]  那它必然就会炒
[00:13:12.000 --> 00:13:14.000]  我们就是靠的是什么
[00:13:14.000 --> 00:13:17.000]  就是我对于行业公司封口
[00:13:17.000 --> 00:13:19.000]  我也不懂
[00:13:19.000 --> 00:13:21.000]  我也分享不来
[00:13:21.000 --> 00:13:23.000]  我只能靠我自己的
[00:13:23.000 --> 00:13:25.000]  就是你的想象力
[00:13:25.000 --> 00:13:27.000]  这个我也教不来
[00:13:27.000 --> 00:13:29.000]  但是大家自己都有自己的门道
[00:13:29.000 --> 00:13:31.000]  我们在座的每一位都有对公司行业
[00:13:31.000 --> 00:13:33.000]  或者是封口
[00:13:33.000 --> 00:13:35.000]  你的判断的门道
[00:13:35.000 --> 00:13:37.000]  所有的走势一定要跟它结合起来
[00:13:37.000 --> 00:13:39.000]  跟我们说的技术要结合起来
[00:13:39.000 --> 00:13:41.000]  所以说真心话
[00:13:41.000 --> 00:13:43.000]  炒股学技术学到最后
[00:13:43.000 --> 00:13:45.000]  不是技术的区别了
[00:13:45.000 --> 00:13:47.000]  是什么
[00:13:47.000 --> 00:13:49.000]  是我说的那三个字想象力的区别了
[00:13:49.000 --> 00:13:51.000]  认同吧
[00:13:51.000 --> 00:13:53.000]  最后真的就是想象力的区别了
[00:13:53.000 --> 00:13:55.000]  就像我们说以前做酒的人
[00:13:55.000 --> 00:13:57.000]  就想着老百姓吃饭就要喝酒
[00:13:57.000 --> 00:13:59.000]  对吧
[00:13:59.000 --> 00:14:01.000]  我就做酒就做茅台
[00:14:01.000 --> 00:14:03.000]  这不是想象力吗
[00:14:03.000 --> 00:14:05.000]  有这个持续持续的想象力的增长
[00:14:05.000 --> 00:14:07.000]  它就成了
[00:14:07.000 --> 00:14:09.000]  因为我自己是不会看那么多数据
[00:14:09.000 --> 00:14:11.000]  就是三个字想象力
[00:14:11.000 --> 00:14:13.000]  不好意思
[00:14:13.000 --> 00:14:15.000]  这个又教不明白
[00:14:15.000 --> 00:14:17.000]  但是点到为止吧
[00:14:17.000 --> 00:14:19.000]  对吧
[00:14:19.000 --> 00:14:21.000]  所以做股票就是发现易动和处理易动的游戏
[00:14:21.000 --> 00:14:23.000]  那么量注不单纯是成交量的形态
[00:14:23.000 --> 00:14:25.000]  而是多空斗争的语言
[00:14:25.000 --> 00:14:27.000]  是控盘语分别
[00:14:27.000 --> 00:14:29.000]  进攻语抛盘的语言标志
[00:14:29.000 --> 00:14:31.000]  也是双方斗智斗勇的杰作
[00:14:31.000 --> 00:14:33.000]  是生命有灵性的鲜活体
[00:14:33.000 --> 00:14:35.000]  那量注的变态
[00:14:35.000 --> 00:14:37.000]  主要是功夫在眼里
[00:14:37.000 --> 00:14:39.000]  这个功夫眼里大家应该能够感受出来了
[00:14:39.000 --> 00:14:41.000]  那我们再把这里梳理一下
[00:14:41.000 --> 00:14:43.000]  就是我们所讲的量注
[00:14:43.000 --> 00:14:45.000]  量注有哪些
[00:14:45.000 --> 00:14:47.000]  高量注 质量注
[00:14:47.000 --> 00:14:49.000]  背量注 缩量注
[00:14:49.000 --> 00:14:51.000]  肌肉量注
[00:14:51.000 --> 00:14:53.000]  肌肉量注
[00:14:53.000 --> 00:14:55.000]  肌肉量注
[00:14:55.000 --> 00:14:57.000]  背量注 缩量注
[00:14:57.000 --> 00:14:59.000]  肥量注 还有什么
[00:14:59.000 --> 00:15:01.000]  体量注
[00:15:01.000 --> 00:15:03.000]  体量注里面最好不要正体量
[00:15:03.000 --> 00:15:05.000]  重点主攻
[00:15:05.000 --> 00:15:07.000]  倒体量 对不对
[00:15:07.000 --> 00:15:09.000]  那不同的量注在不同的位置
[00:15:09.000 --> 00:15:11.000]  高量注
[00:15:11.000 --> 00:15:13.000]  背量对阳度穿
[00:15:13.000 --> 00:15:15.000]  后视抗高
[00:15:15.000 --> 00:15:17.000]  在启动阳迫
[00:15:17.000 --> 00:15:19.000]  后的有效性配合后量超前量
[00:15:19.000 --> 00:15:21.000]  是不是在三量初期
[00:15:21.000 --> 00:15:23.000]  对不对 这句话是在三量初期
[00:15:23.000 --> 00:15:25.000]  初期启动的时候
[00:15:25.000 --> 00:15:27.000]  后量超前量 对吧
