[00:00:00.000 --> 00:00:22.800]  (拍攝中)
[00:02:00.100 --> 00:02:02.700]  然後我今天在自我介紹一下我叫黃子涵
[00:02:02.700 --> 00:02:07.500]  然後是聖明老師2020年5月份的學員
[00:02:07.500 --> 00:02:10.400]  然後他現在大概已經有四年的時間
[00:02:10.400 --> 00:02:12.700]  然後在這期間我大概做了
[00:02:12.700 --> 00:02:14.500]  五次分享吧
[00:02:14.500 --> 00:02:15.500]  四到五次
[00:02:15.500 --> 00:02:18.400]  然後每一次分享的時候都會有一種
[00:02:19.700 --> 00:02:21.600]  全新的一種想法
[00:02:21.600 --> 00:02:23.800]  和都說在分享之後
[00:02:23.800 --> 00:02:25.300]  都會產生一種全新的想法
[00:02:25.300 --> 00:02:27.300]  和想要去繼續學習的一種動力
[00:02:27.300 --> 00:02:29.100]  因為在每次分享完之後我就會
[00:02:29.100 --> 00:02:30.800]  自我反駁
[00:02:30.800 --> 00:02:33.100]  就說我雖然是我在講的過程後
[00:02:33.100 --> 00:02:34.800]  在整理的過程當中覺得當時是對的
[00:02:34.800 --> 00:02:36.600]  但是講完之後我就發現我是錯的了
[00:02:36.600 --> 00:02:39.600]  所以說在後面在不斷的學習的過程當中呢
[00:02:39.600 --> 00:02:43.200]  我會慢慢慢慢的持續的去去去去去學習
[00:02:43.200 --> 00:02:45.300]  這也就導致為什麼在第一次講的時候
[00:02:45.300 --> 00:02:46.600]  我信心百倍
[00:02:46.600 --> 00:02:49.200]  到到現在來講我感覺我沒有什麼信心
[00:02:49.200 --> 00:02:51.900]  所以說要所以說是志明老師跟我分享
[00:02:51.900 --> 00:02:53.800]  我跟他說我實在是沒有什麼東西可以分享
[00:02:53.800 --> 00:02:57.600]  我感覺我就感覺好像就不是很有
[00:02:57.600 --> 00:02:58.800]  很有說服力
[00:02:58.800 --> 00:03:00.500]  和我自己自己對於這個
[00:03:00.500 --> 00:03:03.100]  這個整體的這個股票操作已經越來越
[00:03:03.100 --> 00:03:04.700]  就是模擬兩可了
[00:03:04.700 --> 00:03:07.100]  就沒有辦法形成一種很大的
[00:03:07.100 --> 00:03:09.400]  或者是很完全完全的確定性的一種
[00:03:09.400 --> 00:03:10.400]  一種心態
[00:03:10.400 --> 00:03:12.700]  只是說是在某一個節點
[00:03:12.700 --> 00:03:14.100]  或者說是某一個
[00:03:14.100 --> 00:03:16.500]  一個一個一個買入區間
[00:03:16.500 --> 00:03:17.800]  這個標題上已經寫了
[00:03:17.800 --> 00:03:19.100]  就大家自己買入區間裡面
[00:03:19.100 --> 00:03:21.300]  我是去博一個概率
[00:03:21.300 --> 00:03:24.600]  一個向下和向上之間的一個雲虧比的問題
[00:03:24.600 --> 00:03:25.400]  一個問題
[00:03:25.400 --> 00:03:28.100]  那在這裡呢給大家可以做一個簡單的一個
[00:03:28.100 --> 00:03:30.700]  自我分享以下我的所有的分享
[00:03:30.700 --> 00:03:33.100]  全世界在我個人的交易系統裡面
[00:03:33.100 --> 00:03:36.300]  他對與錯這個是需要交給市場去驗證的
[00:03:36.300 --> 00:03:38.300]  也不一定一定適合說
[00:03:38.300 --> 00:03:40.000]  大家所有人
[00:03:40.000 --> 00:03:42.100]  然後所以說大家可以可以當
[00:03:42.100 --> 00:03:44.200]  像聽故事一樣聽一下就可以
[00:03:46.200 --> 00:03:47.300]  嗯
[00:03:47.300 --> 00:03:50.500]  哦這要放大
[00:03:50.500 --> 00:03:56.000]  這就那裡
[00:03:56.000 --> 00:03:59.100]  哦我要點
[00:03:59.100 --> 00:04:01.700]  ok
[00:04:01.700 --> 00:04:05.200]  哦這個是第一個我自我的
[00:04:05.200 --> 00:04:08.100]  雖然說我是從從分析
[00:04:08.100 --> 00:04:09.500]  我是經濟學出身的
[00:04:09.500 --> 00:04:11.600]  所以說我基本上是在分析公司的時候
[00:04:11.600 --> 00:04:15.800]  就盡量是從三張的三張財務代表上面去
[00:04:15.800 --> 00:04:18.900]  著重去發現一家公司的變好
[00:04:18.900 --> 00:04:21.400]  或者是變壞的這麼一個趨勢的一種改變
[00:04:21.400 --> 00:04:23.200]  所以說在這樣的情況之下呢
[00:04:23.200 --> 00:04:25.500]  其實我們在探索
[00:04:25.500 --> 00:04:28.200]  或者是在發現一家公司能夠成長的路徑當中
[00:04:28.200 --> 00:04:30.700]  所尋求的依然也是一個是的改變
[00:04:30.700 --> 00:04:32.600]  在這從正義點上
[00:04:32.600 --> 00:04:36.400]  跟思敏老師對於我們在k線頭上所需要
[00:04:36.400 --> 00:04:38.000]  去尋找那個是的改變的
[00:04:38.000 --> 00:04:40.800]  初衷和本質其實是一模一樣的
[00:04:40.900 --> 00:04:41.700]  所以說在
[00:04:41.700 --> 00:04:45.700]  所以說在後面像像籌和形這樣
[00:04:45.700 --> 00:04:49.300]  兩個有時候我在這裡就不著重的去去展開來去講
[00:04:49.300 --> 00:04:51.700]  因為這方面思敏老師是比較
[00:04:51.700 --> 00:04:53.800]  頂尖的一個存在
[00:04:53.800 --> 00:04:56.000]  在我的認知在我的認知當中啊
[00:04:56.000 --> 00:04:58.800]  然後只是在於是的判斷上面
[00:04:58.800 --> 00:05:00.600]  會有一定的區別
[00:05:00.600 --> 00:05:02.000]  而這個是的判斷上面呢
[00:05:02.000 --> 00:05:04.800]  我們在判斷的時候是
[00:05:04.800 --> 00:05:06.400]  浮於水下的
[00:05:06.400 --> 00:05:09.000]  不是在k線頭上去顯示出來的
[00:05:09.000 --> 00:05:10.600]  我們會更多的是在水下
[00:05:10.800 --> 00:05:12.900]  然後去判斷一下公司的核心競爭力
[00:05:12.900 --> 00:05:13.800]  以及他
[00:05:13.800 --> 00:05:16.800]  自身的盈利能力是否發生轉變的
[00:05:16.800 --> 00:05:17.400]  這麼一個
[00:05:17.400 --> 00:05:20.500]  一個一個拐點上去去做出更多的努力和
[00:05:20.500 --> 00:05:21.500]  和探索
[00:05:21.500 --> 00:05:26.100]  然後接下来我給大家展示一下從2020年開始
[00:05:26.100 --> 00:05:28.000]  就是我開始上課到現在
[00:05:28.000 --> 00:05:31.400]  我大資金的買了一個我就只了
[00:05:31.400 --> 00:05:33.400]  只買了四四個股票
[00:05:33.400 --> 00:05:35.700]  沒信嗎
[00:05:35.700 --> 00:05:36.900]  有人
[00:05:36.900 --> 00:05:39.300]  還還還在進
[00:05:40.700 --> 00:05:42.800]  我就大資金你給我買了四個股票
[00:05:42.800 --> 00:05:44.900]  然後現在這裡給大家先分析一下
[00:05:44.900 --> 00:05:46.700]  就是先給大家看一下
[00:05:46.700 --> 00:05:48.600]  因為
[00:05:48.600 --> 00:05:51.600]  因為因為買錯沒關係嘛
[00:05:51.600 --> 00:05:54.300]  反正就是買對的時候多多一點就可以了
[00:05:54.300 --> 00:05:55.900]  然後這第一個
[00:05:55.900 --> 00:05:57.700]  這能看能看的情況
[00:05:57.700 --> 00:06:02.300]  後面能後面能看的情況
[00:06:02.300 --> 00:06:04.000]  然後這個
[00:06:04.000 --> 00:06:05.900]  這個票我買入的
[00:06:05.900 --> 00:06:08.500]  區間是是是是在這個位置
[00:06:08.500 --> 00:06:10.000]  我這裡給大家畫了一個
[00:06:10.800 --> 00:06:11.300]  嗯
[00:06:11.300 --> 00:06:13.200]  好慢慢
[00:06:13.200 --> 00:06:18.000]  我買入的區間是在這個位置
[00:06:18.000 --> 00:06:22.500]  所有的基本上是所有的下領線的一個區間
[00:06:22.500 --> 00:06:23.600]  然後我大概買了
[00:06:23.600 --> 00:06:25.500]  這個是這個是月線
[00:06:25.500 --> 00:06:28.100]  其實其實相對來說我是在這根
[00:06:28.100 --> 00:06:31.500]  這根大這根月線的下下半的位置
[00:06:31.500 --> 00:06:34.100]  是進行做出了一個買入的持續買入
[00:06:34.100 --> 00:06:35.900]  大概買入的一個星期左右
[00:06:35.900 --> 00:06:39.700]  在這在這個位置然後
[00:06:40.200 --> 00:06:40.800]  但是呢
[00:06:40.800 --> 00:06:44.200]  我希望我買入的理由後面再講
[00:06:44.200 --> 00:06:46.300]  這個後面再講因為他是失敗了嘛
[00:06:46.300 --> 00:06:48.500]  所以說就要到後面的幾幾年來講
[00:06:48.500 --> 00:06:50.800]  然後最後賣車是在這裡賣車
[00:06:50.800 --> 00:06:53.600]  在這個位置所以說整個下
[00:06:53.600 --> 00:06:56.700]  下低區是大概是30%到40%的一個回水
[00:06:56.700 --> 00:06:58.500]  然後同時在這個地方的我也
[00:06:58.500 --> 00:07:01.600]  可以完全把他就是我還是加入了一個市場
[00:07:01.600 --> 00:07:04.400]  所以說我到這為止我已經接近接近爆倉了
[00:07:04.400 --> 00:07:06.900]  對於當時的一個一個倉位的
[00:07:06.900 --> 00:07:09.100]  就是當時的倉位的一個量來說
[00:07:09.400 --> 00:07:10.200]  我已經接近
[00:07:10.200 --> 00:07:13.100]  我就是我是接近爆我是接近爆倉的一個
[00:07:13.100 --> 00:07:14.300]  一個
[00:07:14.300 --> 00:07:16.900]  一個一個資金曲線
[00:07:16.900 --> 00:07:19.000]  所以說在這位置呢我最終沒有辦法
[00:07:19.000 --> 00:07:19.800]  我只能選擇
[00:07:19.800 --> 00:07:20.800]  前倉出局
[00:07:20.800 --> 00:07:22.500]  這是第一個
[00:07:22.500 --> 00:07:25.500]  這是第一個一個失敗的案例啊
[00:07:25.500 --> 00:07:26.700]  然後這是第二個
[00:07:26.700 --> 00:07:29.400]  這個這個第二個是去年
[00:07:29.400 --> 00:07:34.100]  2023年4月份的時候
[00:07:34.100 --> 00:07:35.700]  我是在
[00:07:35.700 --> 00:07:37.600]  這個
[00:07:38.500 --> 00:07:40.700]  陰線和這個陽線的時候
[00:07:40.700 --> 00:07:43.700]  基本上這個是周邊線吧
[00:07:43.700 --> 00:07:45.400]  所以大概我就在這兩個
[00:07:45.400 --> 00:07:46.700]  這兩個
[00:07:46.700 --> 00:07:48.400]  k線的時候我是買了
[00:07:48.400 --> 00:07:49.600]  兩個禮拜
[00:07:49.600 --> 00:07:52.400]  然後買完之後才就開始轉到向下
[00:07:52.400 --> 00:07:54.400]  結果我是在這個地方
[00:07:54.400 --> 00:07:56.500]  把它賣出了
[00:07:56.500 --> 00:08:00.400]  對就是就是在在我買了那麼多買了買了買了
[00:08:00.400 --> 00:08:02.800]  之後又是經歷過這麼大一波的
[00:08:02.800 --> 00:08:06.600]  一個一個接近60%左右的一個一個
[00:08:06.600 --> 00:08:07.600]  一個回水
[00:08:07.800 --> 00:08:10.200]  就是我把推損也可以給放放給大家看
[00:08:10.200 --> 00:08:11.900]  對然後可以看一下
[00:08:11.900 --> 00:08:14.100]  大家也可以在結合這兩天的學習過程當中
[00:08:14.100 --> 00:08:14.900]  可以看一下
[00:08:14.900 --> 00:08:18.600]  他為什麼失敗或者說他不可能成功的理由是什麼
[00:08:18.600 --> 00:08:21.500]  因為大家也可以大家先看一下
[00:08:21.500 --> 00:08:30.400]  這個失敗的理由到時候讓四位老師來給他解釋一下啊
[00:08:36.000 --> 00:08:38.400]  然後這個是一個一個一個成功的案例
[00:08:38.400 --> 00:08:42.900]  這個是在2020年的9月
[00:08:42.900 --> 00:08:44.900]  這我還記得很清楚
[00:08:44.900 --> 00:08:47.900]  9月底一個區間9月底的最後一個禮拜
[00:08:47.900 --> 00:08:49.300]  買了一個禮拜
[00:08:49.300 --> 00:08:50.800]  大概位置在這個位置
[00:08:50.800 --> 00:08:52.400]  然後我賣出的位置在這個位置
[00:08:52.400 --> 00:08:58.100]  就是在大概是在這個是上個下個一次在170
[00:08:58.100 --> 00:08:59.600]  我那會賣下168
[00:08:59.600 --> 00:09:01.400]  168左右
[00:09:01.400 --> 00:09:05.000]  大概是做到是是是是
[00:09:05.100 --> 00:09:07.200]  就持倉持道是這麼一個東西
[00:09:07.200 --> 00:09:08.300]  這是
[00:09:08.300 --> 00:09:10.500]  第一個成功的案例
[00:09:10.500 --> 00:09:16.000]  然後這個是最新做的
[00:09:16.000 --> 00:09:18.400]  這是2023年1月份
[00:09:18.400 --> 00:09:19.800]  在這個區間
[00:09:19.800 --> 00:09:22.600]  買了一個禮拜
[00:09:22.600 --> 00:09:25.200]  大概就是買了一個禮拜大概在這個區間
[00:09:25.200 --> 00:09:26.000]  然後
[00:09:26.000 --> 00:09:27.600]  現在還沒賣
[00:09:27.600 --> 00:09:29.600]  然後大家知道
[00:09:29.600 --> 00:09:30.200]  對
[00:09:30.200 --> 00:09:31.200]  這個位置
[00:09:31.200 --> 00:09:32.700]  現在還沒有賣
[00:09:32.700 --> 00:09:35.000]  現在就還沒有做出一個賣出的動作
[00:09:35.400 --> 00:09:36.500]  但這個位置我還願意
[00:09:36.500 --> 00:09:38.400]  可能有點懸了
[00:09:38.400 --> 00:09:42.600]  中間我
[00:09:42.600 --> 00:09:44.800]  所有的中間全部都沒有做出
[00:09:44.800 --> 00:09:46.700]  就沒有進行過好買
[00:09:46.700 --> 00:09:49.000]  買入或者是賣出的什麼
[00:09:49.000 --> 00:09:49.800]  國外的動作
[00:09:49.800 --> 00:09:50.700]  幾乎都沒有
[00:09:50.700 --> 00:10:00.900]  然後所有的公司
[00:10:00.900 --> 00:10:03.800]  我是做判斷的時候有失誤的
[00:10:04.100 --> 00:10:05.900]  然後也有也有成功的
[00:10:05.900 --> 00:10:07.400]  這成功的只是說是
[00:10:07.400 --> 00:10:09.100]  圖形上最終走出來
[00:10:09.100 --> 00:10:10.300]  他證明了我的成功
[00:10:10.300 --> 00:10:12.700]  但是我再回頭再來看
[00:10:12.700 --> 00:10:14.100]  我全部的所有行事
[00:10:14.100 --> 00:10:16.000]  犯了很多很多很多很多錯誤的
[00:10:16.000 --> 00:10:17.200]  從今天
[00:10:17.200 --> 00:10:19.200]  我自我的總結中
[00:10:19.200 --> 00:10:21.100]  去去重新去衡量
[00:10:21.100 --> 00:10:23.200]  或者重新去定義的這些全部
[00:10:23.200 --> 00:10:24.100]  我其實說實話
[00:10:24.100 --> 00:10:25.500]  我可能不一定會選他們
[00:10:25.500 --> 00:10:29.600]  所以說我今天在在在
[00:10:29.600 --> 00:10:32.800]  整體上進行一個一個一個新的一個思路的
[00:10:32.800 --> 00:10:34.300]  一個探討
[00:10:34.300 --> 00:10:35.700]  然後大家有不同的觀點
[00:10:35.700 --> 00:10:36.700]  或者也可以
[00:10:36.700 --> 00:10:38.500]  即使載上我
[00:10:38.500 --> 00:10:39.800]  然後提出不同的觀點
[00:10:39.800 --> 00:10:40.600]  這都無所謂
[00:10:40.600 --> 00:10:43.000]  然後第一個就是一個式的扭轉
[00:10:43.000 --> 00:10:45.600]  式的扭轉一共分三種
[00:10:45.600 --> 00:10:47.600]  在我的這個領域一共分三種
[00:10:47.600 --> 00:10:48.900]  一個是量價扭轉
[00:10:48.900 --> 00:10:51.600]  不管是日線上的有效扭轉
[00:10:51.600 --> 00:10:52.800]  還是周線上有效扭轉
[00:10:52.800 --> 00:10:55.400]  還月線上有效扭轉都是可以的
[00:10:55.400 --> 00:10:59.800]  都都是用於改變他本身
[00:11:00.100 --> 00:11:04.600]  股票或者是黑線的完全的一個走勢的一個反轉之後
[00:11:04.600 --> 00:11:06.800]  才能進入到我們能做出
[00:11:06.800 --> 00:11:08.800]  買入的判斷的一個重要的依據
[00:11:08.800 --> 00:11:11.300]  那麼對於企業或者是公司來講
[00:11:11.300 --> 00:11:12.200]  這個是最關鍵的
[00:11:12.200 --> 00:11:13.800]  一個是自由現金流的扭轉
[00:11:13.800 --> 00:11:16.200]  或者說不斷去白話一點就是說
[00:11:16.200 --> 00:11:19.600]  這是企業的他自身的賺錢能力的扭轉
[00:11:19.600 --> 00:11:22.900]  就比如說我可能在過去的兩到三年裡面賺了兩千萬
[00:11:22.900 --> 00:11:24.600]  就平均每人就只能賺兩千萬
[00:11:24.600 --> 00:11:26.200]  或者是平均每人只能賺五千萬
[00:11:26.200 --> 00:11:27.500]  結果在下一個
[00:11:27.500 --> 00:11:29.200]  下一個年份裡面的一季報
[00:11:29.200 --> 00:11:30.400]  或者是半年報之後
[00:11:30.400 --> 00:11:31.300]  突然就改變
[00:11:31.300 --> 00:11:33.800]  比如說我可以呈現出一種上升趨勢
[00:11:33.800 --> 00:11:35.700]  我可能比如說在過去三年
[00:11:35.700 --> 00:11:36.400]  只賺了兩千萬
[00:11:36.400 --> 00:11:37.700]  然後從低勢內開始
[00:11:37.700 --> 00:11:40.000]  變成五千萬一個億一點五個億
[00:11:40.000 --> 00:11:43.800]  那麼這個在這樣的一種趨勢上的改變之後
[00:11:43.800 --> 00:11:47.100]  他自由現金流會呈現出一種扭轉的趨勢
[00:11:47.100 --> 00:11:48.800]  而這種扭轉的趨勢
[00:11:48.800 --> 00:11:52.800]  大部分情況下是在黑線扭轉之前
[00:11:52.800 --> 00:11:54.800]  所以說我們在判斷的時候
[00:11:54.800 --> 00:11:56.800]  是在這個之前
[00:11:56.800 --> 00:12:00.800]  所以說我們在這個保障上面
[00:12:00.800 --> 00:12:02.300]  我們可能相對會弱一點
[00:12:02.300 --> 00:12:04.300]  因為我們畢竟沒有圖形的一個佐證
[00:12:04.300 --> 00:12:07.600]  我們只能靠自己在報表上面去判斷
[00:12:07.600 --> 00:12:10.300]  然後去跟公司去進行一個交流
[00:12:10.300 --> 00:12:13.100]  然後做一個左側
[00:12:13.100 --> 00:12:15.100]  相對來說左側一點點的判斷
[00:12:15.100 --> 00:12:18.300]  然後第三個就是一個自儲定價的一個扭轉
[00:12:18.300 --> 00:12:21.500]  這個是由宏觀經濟去調動的
[00:12:21.500 --> 00:12:23.200]  我這裡不著重去展開了
[00:12:23.200 --> 00:12:25.900]  因為這個宏觀經濟比較複雜
[00:12:25.900 --> 00:12:28.700]  然後我也其實不是很特別多
[00:12:28.700 --> 00:12:30.900]  其實對於我認為個人而言
[00:12:30.900 --> 00:12:33.000]  就是說只是在於一塊錢人民幣
[00:12:33.000 --> 00:12:34.900]  到底是值幾塊錢而已
[00:12:34.900 --> 00:12:40.200]  這個自儲定價分別也會講
[00:12:40.200 --> 00:12:42.900]  就是說因為自儲定價的扭轉
[00:12:42.900 --> 00:12:47.600]  在很多時候是可以用形容那個
[00:12:47.600 --> 00:12:49.500]  前面有四個字就是
[00:12:49.500 --> 00:12:53.100]  是仇形風馬
[00:12:53.100 --> 00:12:54.500]  就是後面這個風的問題
[00:12:55.200 --> 00:12:57.700]  可以用自儲定價來去進行一個解釋
[00:12:57.700 --> 00:13:02.400]  然後我個人在選舉的時候
[00:13:02.400 --> 00:13:04.200]  這個是我的第一個骨頭
[00:13:04.200 --> 00:13:05.800]  就是說如果我
[00:13:05.800 --> 00:13:08.300]  這個是我的第一個框架
[00:13:08.300 --> 00:13:11.000]  我在選舉的第一條邏輯是認為
[00:13:11.000 --> 00:13:15.400]  人民幣是不可能完全形成自由兌換的
[00:13:15.400 --> 00:13:16.100]  這是第一條
[00:13:16.100 --> 00:13:20.200]  第二條我國的經濟受政策的調控力度是很大的
[00:13:20.200 --> 00:13:22.500]  它所有的產業不太可能受
[00:13:22.500 --> 00:13:25.700]  完全受自由市場去自自由發展
[00:13:25.700 --> 00:13:26.700]  這是第二條
[00:13:26.700 --> 00:13:29.600]  第三條外資不可能完全自由買白中國市場
[00:13:29.600 --> 00:13:33.700]  這也是換句話說就是說中國的市值
[00:13:33.700 --> 00:13:37.200]  它不可能形成完全的單邊
[00:13:37.200 --> 00:13:38.800]  在中國的A股市場
[00:13:38.800 --> 00:13:41.500]  它不可能完全形成單邊的上漲走勢
[00:13:41.500 --> 00:13:44.700]  就是為什麼會可以去解釋
[00:13:44.700 --> 00:13:46.400]  港股為什麼能從這個地點
[00:13:46.400 --> 00:13:49.600]  最近從這個地點從形成單邊直線上漲
[00:13:49.600 --> 00:13:53.800]  但是A股在上面已經形成很蠻震盪的主要
[00:13:53.800 --> 00:13:54.900]  原因之一
[00:13:54.900 --> 00:13:56.700]  然後第三個
[00:13:56.700 --> 00:13:57.700]  然後第四個就是
[00:13:57.700 --> 00:14:00.900]  中國產業的全球化相對來說是較為緩慢
[00:14:00.900 --> 00:14:03.500]  這也是為什麼我們最近會突然發現
[00:14:03.500 --> 00:14:04.200]  我們的
[00:14:04.200 --> 00:14:08.000]  這個對於公司的業績的判斷的週期會越來越短
[00:14:08.000 --> 00:14:08.700]  越來越短
[00:14:08.700 --> 00:14:09.200]  本來
[00:14:09.200 --> 00:14:11.800]  比如說00年或者是10年的時候
[00:14:11.800 --> 00:14:14.100]  我們還可以看到很長期的一種判斷
[00:14:14.100 --> 00:14:17.100]  因為它因為中國的很多產品一樣是在處於
[00:14:17.200 --> 00:14:20.400]  從區域性發展到全國性發展的一個階段
[00:14:20.400 --> 00:14:22.000]  但是到現在2024年
[00:14:22.000 --> 00:14:25.500]  大部分已經完成全國性發展的一些企業
[00:14:25.500 --> 00:14:28.100]  的上限期已經達滿了
[00:14:28.100 --> 00:14:31.600]  如果說它要去往全球性發展的這個路線上的
[00:14:31.600 --> 00:14:33.700]  也是相對來說是比較緩慢的
[00:14:33.700 --> 00:14:35.900]  第一個是出口的
[00:14:35.900 --> 00:14:38.100]  一個是出口的難度有問題
[00:14:38.100 --> 00:14:39.000]  第二個就是說
[00:14:39.000 --> 00:14:40.500]  在全世界而言
[00:14:40.500 --> 00:14:43.700]  市場上能吃下中國重大市場容量的
[00:14:43.700 --> 00:14:44.700]  一個是美國
[00:14:44.700 --> 00:14:45.800]  一個是印度
[00:14:45.800 --> 00:14:46.500]  一個是中國
[00:14:46.500 --> 00:14:47.700]  就一共就三個地方
[00:14:47.700 --> 00:14:49.800]  然後美國現在人家跟
[00:14:49.800 --> 00:14:51.200]  這個就是政治上的問題
[00:14:51.200 --> 00:14:53.300]  然後美國的市場人家不讓我們進
[00:14:53.300 --> 00:14:54.500]  然後
[00:14:54.500 --> 00:14:55.900]  還有一個就是印度
[00:14:55.900 --> 00:14:57.300]  印度說實話也不讓我們進
[00:14:57.300 --> 00:14:57.900]  所以說
[00:14:57.900 --> 00:15:02.600]  在其他國家的市場容量上來說沒有那麼大的容量
[00:15:02.600 --> 00:15:05.900]  所以我這邊認為中國產業的全球化可以往這邊
[00:15:05.900 --> 00:15:07.400]  相對來說是比較緩慢的
[00:15:07.400 --> 00:15:11.900]  然後最後一個就是說大部分產業的產品
[00:15:11.900 --> 00:15:14.200]  的統治化相對來說比較嚴重
[00:15:14.300 --> 00:15:16.900]  這裡說的稍微保守一點的其實就是
[00:15:16.900 --> 00:15:21.900]  相對初級來說是一些初級的製造業而已
[00:15:21.900 --> 00:15:23.700]  就是說我能做你也能做
[00:15:23.700 --> 00:15:25.100]  或者是他也能做
[00:15:25.100 --> 00:15:27.900]  你對於在一定時間內的
[00:15:27.900 --> 00:15:30.300]  你可能是擁有一定的先發優勢
[00:15:30.300 --> 00:15:32.400]  比如說我可能是先做出來這個產品
[00:15:32.400 --> 00:15:36.100]  但是我對於我這個產品的固成核的保護而言
[00:15:36.100 --> 00:15:37.600]  是相對來說是較弱的
[00:15:37.600 --> 00:15:38.500]  是因為畢竟
[00:15:38.500 --> 00:15:42.400]  中國是屬於一個完整的製造業大國
[00:15:42.400 --> 00:15:45.700]  他對於產品的複製和
[00:15:45.700 --> 00:15:49.000]  和層數性是比較強的
[00:15:49.000 --> 00:15:53.000]  還有就是一價能力相對來說是較弱的
[00:15:53.000 --> 00:15:56.400]  這一點是主要是體現在我們的產品
[00:15:56.400 --> 00:15:59.500]  相對來說是比較初級的一個B種產品
[00:15:59.500 --> 00:16:02.500]  這個是我認為的第一個目標
[00:16:02.500 --> 00:16:06.600]  所以說最終得出來的解放式
[00:16:06.600 --> 00:16:08.700]  中國市場將呈現出中期性的活動
[00:16:08.700 --> 00:16:11.000]  你就剛好可以對B樣太切
[00:16:11.700 --> 00:16:12.500]  這是我個人認為
[00:16:12.500 --> 00:16:14.900]  所以說在中國做A股市場的時候
[00:16:14.900 --> 00:16:16.300]  它是會出現低點
[00:16:16.300 --> 00:16:17.400]  也會出現高點
[00:16:17.400 --> 00:16:19.200]  而不會像美股一樣
[00:16:19.200 --> 00:16:20.900]  只有高點沒有低點
[00:16:20.900 --> 00:16:28.500]  然後在這樣的背景之下
[00:16:28.500 --> 00:16:33.000]  我在選擇或者是看產業的過程當中
[00:16:33.000 --> 00:16:34.900]  會形成第二個爆發的場
[00:16:34.900 --> 00:16:35.800]  第二個股
[00:16:35.800 --> 00:16:37.700]  就是我一定要去認為
[00:16:37.700 --> 00:16:40.500]  我這家公司所在的產業店
[00:16:40.700 --> 00:16:41.900]  是一種新型產業店
[00:16:41.900 --> 00:16:43.000]  這是一種方式
[00:16:43.000 --> 00:16:44.500]  它逐漸被市場
[00:16:44.500 --> 00:16:46.800]  它是一種逐漸被市場認可的一個過程
[00:16:46.800 --> 00:16:49.200]  比如說新的原產業
[00:16:49.200 --> 00:16:50.500]  比如說光伏產業
[00:16:50.500 --> 00:16:52.200]  又比如說一些
[00:16:52.200 --> 00:16:55.700]  早期機器人其實也可以算
[00:16:55.700 --> 00:16:56.800]  但是說早期機器人
[00:16:56.800 --> 00:16:59.300]  我們目前感覺它可能是個過渡產品
[00:16:59.300 --> 00:17:00.800]  但起碼它在管站的
[00:17:00.800 --> 00:17:02.700]  大概三到四年或四到五年當中
[00:17:02.700 --> 00:17:04.100]  是被市場認可過了
[00:17:04.100 --> 00:17:06.200]  也是原來沒有出現過的一個產品
[00:17:06.200 --> 00:17:07.200]  這也是可以
