[00:00:00.000 --> 00:00:03.720]  有的人比像我们说的做油资的多厉害
[00:05:44.320 --> 00:05:47.640]  大家先把莱克再看一看再感受一下
[00:05:47.640 --> 00:05:48.920]  再画一画
[00:05:48.920 --> 00:05:50.240]  就是对于这个买点的
[00:05:50.240 --> 00:05:52.760]  因为现在做买点就是大家做作业
[00:05:52.760 --> 00:05:57.520]  然后有问题有些时间再稍微再强化一下啊
[00:05:57.520 --> 00:05:59.680]  然后第二个就是我们所说的九木王
[00:05:59.680 --> 00:06:03.440]  九木王 九木王这个大家就可以看得很清楚了对吧
[00:06:03.440 --> 00:06:05.160]  因为很多时候比如杨仙出来之后啊
[00:06:05.160 --> 00:06:06.240]  为什么我拉不住
[00:06:06.240 --> 00:06:07.640]  你防守是有防守位的
[00:06:07.640 --> 00:06:11.760]  九木王来看一下他的
[00:06:11.760 --> 00:06:14.480]  他的三到一的反打对吧
[00:06:14.480 --> 00:06:16.640]  之后他是不是在一个
[00:06:16.640 --> 00:06:19.840]  一直在这个城堡的防守上方稳固
[00:06:19.840 --> 00:06:21.800]  然后再次出现那个反爆K线之后
[00:06:21.800 --> 00:06:23.000]  是不是又在这里稳固
[00:06:23.000 --> 00:06:27.720]  你自己画一画 画一画 写一写
[00:06:27.720 --> 00:06:29.520]  然后呢 包括奥玛就不用讲了
[00:06:29.520 --> 00:06:32.160]  奥玛因为我们昨天讲过了就很清晰啊
[00:06:32.160 --> 00:06:33.720]  然后还有一个就是普奈
[00:06:33.720 --> 00:06:34.960]  因为像普奈这种呢
[00:06:34.960 --> 00:06:37.440]  就是我们说的结构不会那么清晰
[00:06:37.440 --> 00:06:39.840]  但他就是处于上升趋势
[00:06:39.840 --> 00:06:41.360]  形成了一个K线的拐点
[00:06:41.360 --> 00:06:44.440]  他的这个拐点的确定性在哪里
[00:06:44.440 --> 00:06:47.840]  把这三个你再稍微的写一写 画一画
[00:06:47.840 --> 00:06:50.480]  然后我们再来把这个拐点再讲一讲啊
[00:06:50.480 --> 00:06:55.400]  就是先把日线的
[00:06:55.400 --> 00:07:02.560]  你像大家像我们前两天房地产
[00:07:02.560 --> 00:07:04.880]  房地产里面的有几个其实有点类似于
[00:07:04.880 --> 00:07:08.880]  就是我们所说的奥玛的缩小板
[00:07:08.880 --> 00:07:12.240]  把奥玛的缩小板 只不过比奥玛再
[00:07:12.240 --> 00:07:14.360]  再级别小一丢丢
[00:07:14.360 --> 00:07:36.040]  这三个都写一写 画一画啊
[00:07:37.760 --> 00:07:40.280]  现在应该看这个买点的感受
[00:07:40.280 --> 00:07:42.040]  你看看得很清楚吧
[00:07:42.040 --> 00:07:44.320]  如果说你看选好一个股票
[00:07:44.320 --> 00:07:47.040]  买点没有出来你就等这个信号
[00:07:47.040 --> 00:07:49.360]  一定要等到这个信号
[00:07:49.360 --> 00:07:51.040]  我讲的一定要等到这个信号
[00:07:51.040 --> 00:07:53.080]  这个信号没有等到你就不要说
[00:07:53.080 --> 00:07:55.760]  哎我提前买一点 我先看一看
[00:07:55.760 --> 00:07:57.200]  反正跌的差不多了 对吧
[00:07:57.200 --> 00:07:58.640]  反正均线上方
[00:07:58.640 --> 00:08:01.760]  谁跟你说均线上方一定向上的
[00:08:01.760 --> 00:08:04.000]  价债什么
[00:08:04.000 --> 00:08:06.320]  价债事先
[00:08:07.480 --> 00:08:10.080]  价改变市还是市改变价
[00:08:10.080 --> 00:08:11.640]  价
[00:08:11.640 --> 00:08:13.640]  对啊 价格改变市
[00:08:13.640 --> 00:08:15.640]  (买点)
[00:08:41.320 --> 00:08:46.000]  写好了 做好了吗 做好了我先看一下再讲
[00:08:46.000 --> 00:08:48.000]  (买点)
[00:08:48.000 --> 00:08:50.000]  (买点)
[00:08:50.000 --> 00:08:52.000]  (买点)
[00:08:52.000 --> 00:08:54.000]  (买点)
[00:08:54.000 --> 00:08:56.000]  (买点)
[00:08:58.000 --> 00:09:00.000]  (买点)
[00:09:02.000 --> 00:09:04.000]  (买点)
[00:09:05.000 --> 00:09:07.000]  (买点)
[00:09:09.000 --> 00:09:11.000]  (买点)
[00:09:13.000 --> 00:09:15.000]  (买点)
[00:09:17.000 --> 00:09:19.000]  (买点)
[00:09:21.000 --> 00:09:23.000]  (买点)
[00:09:25.000 --> 00:09:27.000]  (买点)
[00:09:29.000 --> 00:09:31.000]  (买点)
[00:09:33.000 --> 00:09:35.000]  (买点)
[00:09:37.000 --> 00:09:39.000]  (买点)
[00:09:41.000 --> 00:09:43.000]  (买点)
[00:09:45.000 --> 00:09:47.000]  (买点)
[00:09:47.000 --> 00:09:49.000]  (买点)
[00:10:15.000 --> 00:10:17.000]  (买点)
[00:10:17.000 --> 00:10:19.000]  (买点)
[00:10:21.000 --> 00:10:23.000]  (买点)
[00:10:25.000 --> 00:10:27.000]  (买点)
[00:10:27.000 --> 00:10:29.000]  (买点)
[00:10:31.000 --> 00:10:33.000]  (买点)
[00:10:35.000 --> 00:10:37.000]  (买点)
[00:10:37.000 --> 00:10:39.000]  (买点)
[00:10:39.000 --> 00:10:55.000]  (买点)
[00:10:57.000 --> 00:10:59.000]  (买点)
[00:10:59.000 --> 00:11:09.000]  (买点)
[00:11:09.000 --> 00:11:11.000]  (买点)
[00:11:11.000 --> 00:11:13.000]  (买点)
[00:11:13.000 --> 00:11:15.000]  (买点)
[00:11:15.000 --> 00:11:17.000]  (买点)
[00:11:17.000 --> 00:11:19.000]  (买点)
[00:11:19.000 --> 00:11:21.000]  (买点)
[00:11:21.000 --> 00:11:23.000]  (买点)
[00:11:23.000 --> 00:11:25.000]  (买点)
[00:11:25.000 --> 00:11:27.000]  (买点)
[00:11:27.000 --> 00:11:29.000]  (买点)
[00:11:29.000 --> 00:11:31.000]  (买点)
[00:11:31.000 --> 00:11:33.000]  (买点)
[00:11:33.000 --> 00:11:35.000]  (买点)
[00:11:35.000 --> 00:11:37.000]  (买点)
[00:11:37.000 --> 00:11:39.000]  (买点)
[00:11:39.000 --> 00:11:41.000]  (买点)
[00:11:41.000 --> 00:11:43.000]  (买点)
[00:11:43.000 --> 00:11:45.000]  (买点)
[00:11:45.000 --> 00:11:47.000]  (买点)
[00:11:47.000 --> 00:11:49.000]  (买点)
[00:11:49.000 --> 00:11:51.000]  (买点)
[00:11:51.000 --> 00:11:53.000]  (买点)
[00:11:53.000 --> 00:11:55.000]  (买点)
[00:11:55.000 --> 00:11:57.000]  (买点)
[00:11:57.000 --> 00:11:59.000]  (买点)
[00:11:59.000 --> 00:12:01.000]  (买点)
[00:12:01.000 --> 00:12:03.000]  (买点)
[00:12:03.000 --> 00:12:05.000]  (买点)
[00:12:05.000 --> 00:12:07.000]  (买点)
[00:12:07.000 --> 00:12:09.000]  (买点)
[00:12:09.000 --> 00:12:11.000]  (买点)
[00:12:11.000 --> 00:12:13.000]  (买点)
[00:12:13.000 --> 00:12:15.000]  (买点)
[00:12:15.000 --> 00:12:17.000]  (买点)
[00:12:17.000 --> 00:12:19.000]  (买点)
[00:12:19.000 --> 00:12:21.000]  (买点)
[00:12:21.000 --> 00:12:23.000]  (买点)
[00:12:23.000 --> 00:12:25.000]  (买点)
[00:12:25.000 --> 00:12:27.000]  (买点)
[00:12:27.000 --> 00:12:29.000]  (买点)
[00:12:29.000 --> 00:12:31.000]  (买点)
[00:12:31.000 --> 00:12:33.000]  (买点)
[00:12:33.000 --> 00:12:35.000]  (买点)
[00:12:35.000 --> 00:12:37.000]  (买点)
[00:12:37.000 --> 00:12:39.000]  (买点)
[00:12:39.000 --> 00:12:41.000]  (买点)
[00:12:41.000 --> 00:12:43.000]  (买点)
[00:12:43.000 --> 00:12:45.000]  (买点)
[00:12:45.000 --> 00:12:47.000]  (买点)
[00:12:47.000 --> 00:12:49.000]  (买点)
[00:12:49.000 --> 00:12:51.000]  (买点)
[00:12:51.000 --> 00:12:53.000]  (买点)
[00:12:53.000 --> 00:12:55.000]  (买点)
[00:12:55.000 --> 00:12:57.000]  (买点)
[00:12:57.000 --> 00:12:59.000]  (买点)
[00:12:59.000 --> 00:13:01.000]  (买点)
[00:13:01.000 --> 00:13:03.000]  (买点)
[00:13:03.000 --> 00:13:05.000]  (买点)
[00:13:05.000 --> 00:13:07.000]  (买点)
[00:13:07.000 --> 00:13:09.000]  (买点)
[00:13:09.000 --> 00:13:11.000]  (买点)
[00:13:11.000 --> 00:13:13.000]  (买点)
[00:13:13.000 --> 00:13:15.000]  (买点)
[00:13:15.000 --> 00:13:17.000]  (买点)
[00:13:17.000 --> 00:13:19.000]  (买点)
[00:13:19.000 --> 00:13:21.000]  (买点)
[00:13:21.000 --> 00:13:23.000]  (买点)
[00:13:23.000 --> 00:13:25.000]  (买点)
[00:13:25.000 --> 00:13:27.000]  (买点)
[00:13:27.000 --> 00:13:29.000]  (买点)
[00:13:29.000 --> 00:13:31.000]  (买点)
[00:13:31.000 --> 00:13:33.000]  (买点)
[00:13:33.000 --> 00:13:35.000]  (买点)
[00:13:35.000 --> 00:13:37.000]  (买点)
[00:13:37.000 --> 00:13:39.000]  (买点)
[00:13:39.000 --> 00:13:41.000]  (买点)
[00:13:41.000 --> 00:13:43.000]  (买点)
[00:13:43.000 --> 00:13:45.000]  (买点)
[00:13:45.000 --> 00:13:47.000]  (买点)
[00:13:47.000 --> 00:13:49.000]  (买点)
[00:13:49.000 --> 00:13:51.000]  (买点)
[00:13:51.000 --> 00:13:53.000]  (买点)
[00:13:53.000 --> 00:13:55.000]  (买点)
[00:13:55.000 --> 00:13:57.000]  (买点)
[00:13:57.000 --> 00:13:59.000]  (买点)
[00:13:59.000 --> 00:14:01.000]  (买点)
[00:14:01.000 --> 00:14:03.000]  (买点)
[00:14:03.000 --> 00:14:05.000]  (买点)
[00:14:05.000 --> 00:14:07.000]  (买点)
[00:14:07.000 --> 00:14:09.000]  (买点)
[00:14:09.000 --> 00:14:11.000]  (买点)
[00:14:11.000 --> 00:14:13.000]  (买点)
[00:14:13.000 --> 00:14:15.000]  (买点)
[00:14:15.000 --> 00:14:17.000]  (买点)
[00:14:17.000 --> 00:14:19.000]  (买点)
[00:14:19.000 --> 00:14:21.000]  (买点)
[00:14:21.000 --> 00:14:23.000]  (买点)
[00:14:23.000 --> 00:14:25.000]  (买点)
[00:14:25.000 --> 00:14:27.000]  (买点)
[00:14:27.000 --> 00:14:29.000]  (买点)
[00:14:29.000 --> 00:14:31.000]  (买点)
[00:14:31.000 --> 00:14:33.000]  (买点)
[00:14:33.000 --> 00:14:35.000]  (买点)
[00:14:35.000 --> 00:14:37.000]  (买点)
[00:14:37.000 --> 00:14:39.000]  (买点)
[00:14:39.000 --> 00:14:41.000]  (买点)
[00:14:41.000 --> 00:14:43.000]  (买点)
[00:14:43.000 --> 00:14:45.000]  (买点)
[00:14:45.000 --> 00:14:47.000]  (买点)
[00:14:47.000 --> 00:14:49.000]  (买点)
[00:14:49.000 --> 00:14:51.000]  (买点)
[00:14:51.000 --> 00:14:53.000]  (买点)
[00:14:53.000 --> 00:14:55.000]  (买点)
[00:14:55.000 --> 00:14:57.000]  (买点)
[00:14:57.000 --> 00:14:59.000]  (买点)
[00:14:59.000 --> 00:15:01.000]  (买点)
[00:15:01.000 --> 00:15:03.000]  (买点)
[00:15:03.000 --> 00:15:05.000]  (买点)
[00:15:05.000 --> 00:15:07.000]  (买点)
[00:15:07.000 --> 00:15:09.000]  (买点)
[00:15:09.000 --> 00:15:11.000]  (买点)
[00:15:11.000 --> 00:15:13.000]  (买点)
[00:15:13.000 --> 00:15:15.000]  (买点)
[00:15:15.000 --> 00:15:17.000]  (买点)
[00:15:17.000 --> 00:15:19.000]  (买点)
[00:15:19.000 --> 00:15:21.000]  (买点)
[00:15:21.000 --> 00:15:23.000]  (买点)
[00:15:23.000 --> 00:15:25.000]  (买点)
[00:15:25.000 --> 00:15:27.000]  (买点)
[00:15:27.000 --> 00:15:29.000]  (买点)
[00:15:29.000 --> 00:15:31.000]  (买点)
[00:15:31.000 --> 00:15:33.000]  (买点)
[00:15:33.000 --> 00:15:35.000]  (买点)
[00:15:35.000 --> 00:15:37.000]  (买点)
[00:15:37.000 --> 00:15:39.000]  (买点)
[00:15:39.000 --> 00:15:41.000]  (买点)
[00:15:41.000 --> 00:15:43.000]  (买点)
[00:15:43.000 --> 00:15:45.000]  (买点)
[00:15:45.000 --> 00:15:47.000]  (买点)
[00:15:47.000 --> 00:15:49.000]  (买点)
[00:15:49.000 --> 00:15:51.000]  (买点)
[00:15:51.000 --> 00:15:53.000]  (买点)
[00:15:53.000 --> 00:15:55.000]  (买点)
[00:15:55.000 --> 00:15:57.000]  (买点)
[00:15:57.000 --> 00:15:59.000]  (买点)
[00:15:59.000 --> 00:16:01.000]  (买点)
[00:16:01.000 --> 00:16:03.000]  (买点)
[00:16:03.000 --> 00:16:05.000]  (买点)
[00:16:05.000 --> 00:16:07.000]  (买点)
[00:16:07.000 --> 00:16:09.000]  (买点)
[00:16:09.000 --> 00:16:11.000]  (买点)
[00:16:11.000 --> 00:16:13.000]  (买点)
[00:16:13.000 --> 00:16:15.000]  (买点)
[00:16:15.000 --> 00:16:17.000]  (买点)
[00:16:17.000 --> 00:16:19.000]  (买点)
[00:16:19.000 --> 00:16:21.000]  (买点)
[00:16:21.000 --> 00:16:23.000]  (买点)
[00:16:23.000 --> 00:16:25.000]  (买点)
[00:16:25.000 --> 00:16:27.000]  (买点)
[00:16:27.000 --> 00:16:29.000]  (买点)
[00:16:29.000 --> 00:16:31.000]  (买点)
[00:16:31.000 --> 00:16:33.000]  (买点)
[00:16:33.000 --> 00:16:35.000]  (买点)
[00:16:35.000 --> 00:16:37.000]  (买点)
[00:16:37.000 --> 00:16:39.000]  (买点)
[00:16:39.000 --> 00:16:41.000]  (买点)
[00:16:41.000 --> 00:16:43.000]  (买点)
[00:16:43.000 --> 00:16:45.000]  (买点)
[00:16:45.000 --> 00:16:47.000]  (买点)
[00:16:47.000 --> 00:16:49.000]  (买点)
[00:16:49.000 --> 00:16:51.000]  (买点)
[00:16:51.000 --> 00:16:53.000]  (买点)
[00:16:53.000 --> 00:16:55.000]  (买点)
[00:16:55.000 --> 00:16:57.000]  (买点)
[00:16:57.000 --> 00:16:59.000]  (买点)
[00:16:59.000 --> 00:17:01.000]  (买点)
[00:17:01.000 --> 00:17:03.000]  (买点)
[00:17:03.000 --> 00:17:05.000]  (买点)
[00:17:05.000 --> 00:17:07.000]  (买点)
[00:17:07.000 --> 00:17:09.000]  (买点)
[00:17:09.000 --> 00:17:11.000]  (买点)
[00:17:11.000 --> 00:17:13.000]  (买点)
[00:17:13.000 --> 00:17:15.000]  (买点)
[00:17:15.000 --> 00:17:17.000]  (买点)
[00:17:17.000 --> 00:17:19.000]  (买点)
[00:17:19.000 --> 00:17:21.000]  (买点)
[00:17:21.000 --> 00:17:23.000]  (买点)
[00:17:23.000 --> 00:17:25.000]  (买点)
[00:17:25.000 --> 00:17:27.000]  (买点)
[00:17:27.000 --> 00:17:29.000]  (买点)
[00:17:29.000 --> 00:17:31.000]  (买点)
[00:17:31.000 --> 00:17:33.000]  (买点)
[00:17:33.000 --> 00:17:35.000]  (买点)
[00:17:35.000 --> 00:17:37.000]  (买点)
[00:17:37.000 --> 00:17:39.000]  (买点)
[00:17:39.000 --> 00:17:41.000]  (买点)
[00:17:41.000 --> 00:17:43.000]  (买点)
[00:17:43.000 --> 00:17:45.000]  (买点)
[00:17:45.000 --> 00:17:47.000]  (买点)
[00:17:47.000 --> 00:17:49.000]  (买点)
[00:17:49.000 --> 00:17:51.000]  (买点)
[00:17:51.000 --> 00:17:53.000]  (买点)
[00:17:53.000 --> 00:17:55.000]  (买点)
[00:17:55.000 --> 00:17:57.000]  (买点)
[00:17:57.000 --> 00:17:59.000]  (买点)
[00:17:59.000 --> 00:18:01.000]  (买点)
[00:18:01.000 --> 00:18:03.000]  (买点)
[00:18:03.000 --> 00:18:05.000]  (买点)
[00:18:05.000 --> 00:18:07.000]  (买点)
[00:18:07.000 --> 00:18:09.000]  (买点)
[00:18:09.000 --> 00:18:11.000]  (买点)
[00:18:11.000 --> 00:18:13.000]  (买点)
[00:18:13.000 --> 00:18:15.000]  (买点)
[00:18:15.000 --> 00:18:17.000]  (买点)
[00:18:17.000 --> 00:18:19.000]  (买点)
[00:18:19.000 --> 00:18:21.000]  (买点)
[00:18:21.000 --> 00:18:23.000]  (买点)
[00:18:23.000 --> 00:18:25.000]  (买点)
[00:18:25.000 --> 00:18:27.000]  (买点)
[00:18:27.000 --> 00:18:29.000]  (买点)
[00:18:29.000 --> 00:18:31.000]  (买点)
[00:18:31.000 --> 00:18:33.000]  (买点)
[00:18:33.000 --> 00:18:35.000]  (买点)
[00:18:35.000 --> 00:18:37.000]  (买点)
[00:18:37.000 --> 00:18:39.000]  (买点)
[00:18:39.000 --> 00:18:41.000]  (买点)
[00:18:41.000 --> 00:18:43.000]  (买点)
[00:18:43.000 --> 00:18:45.000]  (买点)
[00:18:45.000 --> 00:18:47.000]  (买点)
[00:18:47.000 --> 00:18:49.000]  (买点)
[00:18:49.000 --> 00:18:51.000]  (买点)
[00:18:51.000 --> 00:18:53.000]  (买点)
[00:18:53.000 --> 00:18:55.000]  (买点)
[00:18:55.000 --> 00:18:57.000]  (买点)
[00:18:57.000 --> 00:18:59.000]  (买点)
[00:18:59.000 --> 00:19:01.000]  (买点)
[00:19:01.000 --> 00:19:03.000]  (买点)
[00:19:03.000 --> 00:19:05.000]  (买点)
[00:19:05.000 --> 00:19:07.000]  (买点)
[00:19:07.000 --> 00:19:09.000]  (买点)
[00:19:09.000 --> 00:19:11.000]  (买点)
[00:19:11.000 --> 00:19:13.000]  (买点)
[00:19:13.000 --> 00:19:15.000]  (买点)
