[00:00:00.000 --> 00:00:05.500]  好 我们准备开始了
[00:03:40.500 --> 00:03:43.400]  回头你在这里回头是不是都是可以买的
[00:03:43.400 --> 00:03:43.900]  对不对
[00:03:43.900 --> 00:03:44.800]  那你买完之后
[00:03:44.800 --> 00:03:47.700]  可能会考虑这个高点是不是压力
[00:03:47.700 --> 00:03:49.900]  那这个起来就是会出这个坑啊
[00:03:49.900 --> 00:03:51.700]  先出这个破坏的坑啊
[00:03:51.700 --> 00:03:53.500]  出这个坑的时候要放量
[00:03:53.500 --> 00:03:57.000]  你像这个位置一直沿着趋势上行
[00:03:57.000 --> 00:03:58.000]  也没有给你卖点吧
[00:03:58.000 --> 00:03:58.900]  对不对
[00:03:58.900 --> 00:04:00.000]  是不是没有卖点
[00:04:00.000 --> 00:04:02.500]  那么整个这个坑的量是不是大于这个
[00:04:02.500 --> 00:04:04.700]  这个坑的量大于这个坑的量
[00:04:04.700 --> 00:04:07.200]  对我们说出坑的量后量超强量就是什么
[00:04:07.200 --> 00:04:10.300]  能够沿着趋势运行的
[00:04:10.300 --> 00:04:12.700]  而整个在这个位置都没有卖点
[00:04:12.700 --> 00:04:14.700]  直到这个区间出现分歧
[00:04:14.700 --> 00:04:16.200]  不是这里啊
[00:04:16.200 --> 00:04:18.000]  是这里出现分歧为卖点
[00:04:18.000 --> 00:04:19.700]  在这之前大家对看
[00:04:19.700 --> 00:04:20.700]  没有什么
[00:04:20.700 --> 00:04:22.100]  没有分歧
[00:04:22.100 --> 00:04:25.200]  直到这个区间出现分歧才是卖点
[00:04:25.200 --> 00:04:27.900]  就是我们说的加深量深
[00:04:27.900 --> 00:04:30.400]  加深量深运用在哪里呢
[00:04:30.400 --> 00:04:31.400]  就是3-1
[00:04:31.400 --> 00:04:34.400]  3-1
[00:04:34.400 --> 00:04:36.400]  当然3-1有可能不会说
[00:04:36.400 --> 00:04:38.700]  像这种古团你说它有那么清晰的
[00:04:38.700 --> 00:04:40.300]  12345吗没有
[00:04:40.300 --> 00:04:42.200]  你可能本来是做一个短线
[00:04:42.200 --> 00:04:44.600]  但是你会发现在这个过程一直没有卖点
[00:04:44.600 --> 00:04:46.200]  那就跟那短线变趋势
[00:04:46.200 --> 00:04:48.200]  就变波段
[00:04:48.200 --> 00:04:49.300]  但是你明白我意思没有
[00:04:49.700 --> 00:04:50.800]  就会短线变波段
[00:04:50.800 --> 00:04:53.000]  你看它整个这个珠坑要挂在这个地方吗
[00:04:53.000 --> 00:04:54.800]  这个开始珠坑的量
[00:04:54.800 --> 00:04:56.900]  量大过前面
[00:04:56.900 --> 00:04:57.800]  就是什么
[00:04:57.800 --> 00:05:00.600]  就能够容易形成趋势的延续
[00:05:00.600 --> 00:05:04.700]  量大过前面就会形成趋势的延续
[00:05:04.700 --> 00:05:06.700]  我们再来看这个也是一样的呢
[00:05:06.700 --> 00:05:08.800]  这是不是一个扭转
[00:05:08.800 --> 00:05:11.200]  这是空头吗对不对
[00:05:11.200 --> 00:05:12.800]  这是不是空头
[00:05:12.800 --> 00:05:14.800]  那么放大的我们先看这一段
[00:05:14.800 --> 00:05:16.100]  这是一个空头
[00:05:16.100 --> 00:05:17.500]  空头之后转多
[00:05:17.500 --> 00:05:20.600]  这是不是转多之后是不是对左边这个下跌的这个坑
[00:05:20.600 --> 00:05:21.800]  进行一个转多
[00:05:21.800 --> 00:05:24.900]  那这一段是不是放量也大过前面的一倍啊
[00:05:24.900 --> 00:05:27.200]  然后这是出坑的量
[00:05:27.200 --> 00:05:29.100]  要大过左侧下跌的量
[00:05:29.100 --> 00:05:32.000]  哦我没有那个什么没有那个
[00:05:32.000 --> 00:05:33.900]  激光力的
[00:05:33.900 --> 00:05:35.600]  然后这是出坑的量
[00:05:35.600 --> 00:05:38.000]  要大过这个下跌的量
[00:05:38.000 --> 00:05:40.900]  你看这个出坑的量转多是不是大于它前面的一倍
[00:05:40.900 --> 00:05:43.400]  然后整个多头趋势整理
[00:05:43.400 --> 00:05:45.800]  在这里形成k线的拐点是不是买点
[00:05:46.100 --> 00:05:49.000]  你看这个可以像拐点这个区间是不是都是我们的买点
[00:05:49.000 --> 00:05:51.100]  买完之后有没有卖点
[00:05:51.100 --> 00:05:53.400]  没有卖点就是持仓嘛对吧
[00:05:53.400 --> 00:05:55.500]  你到最多也是在这个位置卖嘛
[00:05:55.500 --> 00:05:56.900]  是不是这样子
[00:05:56.900 --> 00:05:58.800]  好我们再来看大一个级别
[00:05:58.800 --> 00:06:01.200]  可不是不是把它放大就是1
[00:06:01.200 --> 00:06:02.700]  这是转多1
[00:06:02.700 --> 00:06:04.300]  2转空了
[00:06:04.300 --> 00:06:06.500]  然后再3到1转多
[00:06:06.500 --> 00:06:07.300]  3到2
[00:06:07.300 --> 00:06:08.700]  多方调整
[00:06:08.700 --> 00:06:10.600]  所以形成了这种趋势的什么
[00:06:10.600 --> 00:06:14.000]  就是叠加的共振对不对
[00:06:14.200 --> 00:06:18.100]  是不是形成别家的共振细节点带自己在客间上去圈出来
[00:06:18.100 --> 00:06:21.500]  自己在客间上自己回家做功课的圈出来
[00:06:21.500 --> 00:06:22.900]  那这里也是这样的
[00:06:22.900 --> 00:06:24.900]  这整个都是空
[00:06:24.900 --> 00:06:26.900]  那它这里是不是不符合呀
[00:06:26.900 --> 00:06:28.200]  真正的机会在哪里
[00:06:28.200 --> 00:06:30.400]  像我们现在可能就是日线小转线
[00:06:30.400 --> 00:06:31.700]  然后这是不是一个转多
[00:06:31.700 --> 00:06:34.200]  我们空转多是不是必须要放量
[00:06:34.200 --> 00:06:36.200]  就是架式量是必须放量
[00:06:36.200 --> 00:06:37.500]  然后多方回调
[00:06:37.500 --> 00:06:39.500]  这一天阳线是不是上切入
[00:06:39.500 --> 00:06:41.300]  上切入确认之后
[00:06:41.300 --> 00:06:44.500]  这一天是不是以这个音线的开盘价为防守
[00:06:44.500 --> 00:06:45.200]  为买点
[00:06:45.200 --> 00:06:46.700]  那它直接是第二天是什么
[00:06:46.700 --> 00:06:48.600]  跳空是不是过这一个价格
[00:06:48.600 --> 00:06:50.400]  那我们这个阳线出来之后
[00:06:50.400 --> 00:06:53.000]  我们就是以这个音线的最高价为防守
[00:06:53.000 --> 00:06:54.400]  来把握你的买点
[00:06:54.400 --> 00:06:55.800]  然后以及后期的一个直仓
[00:06:55.800 --> 00:06:58.000]  就是架式量升啊
[00:06:58.000 --> 00:06:59.100]  这个我就不展开了
[00:06:59.100 --> 00:07:00.000]  所以
[00:07:00.000 --> 00:07:01.900]  在这个大家这句话
[00:07:01.900 --> 00:07:04.600]  理解的扭转趋势呢
[00:07:04.600 --> 00:07:06.100]  你们自己再读一下吧
[00:07:06.100 --> 00:07:08.200]  就是像刚才有的有的
[00:07:08.200 --> 00:07:10.600]  扭转的时候又会忘记的
[00:07:11.100 --> 00:07:13.400]  扭转趋势的量价关系才是
[00:07:13.400 --> 00:07:15.000]  核心中的核心
[00:07:15.000 --> 00:07:18.800]  那扭转趋势的这一段我们又是不做的
[00:07:18.800 --> 00:07:20.100]  因为就是你记住
[00:07:20.100 --> 00:07:22.400]  他画出一个一我才知道是一
[00:07:22.400 --> 00:07:23.700]  所以这是不做的
[00:07:23.700 --> 00:07:25.500]  而他画不出来一
[00:07:25.500 --> 00:07:27.300]  那他就不是一
[00:07:27.300 --> 00:07:29.100]  所以就算怎么就你走出来
[00:07:29.100 --> 00:07:30.300]  就像我们说系统课
[00:07:30.300 --> 00:07:31.500]  大家会
[00:07:31.500 --> 00:07:34.500]  会什么就是在你没有学习这三天的量价之前
[00:07:34.500 --> 00:07:35.800]  你也不知道学什么
[00:07:35.800 --> 00:07:38.800]  甚至老学员我们一年以上的老学员对吧
[00:07:38.800 --> 00:07:39.900]  你来复训
[00:07:40.000 --> 00:07:42.000]  你可能心里做的计划就是什么
[00:07:42.000 --> 00:07:44.500]  哎跟之前差不多我来回问一下
[00:07:44.500 --> 00:07:45.300]  是不是
[00:07:45.300 --> 00:07:47.900]  但是不是只有这三天结束之后
[00:07:47.900 --> 00:07:50.100]  哦我才知道我这三天又学了什么
[00:07:50.100 --> 00:07:51.600]  大家说是吧
[00:07:51.600 --> 00:07:53.100]  三天之前能知道吗
[00:07:53.100 --> 00:07:54.000]  不知道的
[00:07:54.000 --> 00:07:57.100]  所以我们说扭转这一段为什么不做也是一样的
[00:07:57.100 --> 00:08:00.000]  在他扭转没有出来之前我们是不知道的
[00:08:00.000 --> 00:08:01.300]  然后就走完之后
[00:08:01.300 --> 00:08:05.100]  我才知道这是资金在真正的在做什么有效的扭转啊
[00:08:05.100 --> 00:08:07.800]  所以说他是核心中的核心
[00:08:07.800 --> 00:08:09.300]  这个我就不展开了
[00:08:09.300 --> 00:08:11.900]  架住亮度就是我们用我教给你们的买点
[00:08:11.900 --> 00:08:12.900]  因为也是在这个
[00:08:12.900 --> 00:08:15.000]  这个差不多不用拍不用讲
[00:08:15.000 --> 00:08:17.800]  我不讲的你们姐复习的不用复习看都不用看
[00:08:17.800 --> 00:08:20.400]  啊我话说的比较绝啊
[00:08:20.400 --> 00:08:23.000]  我没有展开的你们课间都不用看
[00:08:23.000 --> 00:08:26.200]  你们这个大家都知道了破坏吗
[00:08:26.200 --> 00:08:27.400]  就是昨天讲到了
[00:08:27.400 --> 00:08:30.100]  出分期分期之后走破坏你就卖了呀
[00:08:30.100 --> 00:08:31.100]  对不对然后
[00:08:31.100 --> 00:08:34.200]  因为这里面没有跟他讲到破坏是不是还有强弱呀
[00:08:34.200 --> 00:08:35.600]  以前课间上都没有的
[00:08:35.600 --> 00:08:37.200]  反正我说课间上我都不
[00:08:37.200 --> 00:08:38.800]  我不讲的你们都不用看
[00:08:39.700 --> 00:08:40.700]  最多看看图
[00:08:40.700 --> 00:08:45.600]  这个接下来我们跟大家分享一下就是
[00:08:45.600 --> 00:08:47.600]  主力的这个解套的思维
[00:08:47.600 --> 00:08:48.900]  对吧就是筹码
[00:08:48.900 --> 00:08:51.600]  就是站在主力的思维来考虑这个形
[00:08:51.600 --> 00:08:55.600]  站在博弈的思维来考虑这个形到了
[00:08:55.600 --> 00:08:58.000]  最后一个环节量价的筹码解套
[00:08:58.000 --> 00:09:01.600]  量价的筹码解套
[00:09:01.600 --> 00:09:03.400]  那就翻一翻
[00:09:03.400 --> 00:09:05.600]  在后期后面
[00:09:05.600 --> 00:09:08.300]  所以我们的课间的顺序是打暖的
[00:09:09.300 --> 00:09:13.000]  所以说实话如果按照这个课间
[00:09:13.000 --> 00:09:14.900]  教科书般的教估计是
[00:09:14.900 --> 00:09:17.000]  科技学不出东西来
[00:09:17.000 --> 00:09:21.300]  我们的顺序是不一样的
[00:09:21.300 --> 00:09:23.800]  第一个课间上没
[00:09:23.800 --> 00:09:26.800]  对吧昨天上午的是没课间的
[00:09:26.800 --> 00:09:29.000]  昨天下午的是
[00:09:29.000 --> 00:09:31.500]  有一点课间也就讲了两页
[00:09:31.500 --> 00:09:35.100]  然后不是前天啊
[00:09:35.100 --> 00:09:37.500]  昨天的上午的课间是在
[00:09:38.000 --> 00:09:39.600]  是在后面的
[00:09:39.600 --> 00:09:41.700]  课间的下三分之一
[00:09:41.700 --> 00:09:44.400]  昨天下午的课间是在第二节
[00:09:44.400 --> 00:09:48.000]  对吧今天的课间是最后
[00:09:48.000 --> 00:09:51.000]  找到了吗量价的筹码解套
[00:09:51.000 --> 00:09:52.900]  找到了啊
[00:09:52.900 --> 00:09:55.500]  这个呢其实最重要的就是博弈思维
[00:09:55.500 --> 00:09:57.200]  主力思维博弈思维
[00:09:57.200 --> 00:10:01.400]  啊主力思维和博弈思维就是我们所说的
[00:10:01.400 --> 00:10:03.900]  他不是我们前面啊大家看
[00:10:03.900 --> 00:10:05.700]  我们前面是不是讲到了是
[00:10:07.300 --> 00:10:08.500]  是不是讲到了
[00:10:08.500 --> 00:10:09.800]  筹
[00:10:09.800 --> 00:10:11.800]  筹跟大家分享了吧
[00:10:11.800 --> 00:10:14.500]  筹里面我就把重点跟他分享啊
[00:10:14.500 --> 00:10:15.900]  高量柱进宫阳
[00:10:15.900 --> 00:10:19.100]  巨量柱进宫阳背量柱进宫阳对不对
[00:10:19.100 --> 00:10:20.800]  然后剩下的是什么
[00:10:20.800 --> 00:10:22.200]  缩量柱停顿
[00:10:22.200 --> 00:10:25.300]  凭量柱停顿对不对
[00:10:25.300 --> 00:10:27.200]  是不是凭量柱停顿停顿
[00:10:27.200 --> 00:10:28.100]  然后还什么
[00:10:28.100 --> 00:10:31.000]  高量柱分齐背量柱分齐
[00:10:31.000 --> 00:10:32.800]  巨量柱分齐对不对
[00:10:32.800 --> 00:10:34.200]  是不是就这些区别
[00:10:34.200 --> 00:10:36.700]  那反之呢高量柱停顿
[00:10:37.900 --> 00:10:40.900]  巨量柱停顿好的没事的
[00:10:40.900 --> 00:10:42.400]  大家明白意思吧
[00:10:42.400 --> 00:10:44.900]  是不是把这个就是愁的理解啊
[00:10:44.900 --> 00:10:48.100]  然后在这所有里面最重要的回归于
[00:10:48.100 --> 00:10:49.100]  进宫与破坏
[00:10:49.100 --> 00:10:51.840]  进宫与破坏必须配合高量柱巨量柱
[00:10:51.840 --> 00:10:54.300]  背量柱破坏没有量的要求
[00:10:54.300 --> 00:10:57.400]  破坏讲的是式的变化
[00:10:57.400 --> 00:11:00.000]  你看我在讲破坏的时候有没有跟大家讲
[00:11:00.000 --> 00:11:02.100]  那个什么就相对缩量就好对不对
[00:11:02.100 --> 00:11:05.100]  是不是只要说相对缩量出三分之一就好了
[00:11:05.800 --> 00:11:07.800]  那我重点讲破坏讲的是什么就是
[00:11:07.800 --> 00:11:08.900]  式的变化
[00:11:08.900 --> 00:11:10.400]  比如说你在五天线上方
[00:11:10.400 --> 00:11:13.100]  五天线上午和时间之间先看洗盘
[00:11:13.100 --> 00:11:15.600]  你那个变破的能不能转式对不对
[00:11:15.600 --> 00:11:16.900]  是式的变化啊
[00:11:16.900 --> 00:11:18.500]  然后
[00:11:18.500 --> 00:11:19.500]  丑
[00:11:19.500 --> 00:11:21.800]  型型很清楚了吧
[00:11:21.800 --> 00:11:25.800]  有效扭转 abc 2 3-1 3-2 是不是一直
[00:11:25.800 --> 00:11:28.500]  所有的都是在这个变化过程里面就构成的各种
[00:11:28.500 --> 00:11:29.500]  型的变化呀
[00:11:29.500 --> 00:11:32.400]  其实我们说你可以不记得模型
[00:11:32.400 --> 00:11:34.600]  因为模型是走的那个
[00:11:34.900 --> 00:11:37.500]  3-2 3-1的时候自然就呈现出来了
[00:11:37.500 --> 00:11:40.900]  但是你必须把是怎么数结构怎么数
[00:11:40.900 --> 00:11:44.100]  那我们说的数结构数那就是123132
[00:11:44.100 --> 00:11:45.400]  给搞明白
[00:11:45.400 --> 00:11:46.900]  大家理解我意思没有
[00:11:46.900 --> 00:11:49.800]  当它呈现出来左边来看你就知道是什么模型
[00:11:49.800 --> 00:11:51.000]  然后还有个风
[00:11:51.000 --> 00:11:53.300]  风的话这个我就很难展开了啊
[00:11:53.300 --> 00:11:55.300]  我就大家自己知道就好了
[00:11:55.300 --> 00:11:56.900]  反正股票都是靠风的
[00:11:56.900 --> 00:11:58.100]  你就有一句话什么
[00:11:58.100 --> 00:12:00.500]  风口来了猪都会飞起来
[00:12:00.500 --> 00:12:02.800]  但是风口停的猪也会摔死
[00:12:02.800 --> 00:12:04.700]  对吧
[00:12:04.900 --> 00:12:06.400]  所以你自己要去看啊
[00:12:06.400 --> 00:12:08.700]  所以自己千万不要在风口停的的时候
[00:12:08.700 --> 00:12:10.800]  猪会摔死的时候去参与
[00:12:10.800 --> 00:12:14.500]  那么还有一个就是我们说的主力博弈的思维
[00:12:14.500 --> 00:12:18.000]  所以我们现在就聊的就是一些关于主力博弈的思维
[00:12:18.000 --> 00:12:22.600]  这个就没有数就站在数和形和筹和式的基础之上
[00:12:22.600 --> 00:12:25.100]  那么什么叫筹码解套
[00:12:25.100 --> 00:12:29.600]  对吧筹码解套就是我们说的你主力的这个
[00:12:29.600 --> 00:12:32.900]  思维来考虑这个形态量价
[00:12:33.700 --> 00:12:35.300]  解和套是两个
[00:12:35.300 --> 00:12:38.000]  解和套是两个逻辑
[00:12:38.000 --> 00:12:39.300]  首先是解
[00:12:39.300 --> 00:12:41.500]  我们的中文好像伟大
[00:12:41.500 --> 00:12:44.100]  我觉得我觉得中国的语言啊
[00:12:44.100 --> 00:12:45.700]  汉语真的是很伟大
[00:12:45.700 --> 00:12:48.500]  它一个深度对吧
[00:12:48.500 --> 00:12:50.800]  一个意思它有不同的语言
[00:12:50.800 --> 00:12:53.100]  来形容和描绘
[00:12:53.100 --> 00:12:54.900]  大家说是不是这样
[00:12:54.900 --> 00:12:57.100]  这种我们说解啊我们就用解
[00:12:57.100 --> 00:12:58.800]  大家能想到这些什么解决
[00:12:58.800 --> 00:13:00.300]  解放还有什么
[00:13:00.300 --> 00:13:02.600]  解答还有呢
[00:13:03.800 --> 00:13:04.600]  还有吗
[00:13:04.600 --> 00:13:07.200]  能想到的解的祖词我们谁帮忙一起来
[00:13:07.200 --> 00:13:08.200]  接手
[00:13:08.200 --> 00:13:11.200]  接手
[00:13:11.200 --> 00:13:16.800]  对好还有吗
[00:13:16.800 --> 00:13:18.600]  解决
[00:13:18.600 --> 00:13:20.800]  解脱
[00:13:20.800 --> 00:13:22.200]  非常好
[00:13:22.200 --> 00:13:26.400]  但我们来看这几个字它都有一个共性发现了
[00:13:26.400 --> 00:13:28.800]  它都需要动作来配合
[00:13:28.800 --> 00:13:31.200]  你解手也要忍动嘛
[00:13:31.200 --> 00:13:32.000]  对吧
[00:13:32.000 --> 00:13:33.400]  解脱也是一样的吧
[00:13:33.400 --> 00:13:34.200]  是不是啊
[00:13:34.200 --> 00:13:35.000]  是不是一样的
[00:13:35.000 --> 00:13:36.800]  就是它都需要有个动
[00:13:36.800 --> 00:13:38.400]  它背后是动词吧
[00:13:38.400 --> 00:13:41.000]  解的背后是不是动词
[00:13:41.000 --> 00:13:43.400]  就我们所有的祖词结合在一起啊
[00:13:43.400 --> 00:13:46.600]  这个祖这个词的背后是不是动词
[00:13:46.600 --> 00:13:48.800]  动是不是我们的动
[00:13:48.800 --> 00:13:50.400]  这个字又很又很好玩
[00:13:50.400 --> 00:13:51.600]  对吧
[00:13:51.600 --> 00:13:53.400]  它就它就一种变化
[00:13:53.400 --> 00:13:55.000]  没有第二种变化
[00:13:55.000 --> 00:13:55.400]  对吧
[00:13:55.400 --> 00:13:57.200]  动是不是就一种变化就得动啊
[00:13:57.200 --> 00:13:58.000]  对吧
[00:13:58.000 --> 00:13:59.800]  你手指头不动你就进的不动
[00:13:59.800 --> 00:14:02.000]  你手指头不动你就进的嘛就完蛋了嘛
[00:14:02.000 --> 00:14:02.600]  对不对
[00:14:02.600 --> 00:14:05.000]  所以说解这个字很有意思
[00:14:05.000 --> 00:14:08.400]  那么回到我们说做股票上为什么叫解套
[00:14:08.400 --> 00:14:10.600]  要用解这个字啊
[00:14:10.600 --> 00:14:12.300]  就我们说一个股票
[00:14:12.300 --> 00:14:14.900]  连解决问题的这个
[00:14:14.900 --> 00:14:16.600]  都没有
[00:14:16.600 --> 00:14:20.500]  敢于解决问题的这个什么行为动作都没有
[00:14:20.500 --> 00:14:22.600]  这个股票肯定是很难好的
[00:14:22.600 --> 00:14:24.600]  大家认同吧
[00:14:24.600 --> 00:14:27.300]  所以我们我们这个我刻鉴我们
[00:14:27.300 --> 00:14:29.500]  还是得用 ppt 了啊
[00:14:29.500 --> 00:14:30.600]  还用白板啊
[00:14:30.600 --> 00:14:33.800]  这个得帮我插一下
[00:14:33.800 --> 00:14:40.400]  辛苦陈总
[00:14:40.400 --> 00:14:42.300]  谢谢你了
[00:14:42.300 --> 00:14:46.100]  让我们大咖帮我插白板
[00:14:46.100 --> 00:14:48.000]  我真的是太太幸福了
[00:14:48.000 --> 00:14:48.900]  这个一定要
[00:14:50.100 --> 00:14:50.900]  干点其他事不够
[00:14:50.900 --> 00:14:53.600]  谢谢
[00:14:53.600 --> 00:14:55.600]  我不能咋说
[00:14:55.600 --> 00:15:04.700]  我们来说解啊
[00:15:04.700 --> 00:15:09.800]  解这个词对吧
[00:15:09.800 --> 00:15:11.100]  它是一个动词
[00:15:11.100 --> 00:15:14.400]  就是一定要有所动词有所
[00:15:14.400 --> 00:15:16.000]  行为有所作为
[00:15:16.000 --> 00:15:17.400]  才会解决的
[00:15:17.600 --> 00:15:19.600]  那么回到股价上我们说什么
[00:15:19.600 --> 00:15:21.900]  大家很多时候理解的解套就是什么
[00:15:21.900 --> 00:15:23.200]  我被套了
[00:15:23.200 --> 00:15:25.300]  你的词是不是
[00:15:25.300 --> 00:15:27.300]  会到打个字呢
[00:15:27.300 --> 00:15:31.700]  解套大家首先思考的是套
[00:15:31.700 --> 00:15:33.300]  套代表着什么
[00:15:33.300 --> 00:15:35.700]  套是静止还是动词啊
[00:15:35.700 --> 00:15:36.500]  静止
[00:15:36.500 --> 00:15:37.500]  不动了吗
[00:15:37.500 --> 00:15:38.400]  不动了吗
[00:15:38.400 --> 00:15:39.000]  对不对
