[00:00:00.000 --> 00:00:02.500]  还怕啥 机会肯定是多于风险的
[00:01:08.100 --> 00:01:09.800]  我给大家分为三种
[00:01:09.800 --> 00:01:11.000]  但其实不止三种
[00:01:11.000 --> 00:01:12.500]  单边谱生呈现之后
[00:01:12.500 --> 00:01:13.300]  我们会有三种
[00:01:13.300 --> 00:01:14.100]  一个叫什么
[00:01:14.100 --> 00:01:15.500]  一个叫趋势
[00:01:15.500 --> 00:01:20.100]  趋势就是我们所说的中长期或长期
[00:01:20.100 --> 00:01:22.900]  那我们要考虑的目标是什么
[00:01:22.900 --> 00:01:24.800]  月限周期看
[00:01:24.800 --> 00:01:26.600]  月限周期看
[00:01:26.600 --> 00:01:28.000]  趋势 对不对
[00:01:28.000 --> 00:01:29.500]  月限周期看趋势
[00:01:29.500 --> 00:01:30.100]  就像
[00:01:30.100 --> 00:01:32.000]  而且所有考虑趋势的朋友
[00:01:32.000 --> 00:01:33.500]  你用保他
[00:01:33.500 --> 00:01:35.600]  你最起码是半年到一年的周期
[00:01:35.600 --> 00:01:37.300]  你不能说
[00:01:37.300 --> 00:01:39.700]  我看着趋势看日限 对吧
[00:01:39.700 --> 00:01:41.500]  我看着趋势看一年多的
[00:01:41.500 --> 00:01:43.800]  然后在日限一个阴限就把你洗出来了
[00:01:43.800 --> 00:01:47.000]  那你的思考我可能不适合做趋势
[00:01:47.000 --> 00:01:49.300]  因为有的人可能做就发现
[00:01:49.300 --> 00:01:51.200]  我前面是做短线的 我做不来
[00:01:51.200 --> 00:01:52.900]  或者是我觉得我适合做短线
[00:01:52.900 --> 00:01:54.800]  但是我短线的方法没掌握透
[00:01:55.300 --> 00:01:57.600]  然后大家可能跟我一起学趋势
[00:01:57.600 --> 00:01:59.100]  你的波段发现又做趋势
[00:01:59.100 --> 00:02:01.200]  做完趋势之后发现我又做不来
[00:02:01.200 --> 00:02:02.100]  拿不来股票
[00:02:02.100 --> 00:02:04.900]  你发现你的个性里面还是适合短线
[00:02:04.900 --> 00:02:06.300]  那就明白意思了
[00:02:06.300 --> 00:02:09.100]  那ok 你是找到你自己适合的
[00:02:09.100 --> 00:02:10.100]  你短线为主
[00:02:10.100 --> 00:02:12.600]  你就把短线的各个角度打逻辑
[00:02:12.600 --> 00:02:15.500]  因为现在其实我们在分享的短线的思维也有
[00:02:15.500 --> 00:02:17.000]  趋势波段的思维也有
[00:02:17.000 --> 00:02:19.600]  就是你可以找到自己的一个市场
[00:02:19.600 --> 00:02:20.600]  擅长点
[00:02:20.600 --> 00:02:22.600]  那么第二个就是我们说的波段
[00:02:24.100 --> 00:02:27.600]  波段就是我们说的30分钟级别
[00:02:27.600 --> 00:02:30.600]  30分钟级别是一个波段了
[00:02:30.600 --> 00:02:32.600]  有的三五十个点了
[00:02:32.600 --> 00:02:33.600]  有的是中期
[00:02:33.600 --> 00:02:35.600]  那么这个我们一定要考虑周线
[00:02:35.600 --> 00:02:37.100]  周线上看循环
[00:02:37.100 --> 00:02:40.100]  那么还有一个单边组设里面还有一个什么就是短线
[00:02:40.100 --> 00:02:43.600]  但你看我们叫短线
[00:02:43.600 --> 00:02:45.600]  其实从行情级别的性质来讲
[00:02:45.600 --> 00:02:48.600]  就是15分钟级别或者是小30分钟级别
[00:02:48.600 --> 00:02:51.600]  为什么叫小30分钟级别呢
[00:02:51.600 --> 00:02:54.100]  它没有30分钟级别的模型
[00:02:54.100 --> 00:02:57.100]  但是能找出30分钟级别的空间
[00:02:57.100 --> 00:02:58.100]  对吧
[00:02:58.100 --> 00:02:59.600]  短线我现在已经强调了
[00:02:59.600 --> 00:03:02.600]  短线只要单边女生
[00:03:02.600 --> 00:03:05.100]  那这个可能我们更多的要考虑日线了
[00:03:05.100 --> 00:03:08.100]  但是趋势波段我是要求共振
[00:03:08.100 --> 00:03:11.600]  要求是共振
[00:03:11.600 --> 00:03:14.600]  其实现在你说慢慢在走出趋势共振的步调
[00:03:14.600 --> 00:03:16.600]  我相信到下半年会越来越多
[00:03:16.600 --> 00:03:17.600]  会越来越多
[00:03:17.600 --> 00:03:19.100]  因为现在我一直强调
[00:03:19.100 --> 00:03:21.600]  这个小半年我们就是做短线
[00:03:21.600 --> 00:03:23.100]  大家一定都明白
[00:03:23.100 --> 00:03:24.600]  这个小半年就是短线
[00:03:24.600 --> 00:03:27.100]  因为现在就是空格多的一个转接期
[00:03:27.100 --> 00:03:29.100]  到底谁出来不知道
[00:03:29.100 --> 00:03:32.600]  另外出来扭转的还有个回彩过程
[00:03:32.600 --> 00:03:33.600]  对不对
[00:03:33.600 --> 00:03:35.600]  所以就是短线的一个思路
[00:03:35.600 --> 00:03:39.100]  那么这是我们所讲的交易机会的一个目标
[00:03:39.100 --> 00:03:42.100]  另外我今天给大家一个词叫什么
[00:03:42.100 --> 00:03:43.100]  降违
[00:03:47.100 --> 00:03:51.600]  降违就是我先看月线的大趋势有没有
[00:03:51.600 --> 00:03:55.600]  没有我就不要考虑趋势和波段了
[00:03:55.600 --> 00:04:00.600]  然后我在看周线的波段机会趋势没有了
[00:04:00.600 --> 00:04:02.600]  全是空口没有多组
[00:04:02.600 --> 00:04:03.600]  我们所有的趋势都是多组
[00:04:03.600 --> 00:04:06.600]  单边组织讲的是多组的单边女生
[00:04:06.600 --> 00:04:10.600]  那么单边月线的趋势的多组单边女生没有
[00:04:10.600 --> 00:04:11.600]  有哪几个板块
[00:04:11.600 --> 00:04:14.100]  比如我刚才讲的石油电力
[00:04:14.100 --> 00:04:16.600]  包括船员港口这些
[00:04:16.600 --> 00:04:19.100]  那有的情况下你再来分析大家的细节点
[00:04:19.100 --> 00:04:21.100]  那所有的板
[00:04:21.100 --> 00:04:23.100]  肯定是板在调整的什么拐点
[00:04:23.100 --> 00:04:25.100]  不是让你追高嘛
[00:04:25.100 --> 00:04:28.100]  然后没有的情况下你看波段周线有没有
[00:04:28.100 --> 00:04:29.100]  如果波段周线也没有
[00:04:29.100 --> 00:04:30.100]  那你就不用看什么
[00:04:30.100 --> 00:04:33.100]  你就不用考虑你就是短线围绕的是什么
[00:04:33.100 --> 00:04:34.100]  热点
[00:04:34.100 --> 00:04:37.100]  围绕的是热点
[00:04:37.100 --> 00:04:39.100]  现在的热点是什么
[00:04:39.100 --> 00:04:42.100]  比如我们目前最热点是什么
[00:04:42.100 --> 00:04:44.100]  一个是低空经济的延续
[00:04:44.100 --> 00:04:46.100]  前天早上昨天早上今天对吧
[00:04:46.100 --> 00:04:48.600]  早上都有半个小时的低空经济还想去
[00:04:48.600 --> 00:04:50.600]  还想往上进攻的一个延续
[00:04:50.600 --> 00:04:54.600]  第二个就是房地产政策所延伸的房地产的各个方面
[00:04:54.600 --> 00:04:57.600]  从房地产到房地产服务物业服务到相关的装置建材
[00:04:57.600 --> 00:04:59.600]  包括家电这一个方向
[00:04:59.600 --> 00:05:01.600]  是为目前来讲其实
[00:05:01.600 --> 00:05:02.600]  资金能够看起来化工
[00:05:02.600 --> 00:05:05.600]  化工包化工合成生物的这一块短时间
[00:05:05.600 --> 00:05:07.600]  真的是在一个休息状态
[00:05:07.600 --> 00:05:09.600]  那你就明白目前的热点题材就在这些
[00:05:09.600 --> 00:05:12.600]  但你就在这些里面去把握短线的机会
[00:05:12.600 --> 00:05:14.600]  大家明白意思没有
[00:05:14.600 --> 00:05:17.600]  因为趋势和波段叫有准备之战
[00:05:17.600 --> 00:05:22.600]  这是需要有准备的
[00:05:22.600 --> 00:05:24.600]  因为我们为什么叫有准备呢
[00:05:24.600 --> 00:05:26.600]  我们要求板块
[00:05:26.600 --> 00:05:29.600]  是走三浪的
[00:05:29.600 --> 00:05:31.600]  对吧
[00:05:31.600 --> 00:05:35.600]  要求板块是我们能够看得出趋势多头走三浪的
[00:05:35.600 --> 00:05:37.600]  所以你要想做到这个走三浪
[00:05:37.600 --> 00:05:41.600]  就得有准备有右转有围条扛得住
[00:05:41.600 --> 00:05:44.600]  它才能什么具备得了走三
[00:05:44.600 --> 00:05:46.600]  而有准备之战的是什么
[00:05:46.600 --> 00:05:47.600]  就是我们所讲的
[00:05:47.600 --> 00:05:51.600]  是从冷到热的一个过程
[00:05:51.600 --> 00:05:52.600]  是从冷到热
[00:05:52.600 --> 00:05:54.600]  就是前面这个题材可能还没有
[00:05:54.600 --> 00:05:56.600]  但是结构做好准备
[00:05:56.600 --> 00:05:58.600]  等到慢慢慢慢上场题材热点
[00:05:58.600 --> 00:06:00.600]  慢慢慢慢展现出来的
[00:06:00.600 --> 00:06:02.600]  慢慢慢慢展现出来的
[00:06:02.600 --> 00:06:03.600]  但是短线不一样
[00:06:03.600 --> 00:06:05.600]  短线一定要强者思维
[00:06:05.600 --> 00:06:07.600]  你就在热对吧
[00:06:07.600 --> 00:06:10.600]  拿你热资金往哪里去
[00:06:10.600 --> 00:06:12.600]  拿你才有短线的机会
[00:06:12.600 --> 00:06:14.600]  大家能理解我意思吧
[00:06:14.600 --> 00:06:16.600]  就是这两个区别是挺大的
[00:06:16.600 --> 00:06:19.600]  如果你做短线你就好像热的在哪
[00:06:19.600 --> 00:06:21.600]  在热的你还去找
[00:06:21.600 --> 00:06:23.600]  那它的逻辑就不同
[00:06:23.600 --> 00:06:25.600]  而是热第一技术第二
[00:06:25.600 --> 00:06:30.600]  技术第二
[00:06:30.600 --> 00:06:33.600]  热度第一技术第二
[00:06:33.600 --> 00:06:35.600]  你要有一些区分
[00:06:35.600 --> 00:06:37.600]  那么所有的回到我今天上午所讲的
[00:06:37.600 --> 00:06:39.600]  不管你是趋势不一短线
[00:06:39.600 --> 00:06:42.600]  我们要求只是多头趋势主身
[00:06:42.600 --> 00:06:46.600]  所以我讲到了如何辨别趋势的变化
[00:06:46.600 --> 00:06:47.600]  对吧
[00:06:47.600 --> 00:06:49.600]  如何辨别趋势的变化
[00:06:49.600 --> 00:06:51.600]  从周创期怎么看
[00:06:51.600 --> 00:06:53.600]  因为这次我没有讲空转多
[00:06:53.600 --> 00:06:55.600]  我这次重点所讲的都是多
[00:06:55.600 --> 00:06:57.600]  不是
[00:06:57.600 --> 00:06:59.600]  我这次没有讲多转空
[00:06:59.600 --> 00:07:01.600]  我现在所有的重点都是在讲什么
[00:07:01.600 --> 00:07:03.600]  空怎么转多
[00:07:03.600 --> 00:07:05.600]  因为未来转多之后
[00:07:05.600 --> 00:07:06.600]  一旦越线转多
[00:07:06.600 --> 00:07:07.600]  就要顺势而为
[00:07:07.600 --> 00:07:08.600]  势不可挡
[00:07:08.600 --> 00:07:10.600]  还没有那么快结束
[00:07:10.600 --> 00:07:11.600]  现在我们这两年
[00:07:11.600 --> 00:07:13.600]  就24年25年
[00:07:13.600 --> 00:07:15.600]  我们所有的围绕目标是
[00:07:15.600 --> 00:07:17.600]  哪些方向能够转多
[00:07:17.600 --> 00:07:19.600]  就像石油我告诉大家转多了
[00:07:19.600 --> 00:07:20.600]  它就是顺势而为
[00:07:20.600 --> 00:07:21.600]  势不可挡
[00:07:21.600 --> 00:07:22.600]  就是看两年
[00:07:22.600 --> 00:07:24.600]  两年周期的趋势多头
[00:07:24.600 --> 00:07:25.600]  大家能理解意思了
[00:07:25.600 --> 00:07:27.600]  所以我们就要回到趋势了
[00:07:27.600 --> 00:07:29.600]  趋势这个方向
[00:07:29.600 --> 00:07:30.600]  那你所有的机会
[00:07:30.600 --> 00:07:32.600]  你必须建立在多头的基础之上
[00:07:32.600 --> 00:07:34.600]  那今天上午我们讲的知识
[00:07:34.600 --> 00:07:35.600]  你不用考虑月周日
[00:07:35.600 --> 00:07:37.600]  知识都是一样的
[00:07:37.600 --> 00:07:38.600]  对于趋势的保护
[00:07:38.600 --> 00:07:39.600]  我们看你的K线
[00:07:39.600 --> 00:07:41.600]  价格的变化
[00:07:41.600 --> 00:07:49.600]  和MA5020势的变化
[00:07:49.600 --> 00:07:51.600]  那这两个变化的过程中
[00:07:51.600 --> 00:07:52.600]  我们讲到了
[00:07:52.600 --> 00:07:54.600]  当扭转的时候
[00:07:54.600 --> 00:07:57.600]  重在什么
[00:07:57.600 --> 00:07:59.600]  重价
[00:07:59.600 --> 00:08:01.600]  价格怎么去变化
[00:08:01.600 --> 00:08:03.600]  去改变这个势的
[00:08:03.600 --> 00:08:06.600]  当势已经形成
[00:08:08.600 --> 00:08:10.600]  那你叫重势
[00:08:10.600 --> 00:08:12.600]  叫什么
[00:08:12.600 --> 00:08:14.600]  顺势而为
[00:08:14.600 --> 00:08:18.600]  还有什么
[00:08:18.600 --> 00:08:22.600]  还有什么
[00:08:22.600 --> 00:08:23.600]  另外一个叫顺势而为的
[00:08:23.600 --> 00:08:25.600]  叫势不可挡
[00:08:25.600 --> 00:08:31.600]  这是两个不同的
[00:08:31.600 --> 00:08:33.600]  就是我们的重参重点不一样
[00:08:33.600 --> 00:08:34.600]  那我们现在为止
[00:08:34.600 --> 00:08:35.600]  我们所有要考虑的是
[00:08:35.600 --> 00:08:37.600]  势的形成
[00:08:37.600 --> 00:08:40.600]  势的形成重价格
[00:08:40.600 --> 00:08:42.600]  扭转的过程中
[00:08:42.600 --> 00:08:43.600]  就是形成以后
[00:08:43.600 --> 00:08:44.600]  我说错了
[00:08:44.600 --> 00:08:45.600]  形成后
[00:08:45.600 --> 00:08:47.600]  在扭转势形成过程中
[00:08:47.600 --> 00:08:49.600]  形成中
[00:08:49.600 --> 00:08:51.600]  那么一定是重价格
[00:08:51.600 --> 00:08:55.600]  反正价格就回到了阴阳博弈
[00:08:55.600 --> 00:08:58.600]  就是K线与亮柱之间的阴阳博弈
[00:08:58.600 --> 00:09:01.600]  去看这个势的态度
[00:09:01.600 --> 00:09:02.600]  它是积极的
[00:09:02.600 --> 00:09:04.600]  还是没力道的
[00:09:04.600 --> 00:09:06.600]  还是犹犹豫豫的
[00:09:06.600 --> 00:09:08.600]  还是根本就不敢动的
[00:09:08.600 --> 00:09:10.600]  那就看量价的关系
[00:09:10.600 --> 00:09:12.600]  因为有可能它也是转多了
[00:09:12.600 --> 00:09:15.600]  但是它转多的量价的态度不强
[00:09:15.600 --> 00:09:17.600]  这个板块也很难起来
[00:09:17.600 --> 00:09:19.600]  也很难起来
[00:09:19.600 --> 00:09:21.600]  这是我们整个今天上午
[00:09:21.600 --> 00:09:23.600]  和大家分享的一些思考点
[00:09:23.600 --> 00:09:25.600]  另外我还强调了一些
[00:09:25.600 --> 00:09:27.600]  细节要素的主展开
[00:09:27.600 --> 00:09:28.600]  我还强调了
[00:09:28.600 --> 00:09:30.600]  同样的这些知识点
[00:09:30.600 --> 00:09:33.600]  你未来可以忽视大盘
[00:09:33.600 --> 00:09:35.600]  我说的忽视大盘
[00:09:35.600 --> 00:09:37.600]  不是用你去研究大盘
[00:09:37.600 --> 00:09:38.600]  但是你搞不懂这次吧
[00:09:38.600 --> 00:09:41.600]  但是你一定要把心思放在哪里
[00:09:41.600 --> 00:09:44.600]  放在板块
[00:09:44.600 --> 00:09:46.600]  因为我告诉到大家
[00:09:46.600 --> 00:09:48.600]  你板块上能看出机会
[00:09:48.600 --> 00:09:50.600]  大盘一定有机会向上
[00:09:50.600 --> 00:09:53.600]  你板块上没有看出机会
[00:09:53.600 --> 00:09:54.600]  有中字的物盘
[00:09:54.600 --> 00:09:56.600]  板块也不会怎么差
[00:09:56.600 --> 00:09:58.600]  指数也不会怎么差
[00:09:58.600 --> 00:09:59.600]  但是问题是
[00:09:59.600 --> 00:10:01.600]  中字的物盘或者是轮动的格局
[00:10:01.600 --> 00:10:04.600]  不代表我们有很好的交易机会
[00:10:04.600 --> 00:10:07.600]  我们需要的是有持续性的交易机会
[00:10:07.600 --> 00:10:08.600]  这个持续性的机会
[00:10:08.600 --> 00:10:09.600]  就是我们上午所说的
[00:10:09.600 --> 00:10:11.600]  月线看中长期
[00:10:11.600 --> 00:10:13.600]  目前很少
[00:10:13.600 --> 00:10:15.600]  周线看中期
[00:10:15.600 --> 00:10:17.600]  或三十分钟级别
[00:10:17.600 --> 00:10:19.600]  日线看小短线
[00:10:19.600 --> 00:10:21.600]  所以我们接下来
[00:10:21.600 --> 00:10:23.600]  要展开的就是关于什么
[00:10:23.600 --> 00:10:24.600]  关于日线
[00:10:24.600 --> 00:10:25.600]  在展开之前
[00:10:25.600 --> 00:10:27.600]  我还有两个字送给大家
[00:10:27.600 --> 00:10:28.600]  大家在看循环的时候
[00:10:28.600 --> 00:10:31.600]  一定要从就是看
[00:10:31.600 --> 00:10:32.600]  不对就是看趋势的时候
[00:10:32.600 --> 00:10:35.600]  一定要站循环的角度来看
[00:10:35.600 --> 00:10:37.600]  一定要站在循环的角度来看
[00:10:37.600 --> 00:10:39.600]  什么意思呢
[00:10:39.600 --> 00:10:43.600]  我们先把中长期和中期的展开掉
[00:10:43.600 --> 00:10:45.600]  中长期和中期的展开掉
[00:10:45.600 --> 00:10:47.600]  在看循环的时候
[00:10:47.600 --> 00:10:48.600]  我们之前是不是说
[00:10:48.600 --> 00:10:50.600]  我不知道这个到底什么时候开始
[00:10:50.600 --> 00:10:51.600]  为起点的对不对
[00:10:51.600 --> 00:10:53.600]  咱们这现在也简单了
[00:10:53.600 --> 00:10:56.600]  你不交给大家复杂的
[00:10:56.600 --> 00:10:58.600]  看循环的时候
[00:10:58.600 --> 00:11:00.600]  因为这个位置是五合十
[00:11:00.600 --> 00:11:02.600]  价格模式带到此差的对不对
[00:11:02.600 --> 00:11:03.600]  它已经掉了很多了
[00:11:03.600 --> 00:11:06.600]  我们也不是从五合十掉到二十下方
[00:11:06.600 --> 00:11:08.600]  才确认下降去式的
[00:11:08.600 --> 00:11:09.600]  如果是在高落的话
[00:11:09.600 --> 00:11:10.600]  出现阴包阳
[00:11:10.600 --> 00:11:11.600]  还会有反复
[00:11:11.600 --> 00:11:13.600]  再次阴包阳
[00:11:13.600 --> 00:11:14.600]  反复过不去
[00:11:14.600 --> 00:11:16.600]  那基本上就是头部了
[00:11:16.600 --> 00:11:17.600]  因为这一条的支持点
[00:11:17.600 --> 00:11:21.600]  在我们第三天关于持窗过程中来跟大家讲
[00:11:21.600 --> 00:11:23.600]  持窗不就是这样吗
[00:11:23.600 --> 00:11:24.600]  我健康的我就拿着
[00:11:24.600 --> 00:11:25.600]  不健康的我就走
[00:11:25.600 --> 00:11:27.600]  不健康的就已经到头了嘛
[00:11:27.600 --> 00:11:28.600]  大家理解我意思没有
[00:11:28.600 --> 00:11:30.600]  所以头部我今天就先不展开
[00:11:30.600 --> 00:11:31.600]  在持窗上展开
[00:11:31.600 --> 00:11:32.600]  那我们来看一下
[00:11:32.600 --> 00:11:34.600]  我们怎么去看循环呢
[00:11:34.600 --> 00:11:37.600]  你像这里整个都是在越线的空头
[00:11:37.600 --> 00:11:38.600]  为什么这么讲
[00:11:38.600 --> 00:11:42.600]  我们循环就从五合十死差开始
[00:11:42.600 --> 00:11:44.600]  这因为死差开始
[00:11:44.600 --> 00:11:47.600]  基本上就是这个头部的一个什么
[00:11:47.600 --> 00:11:49.600]  就是过去的那个循环的起点
[00:11:49.600 --> 00:11:52.600]  就从五合十的死差开始
[00:11:52.600 --> 00:11:54.600]  大家能理解我的意思没有
[00:11:54.600 --> 00:11:55.600]  那么你看
[00:11:55.600 --> 00:11:56.600]  目前这里整个过程中
[00:11:56.600 --> 00:11:58.600]  这就是我说的不好的
[00:11:58.600 --> 00:11:59.600]  像我刚才讲的
[00:11:59.600 --> 00:12:02.600]  整个扭转的过程中到这里转为多头
[00:12:02.600 --> 00:12:04.600]  趋势转为多头
[00:12:04.600 --> 00:12:05.600]  但是它是矛盾的
[00:12:05.600 --> 00:12:08.600]  然后价格没有形成多头
[00:12:08.600 --> 00:12:09.600]  它就容易什么
[00:12:09.600 --> 00:12:10.600]  再次延展向下
[00:12:10.600 --> 00:12:12.600]  没有有效的扭转
[00:12:12.600 --> 00:12:13.600]  没有有效的扭转
[00:12:13.600 --> 00:12:16.600]  那我们再来看一下通传情况下
[00:12:16.600 --> 00:12:18.600]  我只能讲通传情况下
[00:12:18.600 --> 00:12:19.600]  通传情况下
[00:12:19.600 --> 00:12:20.600]  代表大的周期调整
[00:12:20.600 --> 00:12:21.600]  一个完整的波乱之处
[00:12:21.600 --> 00:12:22.600]  从这里
[00:12:22.600 --> 00:12:23.600]  对吧
[00:12:23.600 --> 00:12:25.600]  死差开始一般会有三波段
[00:12:25.600 --> 00:12:26.600]  一般就是会有
[00:12:26.600 --> 00:12:27.600]  就你找到
[00:12:27.600 --> 00:12:30.600]  我们不是算下地我们跌到位吗
[00:12:30.600 --> 00:12:32.600]  你只要知道起点你不是会看的
[00:12:32.600 --> 00:12:34.600]  你的起点是找到前面的上涨
[00:12:34.600 --> 00:12:36.600]  月线上的那个死差的那个点
[00:12:36.600 --> 00:12:37.600]  是在什么时候
[00:12:37.600 --> 00:12:38.600]  是从这里开始
[00:12:38.600 --> 00:12:40.600]  那么从这到这都是它的
[00:12:40.600 --> 00:12:43.600]  月线中长期的调整周期
[00:12:43.600 --> 00:12:44.600]  大家能理解我的意思
[00:12:44.600 --> 00:12:45.600]  然后这个调整周期
[00:12:45.600 --> 00:12:47.600]  你看现在还是属于空的
[00:12:47.600 --> 00:12:48.600]  那么当比如说
[00:12:48.600 --> 00:12:49.600]  这里调整慢慢慢慢之后
[00:12:49.600 --> 00:12:51.600]  什么时候开始进行一个转变
[00:12:51.600 --> 00:12:52.600]  转多
[00:12:52.600 --> 00:12:53.600]  那我问大家一下
[00:12:53.600 --> 00:12:54.600]  你是不是知道
[00:12:54.600 --> 00:12:55.600]  这个循环是针对
[00:12:55.600 --> 00:12:57.600]  请如果这里转多的循环
[00:12:57.600 --> 00:12:59.600]  是针对从这个位置到这个位置
[00:12:59.600 --> 00:13:01.600]  结束的一个信息
[00:13:01.600 --> 00:13:03.600]  能这能明白我的意思吗
[00:13:03.600 --> 00:13:05.600]  就是你怎么确认这个转逝是什么
[00:13:05.600 --> 00:13:07.600]  是到头了
[00:13:07.600 --> 00:13:10.600]  然后我们就来看这也是一样的
[00:13:10.600 --> 00:13:13.600]  在这里慢慢看
[00:13:13.600 --> 00:13:14.600]  大家就能够
[00:13:14.600 --> 00:13:16.600]  就应该能理解了
[00:13:16.600 --> 00:13:18.600]  我们说它一个趋势熊牛循环的话
[00:13:18.600 --> 00:13:20.600]  熊什么时候开始
[00:13:20.600 --> 00:13:22.600]  你就中长期你就月线的
[00:13:22.600 --> 00:13:24.600]  上一个上升波段的死差开始
[00:13:24.600 --> 00:13:26.600]  五合十的死差开始
[00:13:26.600 --> 00:13:28.600]  它整个从这里就进入了什么
[00:13:28.600 --> 00:13:30.600]  价
[00:13:30.600 --> 00:13:32.600]  进入了一个破位向下
[00:13:32.600 --> 00:13:33.600]  这个价格的破位
[00:13:33.600 --> 00:13:35.600]  把整个势带动代表进入熊市
[00:13:35.600 --> 00:13:37.600]  那么在熊市的过程中
[00:13:37.600 --> 00:13:39.600]  你可以看一下这里是向上
[00:13:39.600 --> 00:13:40.600]  价格很强
[00:13:40.600 --> 00:13:42.600]  但是没有能力把什么
[00:13:42.600 --> 00:13:44.600]  月线上不带
[00:13:44.600 --> 00:13:45.600]  你请问大家问题
[00:13:45.600 --> 00:13:46.600]  这个上涨
[00:13:46.600 --> 00:13:48.600]  周线上会不会呈现出来机会给你
[00:13:48.600 --> 00:13:50.600]  肯定会吧
[00:13:50.600 --> 00:13:52.600]  这是我说的降维
[00:13:52.600 --> 00:13:54.600]  月线看不到的情况下
[00:13:54.600 --> 00:13:55.600]  周线上看
[00:13:55.600 --> 00:13:57.600]  我们给大家放一下
[00:13:57.600 --> 00:13:59.600]  月线看不到的时候
[00:13:59.600 --> 00:14:01.600]  是在这一段吧
[00:14:01.600 --> 00:14:03.600]  是不是月线看不到的时候
[00:14:03.600 --> 00:14:05.600]  周线上在这里会不会呈现给我们
[00:14:05.600 --> 00:14:08.600]  大家告诉我周线上会不会呈现给我们
[00:14:08.600 --> 00:14:10.600]  是不是会呈现的
[00:14:10.600 --> 00:14:12.600]  因为周线代表着中期
[00:14:12.600 --> 00:14:13.600]  月线代表着什么
[00:14:13.600 --> 00:14:15.600]  中长期
[00:14:15.600 --> 00:14:17.600]  再回到这一段
[00:14:17.600 --> 00:14:21.600]  月线上没办法扭转到回调
[00:14:21.600 --> 00:14:25.600]  再向上总算把5和10带动到20的上方
[00:14:25.600 --> 00:14:27.600]  那么在面对这一段过程中的时候
[00:14:27.600 --> 00:14:29.600]  这应该是可以往前一点
[00:14:29.600 --> 00:14:31.600]  面对这一段过程中的时候
[00:14:31.600 --> 00:14:33.600]  其实大家应该知道
[00:14:33.600 --> 00:14:35.600]  向上向上向下这是一个什么
[00:14:35.600 --> 00:14:37.600]  矛盾对不对
[00:14:37.600 --> 00:14:39.600]  那这种矛盾就是所有的矛盾记住
[00:14:39.600 --> 00:14:42.600]  要上再下或下再上
[00:14:42.600 --> 00:14:45.600]  所有的矛盾它只有通过上穿再下
[00:14:45.600 --> 00:14:49.600]  或下穿再收回的方式来化解
[00:14:49.600 --> 00:14:51.600]  那如果选择向上
[00:14:51.600 --> 00:14:53.600]  矛盾选择向上你再来看一下
[00:14:53.600 --> 00:14:55.600]  从这里到这里结构也不清晰对不对
[00:14:55.600 --> 00:14:57.600]  就只能看这是一个小模型3
[00:14:57.600 --> 00:14:59.600]  因为这里是空头
[00:14:59.600 --> 00:15:01.600]  那它的级别就相对来讲小一点
[00:15:01.600 --> 00:15:03.600]  小波段上完之后
[00:15:03.600 --> 00:15:05.600]  它还是属于矛盾的
[00:15:05.600 --> 00:15:07.600]  那它就需要什么化解
[00:15:07.600 --> 00:15:08.600]  化解大家可以看
[00:15:08.600 --> 00:15:09.600]  包括这个阴线
[00:15:09.600 --> 00:15:11.600]  那么这个阴线到目前为止的化解
