[00:00:00.000 --> 00:00:01.000]  什么密码
[00:02:12.000 --> 00:02:14.000]  久远银行
[00:02:14.000 --> 00:02:17.000]  姚旺科技
[00:02:17.000 --> 00:02:21.000]  金
[00:02:21.000 --> 00:02:24.000]  金普泰业
[00:02:24.000 --> 00:02:27.000]  金普泰业
[00:02:27.000 --> 00:02:30.000]  金普泰业
[00:02:30.000 --> 00:02:33.000]  金普泰业
[00:02:33.000 --> 00:02:36.000]  金普泰业
[00:02:37.000 --> 00:02:39.000]  金普泰业
[00:02:39.000 --> 00:02:41.000]  就这几个吧
[00:02:41.000 --> 00:02:44.000]  他们俩还没来
[00:02:44.000 --> 00:02:47.000]  然后再说一下金普泰业
[00:02:47.000 --> 00:02:49.000]  大家在如果既然是下跌
[00:02:49.000 --> 00:02:51.000]  你可以看下跌过程中的那个
[00:02:51.000 --> 00:02:55.000]  就是开启下跌的那个K线是哪个节点
[00:02:55.000 --> 00:03:00.000]  也可以看找到它开启调整的那些阴线是哪个节点
[00:03:00.000 --> 00:03:04.000]  然后在阴线的过程中也是一样的
[00:03:04.000 --> 00:03:06.000]  标101234567
[00:03:06.000 --> 00:03:08.000]  去理解去感知
[00:03:08.000 --> 00:03:11.000]  这个阴线走坏的强弱
[00:03:11.000 --> 00:03:15.000]  金普泰业
[00:03:15.000 --> 00:03:17.000]  姚旺科技
[00:03:17.000 --> 00:03:20.000]  久远银行
[00:03:20.000 --> 00:03:22.000]  莱克电器中文再现
[00:03:22.000 --> 00:03:35.000]  给他打电话了吗
[00:03:36.000 --> 00:03:38.000]  给他打个电话
[00:03:38.000 --> 00:03:40.000]  他们是不是吃过了
[00:03:40.000 --> 00:03:46.000]  张大厦你帮你打个电话问一下
[00:03:46.000 --> 00:03:51.000]  明显是吧
[00:03:51.000 --> 00:03:53.000]  中文再现有五个呢
[00:03:53.000 --> 00:03:55.000]  五个
[00:03:55.000 --> 00:03:57.000]  三个光标
[00:03:57.000 --> 00:03:59.000]  久远银行
[00:03:59.000 --> 00:04:01.000]  姚旺科技
[00:04:01.000 --> 00:04:02.000]  金普泰业
[00:04:02.000 --> 00:04:03.000]  中文再现
[00:04:03.000 --> 00:04:05.000]  其实哪个图都可以
[00:04:05.000 --> 00:04:07.000]  只不过这不同的图它有一些区别
[00:04:07.000 --> 00:04:09.000]  讲看下跌
[00:04:09.000 --> 00:04:10.000]  要破坏
[00:04:10.000 --> 00:04:12.000]  破坏就是这种不好的走势
[00:04:12.000 --> 00:04:14.000]  那你就先看
[00:04:14.000 --> 00:04:16.000]  像这种下跌是怎么起来的
[00:04:16.000 --> 00:04:19.000]  哪一根关键K线把整个势给带动走坏了
[00:04:19.000 --> 00:04:25.000]  然后同时1234567也标10号
[00:04:31.000 --> 00:04:34.000]  老黄好像还有一份多的
[00:04:34.000 --> 00:04:36.000]  黄严金你那儿有吗
[00:04:36.000 --> 00:04:37.000]  有有有
[00:04:37.000 --> 00:04:39.000]  你做功课呀
[00:04:39.000 --> 00:04:41.000]  给你比
[00:04:41.000 --> 00:04:42.000]  可认真的
[00:04:42.000 --> 00:04:43.000]  可认真的
[00:04:43.000 --> 00:04:46.000]  不能都照顾到外面照顾好你
[00:04:46.000 --> 00:04:48.000]  那是我的错呀
[00:04:48.000 --> 00:04:49.000]  不好意思
[00:04:49.000 --> 00:04:51.000]  怎么这么厉害的
[00:04:51.000 --> 00:04:53.000]  照顾这么好的
[00:04:53.000 --> 00:04:57.000]  最要照顾的是这个
[00:05:00.000 --> 00:05:02.000]  我们在这就靠你
[00:05:02.000 --> 00:05:04.000]  标神下的
[00:05:04.000 --> 00:05:07.000]  我们在老黄是抓人的
[00:05:07.000 --> 00:05:09.000]  对 标大音
[00:05:09.000 --> 00:05:11.000]  标序列号啊
[00:05:11.000 --> 00:05:21.000]  我觉得像我这种性格的
[00:05:21.000 --> 00:05:24.000]  就要像我们老黄这种性格的人跟我在一起
[00:05:24.000 --> 00:05:26.000]  其实我很性格
[00:05:26.000 --> 00:05:28.000]  这什么就是
[00:05:28.000 --> 00:05:31.000]  女性的身体 男性的个性
[00:05:31.000 --> 00:05:44.000]  找发箭头
[00:05:44.000 --> 00:05:46.000]  我要你们画ABC
[00:05:46.000 --> 00:05:48.000]  ABC都已经不知道带到哪里去了
[00:05:48.000 --> 00:05:51.000]  就把第一根那个扭转的那个一线标箭头
[00:05:51.000 --> 00:05:52.000]  然后标齐
[00:05:52.000 --> 00:05:54.000]  你这也可以呀
[00:05:54.000 --> 00:05:55.000]  你这也可以呀
[00:05:55.000 --> 00:05:56.000]  这也可以呀
[00:05:56.000 --> 00:05:58.000]  这根就要跟单单音是一种
[00:05:58.000 --> 00:06:00.000]  线以线为对的
[00:06:00.000 --> 00:06:01.000]  这条线
[00:06:01.000 --> 00:06:02.000]  我们的线
[00:06:02.000 --> 00:06:03.000]  它在线的线
[00:06:03.000 --> 00:06:05.000]  已经在线的下面了
[00:06:05.000 --> 00:06:07.000]  就是G
[00:06:07.000 --> 00:06:12.000]  有G
[00:06:12.000 --> 00:06:14.000]  都可以
[00:06:14.000 --> 00:06:17.000]  有关键的
[00:06:17.000 --> 00:06:18.000]  因为一旦它进入下边去
[00:06:18.000 --> 00:06:19.000]  是你已经不看了
[00:06:19.000 --> 00:06:21.000]  关键是这个卡尺下在硬字的时候
[00:06:21.000 --> 00:06:22.000]  你要
[00:06:25.000 --> 00:06:26.000]  拿是3的
[00:06:26.000 --> 00:06:28.000]  把硬的对后面写一下
[00:06:28.000 --> 00:06:30.000]  就是我们讲的
[00:06:30.000 --> 00:06:31.000]  你看啊
[00:06:31.000 --> 00:06:32.000]  我们在
[00:06:32.000 --> 00:06:34.000]  如果说你标记是3的
[00:06:34.000 --> 00:06:36.000]  给你把3对的硬对
[00:06:36.000 --> 00:06:38.000]  在上面写出来
[00:06:38.000 --> 00:06:39.000]  符不符合硬对
[00:06:39.000 --> 00:06:41.000]  符合硬对你也看到它正好符合硬对的
[00:06:41.000 --> 00:06:42.000]  不符合硬对的
[00:06:42.000 --> 00:06:43.000]  3我讲过了
[00:06:43.000 --> 00:06:44.000]  要不就你重新修复
[00:06:44.000 --> 00:06:46.000]  再趋势多头对不对
[00:06:46.000 --> 00:06:47.000]  要不你不能修复
[00:06:47.000 --> 00:06:48.000]  那就是什么
[00:06:48.000 --> 00:06:49.000]  到压力位卖倉
[00:06:49.000 --> 00:06:50.000]  卖出
[00:06:50.000 --> 00:06:52.000]  就把这些分布结合起来
[00:06:52.000 --> 00:06:53.000]  (细节)
[00:06:55.000 --> 00:06:56.000]  (细节)
[00:06:58.000 --> 00:06:59.000]  (细节)
[00:07:01.000 --> 00:07:02.000]  (细节)
[00:07:04.000 --> 00:07:05.000]  (细节)
[00:07:05.000 --> 00:07:06.000]  (细节)
[00:07:06.000 --> 00:07:07.000]  (细节)
[00:07:08.000 --> 00:07:09.000]  (细节)
[00:07:11.000 --> 00:07:12.000]  (细节)
[00:07:12.000 --> 00:07:13.000]  (细节)
[00:07:13.000 --> 00:07:14.000]  (细节)
[00:07:14.000 --> 00:07:15.000]  (细节)
[00:07:15.000 --> 00:07:16.000]  (细节)
[00:07:16.000 --> 00:07:17.000]  (细节)
[00:07:17.000 --> 00:07:18.000]  (细节)
[00:07:18.000 --> 00:07:19.000]  (细节)
[00:07:19.000 --> 00:07:20.000]  (细节)
[00:07:20.000 --> 00:07:21.000]  (细节)
[00:07:21.000 --> 00:07:22.000]  (细节)
[00:07:22.000 --> 00:07:23.000]  (细节)
[00:07:23.000 --> 00:07:24.000]  (细节)
[00:07:24.000 --> 00:07:25.000]  (细节)
[00:07:25.000 --> 00:07:26.000]  (细节)
[00:07:26.000 --> 00:07:27.000]  (细节)
[00:07:27.000 --> 00:07:28.000]  (细节)
[00:07:28.000 --> 00:07:29.000]  (细节)
[00:07:29.000 --> 00:07:30.000]  (细节)
[00:07:30.000 --> 00:07:31.000]  (细节)
[00:07:31.000 --> 00:07:32.000]  (细节)
[00:07:32.000 --> 00:07:33.000]  (细节)
[00:07:33.000 --> 00:07:34.000]  (细节)
[00:07:34.000 --> 00:07:35.000]  (细节)
[00:07:35.000 --> 00:07:36.000]  (细节)
[00:07:36.000 --> 00:07:37.000]  (细节)
[00:07:37.000 --> 00:07:38.000]  (细节)
[00:07:38.000 --> 00:07:39.000]  (细节)
[00:07:39.000 --> 00:07:40.000]  (细节)
[00:07:40.000 --> 00:07:41.000]  (细节)
[00:07:41.000 --> 00:07:42.000]  (细节)
[00:07:42.000 --> 00:07:43.000]  (细节)
[00:07:43.000 --> 00:07:44.000]  (细节)
[00:07:44.000 --> 00:07:45.000]  (细节)
[00:07:45.000 --> 00:07:46.000]  (细节)
[00:07:46.000 --> 00:07:47.000]  (细节)
[00:07:47.000 --> 00:07:48.000]  (细节)
[00:07:48.000 --> 00:07:49.000]  (细节)
[00:07:49.000 --> 00:07:50.000]  (细节)
[00:07:50.000 --> 00:07:51.000]  (细节)
[00:07:51.000 --> 00:07:52.000]  (细节)
[00:07:52.000 --> 00:07:53.000]  (细节)
[00:07:53.000 --> 00:07:54.000]  (细节)
[00:07:54.000 --> 00:07:55.000]  (细节)
[00:07:55.000 --> 00:07:56.000]  (细节)
[00:07:56.000 --> 00:07:57.000]  (细节)
[00:07:57.000 --> 00:07:58.000]  (细节)
[00:07:58.000 --> 00:07:59.000]  (细节)
[00:07:59.000 --> 00:08:00.000]  (细节)
[00:08:00.000 --> 00:08:01.000]  (细节)
[00:08:01.000 --> 00:08:02.000]  (细节)
[00:08:02.000 --> 00:08:03.000]  (细节)
[00:08:03.000 --> 00:08:04.000]  (细节)
[00:08:04.000 --> 00:08:05.000]  (细节)
[00:08:05.000 --> 00:08:06.000]  (细节)
[00:08:06.000 --> 00:08:07.000]  (细节)
[00:08:07.000 --> 00:08:08.000]  (细节)
[00:08:08.000 --> 00:08:09.000]  (细节)
[00:08:09.000 --> 00:08:10.000]  (细节)
[00:08:10.000 --> 00:08:11.000]  (细节)
[00:08:11.000 --> 00:08:12.000]  (细节)
[00:08:12.000 --> 00:08:13.000]  (细节)
[00:08:13.000 --> 00:08:14.000]  (细节)
[00:08:14.000 --> 00:08:15.000]  (细节)
[00:08:15.000 --> 00:08:16.000]  (细节)
[00:08:16.000 --> 00:08:17.000]  (细节)
[00:08:17.000 --> 00:08:18.000]  (细节)
[00:08:18.000 --> 00:08:19.000]  (细节)
[00:08:19.000 --> 00:08:20.000]  (细节)
[00:08:20.000 --> 00:08:21.000]  (细节)
[00:08:21.000 --> 00:08:22.000]  (细节)
[00:08:22.000 --> 00:08:23.000]  (细节)
[00:08:23.000 --> 00:08:24.000]  (细节)
[00:08:24.000 --> 00:08:25.000]  (细节)
[00:08:25.000 --> 00:08:26.000]  (细节)
[00:08:26.000 --> 00:08:27.000]  (细节)
[00:08:27.000 --> 00:08:28.000]  (细节)
[00:08:28.000 --> 00:08:29.000]  (细节)
[00:08:29.000 --> 00:08:30.000]  (细节)
[00:08:30.000 --> 00:08:31.000]  (细节)
[00:08:31.000 --> 00:08:32.000]  (细节)
[00:08:32.000 --> 00:08:33.000]  (细节)
[00:08:33.000 --> 00:08:34.000]  (细节)
[00:08:34.000 --> 00:08:35.000]  (细节)
[00:08:35.000 --> 00:08:36.000]  (细节)
[00:08:36.000 --> 00:08:37.000]  (细节)
[00:08:37.000 --> 00:08:38.000]  (细节)
[00:08:38.000 --> 00:08:39.000]  (细节)
[00:08:39.000 --> 00:08:40.000]  (细节)
[00:08:40.000 --> 00:08:41.000]  (细节)
[00:08:41.000 --> 00:08:42.000]  (细节)
[00:08:42.000 --> 00:08:43.000]  (细节)
[00:08:43.000 --> 00:08:44.000]  (细节)
[00:08:44.000 --> 00:08:45.000]  (细节)
[00:08:45.000 --> 00:08:46.000]  (细节)
[00:08:46.000 --> 00:08:47.000]  (细节)
[00:08:47.000 --> 00:08:48.000]  (细节)
[00:08:48.000 --> 00:08:49.000]  (细节)
[00:08:49.000 --> 00:08:50.000]  (细节)
[00:08:50.000 --> 00:08:51.000]  (细节)
[00:08:51.000 --> 00:08:52.000]  (细节)
[00:08:52.000 --> 00:08:53.000]  (细节)
[00:08:53.000 --> 00:08:54.000]  (细节)
[00:08:54.000 --> 00:08:55.000]  (细节)
[00:08:55.000 --> 00:08:56.000]  (细节)
[00:08:56.000 --> 00:08:57.000]  (细节)
[00:08:57.000 --> 00:08:58.000]  (细节)
[00:08:58.000 --> 00:08:59.000]  (细节)
[00:08:59.000 --> 00:09:00.000]  (细节)
[00:09:00.000 --> 00:09:01.000]  (细节)
[00:09:01.000 --> 00:09:02.000]  (细节)
[00:09:02.000 --> 00:09:03.000]  (细节)
[00:09:03.000 --> 00:09:04.000]  (细节)
[00:09:04.000 --> 00:09:05.000]  (细节)
[00:09:05.000 --> 00:09:06.000]  (细节)
[00:09:06.000 --> 00:09:07.000]  (细节)
[00:09:07.000 --> 00:09:08.000]  (细节)
[00:09:08.000 --> 00:09:09.000]  (细节)
[00:09:09.000 --> 00:09:10.000]  (细节)
[00:09:10.000 --> 00:09:11.000]  (细节)
[00:09:11.000 --> 00:09:12.000]  (细节)
[00:09:12.000 --> 00:09:13.000]  (细节)
[00:09:13.000 --> 00:09:14.000]  (细节)
[00:09:14.000 --> 00:09:15.000]  (细节)
[00:09:15.000 --> 00:09:16.000]  (细节)
[00:09:16.000 --> 00:09:17.000]  (细节)
[00:09:17.000 --> 00:09:18.000]  (细节)
[00:09:18.000 --> 00:09:19.000]  (细节)
[00:09:19.000 --> 00:09:20.000]  (细节)
[00:09:20.000 --> 00:09:21.000]  (细节)
[00:09:21.000 --> 00:09:22.000]  (细节)
[00:09:22.000 --> 00:09:23.000]  (细节)
[00:09:23.000 --> 00:09:24.000]  (细节)
[00:09:24.000 --> 00:09:25.000]  (细节)
[00:09:25.000 --> 00:09:26.000]  (细节)
[00:09:26.000 --> 00:09:27.000]  (细节)
[00:09:27.000 --> 00:09:28.000]  (细节)
[00:09:28.000 --> 00:09:29.000]  (细节)
[00:09:29.000 --> 00:09:30.000]  (细节)
[00:09:30.000 --> 00:09:31.000]  (细节)
[00:09:31.000 --> 00:09:32.000]  (细节)
[00:09:32.000 --> 00:09:33.000]  (细节)
[00:09:33.000 --> 00:09:34.000]  (细节)
[00:09:34.000 --> 00:09:35.000]  (细节)
[00:09:35.000 --> 00:09:36.000]  (细节)
[00:09:36.000 --> 00:09:37.000]  (细节)
[00:09:37.000 --> 00:09:38.000]  (细节)
[00:09:38.000 --> 00:09:39.000]  (细节)
[00:09:39.000 --> 00:09:40.000]  (细节)
[00:09:40.000 --> 00:09:41.000]  (细节)
[00:09:41.000 --> 00:09:42.000]  (细节)
[00:09:42.000 --> 00:09:43.000]  (细节)
[00:09:43.000 --> 00:09:44.000]  (细节)
[00:09:44.000 --> 00:09:45.000]  (细节)
[00:09:45.000 --> 00:09:46.000]  (细节)
[00:09:46.000 --> 00:09:47.000]  (细节)
[00:09:47.000 --> 00:09:48.000]  (细节)
[00:09:48.000 --> 00:09:49.000]  (细节)
[00:09:49.000 --> 00:09:50.000]  (细节)
[00:09:50.000 --> 00:09:51.000]  (细节)
[00:09:51.000 --> 00:09:52.000]  (细节)
[00:09:52.000 --> 00:09:53.000]  (细节)
[00:09:53.000 --> 00:09:54.000]  (细节)
[00:09:54.000 --> 00:09:55.000]  (细节)
[00:09:55.000 --> 00:09:56.000]  (细节)
[00:09:56.000 --> 00:09:57.000]  (细节)
[00:09:57.000 --> 00:09:58.000]  (细节)
[00:09:58.000 --> 00:09:59.000]  (细节)
[00:09:59.000 --> 00:10:00.000]  (细节)
[00:10:00.000 --> 00:10:01.000]  (细节)
[00:10:01.000 --> 00:10:02.000]  (细节)
[00:10:02.000 --> 00:10:03.000]  (细节)
[00:10:03.000 --> 00:10:04.000]  (细节)
[00:10:04.000 --> 00:10:05.000]  (细节)
[00:10:05.000 --> 00:10:06.000]  (细节)
[00:10:06.000 --> 00:10:07.000]  (细节)
[00:10:07.000 --> 00:10:08.000]  (细节)
[00:10:08.000 --> 00:10:09.000]  (细节)
[00:10:09.000 --> 00:10:10.000]  (细节)
[00:10:10.000 --> 00:10:11.000]  (细节)
[00:10:11.000 --> 00:10:12.000]  (细节)
[00:10:12.000 --> 00:10:13.000]  (细节)
[00:10:13.000 --> 00:10:14.000]  (细节)
[00:10:14.000 --> 00:10:15.000]  (细节)
[00:10:15.000 --> 00:10:16.000]  (细节)
[00:10:16.000 --> 00:10:17.000]  (细节)
[00:10:17.000 --> 00:10:18.000]  (细节)
[00:10:18.000 --> 00:10:19.000]  (细节)
[00:10:19.000 --> 00:10:20.000]  (细节)
[00:10:20.000 --> 00:10:21.000]  (细节)
[00:10:21.000 --> 00:10:22.000]  (细节)
[00:10:22.000 --> 00:10:23.000]  (细节)
[00:10:23.000 --> 00:10:24.000]  (细节)
[00:10:24.000 --> 00:10:25.000]  (细节)
[00:10:25.000 --> 00:10:26.000]  (细节)
[00:10:26.000 --> 00:10:27.000]  (细节)
[00:10:27.000 --> 00:10:28.000]  (细节)
[00:10:28.000 --> 00:10:29.000]  (细节)
[00:10:29.000 --> 00:10:30.000]  (细节)
[00:10:30.000 --> 00:10:31.000]  (细节)
[00:10:31.000 --> 00:10:32.000]  (细节)
[00:10:32.000 --> 00:10:33.000]  (细节)
[00:10:33.000 --> 00:10:34.000]  (细节)
[00:10:34.000 --> 00:10:35.000]  (细节)
[00:10:35.000 --> 00:10:36.000]  (细节)
[00:10:36.000 --> 00:10:37.000]  (细节)
[00:10:37.000 --> 00:10:38.000]  (细节)
[00:10:38.000 --> 00:10:39.000]  (细节)
[00:10:39.000 --> 00:10:40.000]  (细节)
[00:10:40.000 --> 00:10:41.000]  (细节)
[00:10:41.000 --> 00:10:42.000]  (细节)
[00:10:42.000 --> 00:10:43.000]  (细节)
[00:10:43.000 --> 00:10:44.000]  (细节)
[00:10:44.000 --> 00:10:45.000]  (细节)
[00:10:45.000 --> 00:10:46.000]  (细节)
[00:10:46.000 --> 00:10:47.000]  (细节)
[00:10:47.000 --> 00:10:48.000]  (细节)
[00:10:48.000 --> 00:10:49.000]  (细节)
[00:10:49.000 --> 00:10:50.000]  (细节)
[00:10:50.000 --> 00:10:51.000]  (细节)
[00:10:51.000 --> 00:10:52.000]  (细节)
[00:10:52.000 --> 00:10:53.000]  (细节)
[00:10:53.000 --> 00:10:54.000]  (细节)
[00:10:54.000 --> 00:10:55.000]  (细节)
[00:10:55.000 --> 00:10:56.000]  (细节)
[00:10:56.000 --> 00:10:57.000]  (细节)
[00:10:57.000 --> 00:10:58.000]  (细节)
[00:10:58.000 --> 00:10:59.000]  (细节)
[00:10:59.000 --> 00:11:00.000]  (细节)
[00:11:00.000 --> 00:11:01.000]  (细节)
[00:11:01.000 --> 00:11:02.000]  (细节)
[00:11:02.000 --> 00:11:03.000]  (细节)
[00:11:03.000 --> 00:11:04.000]  (细节)
[00:11:04.000 --> 00:11:05.000]  (细节)
[00:11:05.000 --> 00:11:06.000]  (细节)
[00:11:06.000 --> 00:11:07.000]  (细节)
[00:11:07.000 --> 00:11:08.000]  (细节)
[00:11:08.000 --> 00:11:09.000]  (细节)
[00:11:09.000 --> 00:11:10.000]  (细节)
[00:11:10.000 --> 00:11:11.000]  (细节)
[00:11:11.000 --> 00:11:12.000]  (细节)
[00:11:12.000 --> 00:11:13.000]  (细节)
[00:11:13.000 --> 00:11:14.000]  (细节)
[00:11:14.000 --> 00:11:15.000]  (细节)
[00:11:15.000 --> 00:11:16.000]  (细节)
[00:11:16.000 --> 00:11:17.000]  (细节)
[00:11:17.000 --> 00:11:18.000]  (细节)
[00:11:18.000 --> 00:11:19.000]  (细节)
[00:11:19.000 --> 00:11:20.000]  (细节)
[00:11:20.000 --> 00:11:21.000]  (细节)
[00:11:21.000 --> 00:11:22.000]  (细节)
[00:11:22.000 --> 00:11:23.000]  (细节)
[00:11:23.000 --> 00:11:24.000]  (细节)
[00:11:24.000 --> 00:11:25.000]  (细节)
[00:11:25.000 --> 00:11:26.000]  (细节)
[00:11:26.000 --> 00:11:27.000]  (细节)
[00:11:27.000 --> 00:11:28.000]  (细节)
[00:11:28.000 --> 00:11:29.000]  (细节)
[00:11:29.000 --> 00:11:30.000]  (细节)
[00:11:30.000 --> 00:11:31.000]  (细节)
[00:11:31.000 --> 00:11:32.000]  (细节)
[00:11:32.000 --> 00:11:33.000]  (细节)
[00:11:33.000 --> 00:11:34.000]  (细节)
[00:11:34.000 --> 00:11:35.000]  (细节)
[00:11:35.000 --> 00:11:36.000]  (细节)
[00:11:36.000 --> 00:11:37.000]  (细节)
[00:11:37.000 --> 00:11:38.000]  (细节)
[00:11:38.000 --> 00:11:39.000]  (细节)
[00:11:39.000 --> 00:11:40.000]  (细节)
[00:11:40.000 --> 00:11:41.000]  (细节)
[00:11:41.000 --> 00:11:42.000]  (细节)
[00:11:42.000 --> 00:11:43.000]  (细节)
[00:11:43.000 --> 00:11:44.000]  (细节)
[00:11:44.000 --> 00:11:45.000]  (细节)
[00:11:45.000 --> 00:11:46.000]  (细节)
[00:11:46.000 --> 00:11:47.000]  (细节)
[00:11:47.000 --> 00:11:48.000]  (细节)
[00:11:48.000 --> 00:11:49.000]  (细节)
[00:11:49.000 --> 00:11:50.000]  (细节)
[00:11:50.000 --> 00:11:51.000]  (细节)
[00:11:51.000 --> 00:11:52.000]  (细节)
[00:11:52.000 --> 00:11:53.000]  (细节)
[00:11:53.000 --> 00:11:54.000]  (细节)
[00:11:54.000 --> 00:11:55.000]  (细节)
[00:11:55.000 --> 00:11:56.000]  (细节)
[00:11:56.000 --> 00:11:57.000]  (细节)
[00:11:57.000 --> 00:11:58.000]  (细节)
[00:11:58.000 --> 00:11:59.000]  (细节)
[00:11:59.000 --> 00:12:00.000]  (细节)
[00:12:00.000 --> 00:12:01.000]  (细节)
[00:12:01.000 --> 00:12:02.000]  (细节)
[00:12:02.000 --> 00:12:03.000]  (细节)
[00:12:03.000 --> 00:12:04.000]  (细节)
[00:12:04.000 --> 00:12:05.000]  (细节)
[00:12:05.000 --> 00:12:06.000]  (细节)
[00:12:06.000 --> 00:12:07.000]  (细节)
[00:12:07.000 --> 00:12:08.000]  (细节)
[00:12:08.000 --> 00:12:09.000]  (细节)
[00:12:09.000 --> 00:12:10.000]  (细节)
[00:12:10.000 --> 00:12:11.000]  (细节)
[00:12:11.000 --> 00:12:12.000]  (细节)
[00:12:12.000 --> 00:12:13.000]  (细节)
[00:12:13.000 --> 00:12:14.000]  (细节)
[00:12:14.000 --> 00:12:15.000]  (细节)
[00:12:15.000 --> 00:12:16.000]  (细节)
[00:12:16.000 --> 00:12:17.000]  (细节)
[00:12:17.000 --> 00:12:18.000]  (细节)
[00:12:18.000 --> 00:12:19.000]  (细节)
[00:12:19.000 --> 00:12:20.000]  (细节)
[00:12:20.000 --> 00:12:21.000]  (细节)
[00:12:21.000 --> 00:12:22.000]  (细节)
[00:12:22.000 --> 00:12:23.000]  (细节)
[00:12:23.000 --> 00:12:24.000]  (细节)
[00:12:24.000 --> 00:12:25.000]  (细节)
[00:12:25.000 --> 00:12:26.000]  (细节)
[00:12:26.000 --> 00:12:27.000]  (细节)
[00:12:27.000 --> 00:12:28.000]  (细节)
