[00:00:00.000 --> 00:00:05.640]  然后转为有效的这个结构这里的黑线是怎么把它给转出来的看得懂了吧
[00:02:04.560 --> 00:02:05.920]  是不是问题
[00:02:05.920 --> 00:02:07.480]  是不是有问题
[00:02:07.480 --> 00:02:08.360]  对吧
[00:02:08.360 --> 00:02:09.040]  是不是有问题
[00:02:09.040 --> 00:02:10.400]  问大家一个问题
[00:02:10.400 --> 00:02:14.440]  那么比如说破坏按正常应该是放量的
[00:02:14.440 --> 00:02:17.160]  但是反之破坏没有放量呢
[00:02:17.160 --> 00:02:19.280]  是不是我们再看一看
[00:02:19.280 --> 00:02:23.240]  比如说按正常我们说的高浪线长上一线是分歧
[00:02:23.240 --> 00:02:24.040]  对吧
[00:02:24.040 --> 00:02:25.360]  分歧按正常是放量的
[00:02:25.360 --> 00:02:26.200]  对不对
[00:02:26.200 --> 00:02:27.560]  那如果分歧没有放量
[00:02:27.560 --> 00:02:29.040]  是不是我们再看一看
[00:02:29.040 --> 00:02:30.920]  所以成长量的变化
[00:02:30.920 --> 00:02:35.120]  这个量柱的解读是由价柱来看的
[00:02:35.120 --> 00:02:39.440]  是来看价柱的语言的
[00:02:39.440 --> 00:02:41.520]  因为成量就代表着交易嘛
[00:02:41.520 --> 00:02:45.960]  就是资金的交易的一个交投最终呈现出来的一个走势
[00:02:45.960 --> 00:02:50.120]  但最终一定是以价来进行一个表现的
[00:02:50.120 --> 00:02:51.440]  有成交必有量
[00:02:51.440 --> 00:02:52.840]  有量必有价
[00:02:52.840 --> 00:02:58.480]  所以我们说量和价本身就是市场里面最核心的
[00:02:58.480 --> 00:03:00.760]  但是一旦脱离了趋势
[00:03:00.760 --> 00:03:04.080]  脱离了K线来谈量就很虚
[00:03:04.080 --> 00:03:10.200]  脱离了K线和趋势来谈量就很虚
[00:03:10.200 --> 00:03:11.600]  那么在量柱里面
[00:03:11.600 --> 00:03:12.680]  就像我们学K线
[00:03:12.680 --> 00:03:13.640]  大家可以感受到
[00:03:13.640 --> 00:03:15.720]  学K线里面我们最重要的
[00:03:15.720 --> 00:03:19.600]  是不是找到那个K线里面最核心的就是阳线和阴线
[00:03:19.600 --> 00:03:22.760]  分歧最终也需要阳线阴线给什么
[00:03:22.760 --> 00:03:23.680]  化解
[00:03:23.680 --> 00:03:27.800]  小K线停顿也需要阳线阴线来进行一个最终选出方向
[00:03:27.800 --> 00:03:28.160]  对不对
[00:03:28.160 --> 00:03:29.640]  回归阳线和阴线
[00:03:29.640 --> 00:03:32.280]  那么成交量也是一样的
[00:03:32.280 --> 00:03:34.440]  它有两个重两个最重点
[00:03:34.440 --> 00:03:37.960]  成交量里面一个是放量
[00:03:37.960 --> 00:03:40.200]  一个是缩量
[00:03:40.200 --> 00:03:43.200]  成交量里面两个最重要
[00:03:43.200 --> 00:03:46.120]  一个是放量就很明显的最重要
[00:03:46.120 --> 00:03:46.520]  对吧
[00:03:46.520 --> 00:03:47.680]  就很明显的
[00:03:47.680 --> 00:03:49.040]  第二个是什么
[00:03:49.040 --> 00:03:50.720]  缩量
[00:03:50.720 --> 00:03:52.400]  一个是放一个是缩
[00:03:52.400 --> 00:03:54.760]  所以我们说用这两个
[00:03:54.760 --> 00:03:58.440]  基本上可以大概看出来成交量里面一个整体的走势
[00:03:58.440 --> 00:04:00.440]  可能大家在做的也有可能学过
[00:04:00.440 --> 00:04:02.720]  学过这个量柱的一个理解
[00:04:02.720 --> 00:04:07.920]  因为像之前我也是学过那个黑马王子老师的一些成交量的一些知识点
[00:04:07.920 --> 00:04:09.560]  可能我们在做的也有学过的
[00:04:09.560 --> 00:04:11.600]  反正你就听听我对于量柱的怎么理解
[00:04:11.600 --> 00:04:13.880]  因为我们所有都是结合到什么
[00:04:13.880 --> 00:04:15.280]  结合在我们的结构
[00:04:15.280 --> 00:04:17.040]  我们的这个趋势
[00:04:17.040 --> 00:04:19.560]  我们怎么做单边主声的维度的
[00:04:19.560 --> 00:04:24.000]  就是所有一切为我们的目标而什么
[00:04:24.000 --> 00:04:25.880]  提供服务
[00:04:25.880 --> 00:04:32.120]  这些量柱有高量柱低量柱平量柱背量柱T量柱缩量柱聚量柱
[00:04:32.120 --> 00:04:36.120]  那么这些量柱互相指认互相佐证
[00:04:36.120 --> 00:04:40.800]  我记得昨天我们还有这一句话大家应该还记得
[00:04:40.800 --> 00:04:49.120]  量价上下佐证是判断地基的实力
[00:04:49.120 --> 00:04:51.720]  现在这句话有感受了吧
[00:04:51.720 --> 00:04:54.040]  对吧昨天可能还没有感觉对不对
[00:04:54.040 --> 00:04:55.360]  那么学到现在
[00:04:55.360 --> 00:04:58.960]  就是前进结构是地基前进结构是毛
[00:04:58.960 --> 00:05:00.680]  大家应该有感受对吧
[00:05:00.680 --> 00:05:02.360]  那么我们现在接下来要学习
[00:05:02.360 --> 00:05:04.280]  要去有大家提升的就是
[00:05:04.280 --> 00:05:07.480]  量价是左右佐证
[00:05:07.480 --> 00:05:12.120]  是判断它能不能启动发射真假的虚实
[00:05:12.120 --> 00:05:16.200]  最重要的是四个字是什么
[00:05:16.200 --> 00:05:18.680]  是什么哪四个字
[00:05:18.680 --> 00:05:21.320]  左右佐证
[00:05:21.320 --> 00:05:22.920]  量价是什么
[00:05:22.920 --> 00:05:24.440]  上下佐证
[00:05:24.440 --> 00:05:28.440]  所以现在我们说成交的价值是左右佐证
[00:05:28.440 --> 00:05:31.200]  左右佐证就是我们现在的这个放
[00:05:31.200 --> 00:05:35.200]  和左边的趋势是进行一个什么佐证
[00:05:35.200 --> 00:05:36.520]  大家明白我的意思没有
[00:05:36.520 --> 00:05:38.560]  比如我现在就是一个拐点
[00:05:38.560 --> 00:05:43.240]  那我这个拐点的K线跟调整形态的这个趋势的量价
[00:05:43.240 --> 00:05:44.600]  去进行一个佐证
[00:05:44.600 --> 00:05:46.280]  大家这能理解我的意思吗
[00:05:46.280 --> 00:05:48.280]  就是这一个佐证关系啊
[00:05:48.280 --> 00:05:57.680]  那么最明显和最重要
[00:05:57.680 --> 00:06:01.040]  我们说最明显和最重要两个标准来衡量
[00:06:01.040 --> 00:06:03.880]  用以左推法进行就近对比
[00:06:03.880 --> 00:06:06.320]  这几个字大家好好去感受一下
[00:06:06.320 --> 00:06:09.520]  以左推法进行就近对比
[00:06:09.520 --> 00:06:12.200]  来对比有量柱的一些变化
[00:06:12.200 --> 00:06:16.080]  那么就近对比就是比如我今天的跟昨天的是不是对比
[00:06:16.080 --> 00:06:19.200]  我今天的跟过去一段时间的是不是对比啊
[00:06:19.200 --> 00:06:22.720]  来得出这个量柱的一个标准
[00:06:22.720 --> 00:06:24.640]  我今天跟昨天对比
[00:06:24.640 --> 00:06:28.000]  或者是我今天跟过去一段时间对比啊
[00:06:28.000 --> 00:06:30.160]  有比较才有间别
[00:06:30.160 --> 00:06:32.320]  向左看就近比
[00:06:32.320 --> 00:06:34.200]  量柱的认知就认识量柱
[00:06:34.200 --> 00:06:35.880]  就我们认识K线一样的啊
[00:06:35.880 --> 00:06:38.080]  有阳线阴线认识K线
[00:06:38.080 --> 00:06:39.720]  我们现在认识量柱
[00:06:39.720 --> 00:06:41.200]  什么叫高量柱
[00:06:41.200 --> 00:06:46.160]  就是今天的量大过前面的量三倍以上
[00:06:46.160 --> 00:06:52.480]  或者今天的量大过左面整体的一段时间的量三倍以上
[00:06:52.480 --> 00:06:53.680]  都可以
[00:06:53.680 --> 00:06:55.800]  这叫高量柱
[00:06:55.800 --> 00:06:59.200]  今天的这个放量大过昨天
[00:06:59.200 --> 00:07:01.640]  或者是过去一段时间的对吧
[00:07:01.640 --> 00:07:03.720]  量的三倍以上
[00:07:03.720 --> 00:07:06.240]  我们叫高量柱
[00:07:06.240 --> 00:07:09.360]  高量柱重要不重要
[00:07:09.360 --> 00:07:11.720]  因为我讲的是三倍以上对不对
[00:07:11.720 --> 00:07:14.360]  大家想想我们做股票做的是
[00:07:14.360 --> 00:07:17.920]  我们说这个市场是存量博弈对不对
[00:07:17.920 --> 00:07:21.000]  但是我们做个股做的是个股上的存量博弈
[00:07:21.000 --> 00:07:26.400]  还是个股上的增量博弈
[00:07:26.400 --> 00:07:27.680]  这样好对啊
[00:07:27.680 --> 00:07:30.680]  为什么回答的人这么少
[00:07:30.680 --> 00:07:33.520]  我们做个股做的是个股上的存量博弈
[00:07:33.520 --> 00:07:35.120]  还是个股上的增量博弈
[00:07:35.120 --> 00:07:36.400]  增量博弈
[00:07:36.400 --> 00:07:39.040]  对吧增量博弈啊不是存量博弈啊
[00:07:39.040 --> 00:07:40.720]  存量博弈就没有高量柱啊
[00:07:40.720 --> 00:07:42.920]  就是平量柱平量柱平量柱啊
[00:07:42.920 --> 00:07:43.840]  对不对
[00:07:43.840 --> 00:07:47.240]  所以我们个股做的一定是增量博弈对不对
[00:07:47.240 --> 00:07:51.080]  那增量博弈最直接体现给我们的是什么
[00:07:51.080 --> 00:07:54.240]  是不是我现在所说的这一个什么柱啊
[00:07:54.240 --> 00:07:55.760]  高量柱啊
[00:07:55.760 --> 00:07:58.400]  对不对是不是这样一个高量柱
[00:07:58.400 --> 00:07:59.800]  第二
[00:07:59.800 --> 00:08:02.360]  下一个巨量柱
[00:08:02.360 --> 00:08:05.680]  到了第12345第5排
[00:08:05.680 --> 00:08:07.680]  巨量柱
[00:08:07.680 --> 00:08:08.680]  或者我直接切一下
[00:08:08.680 --> 00:08:11.760]  大家可以调一下直接把它切一下
[00:08:11.760 --> 00:08:14.920]  因为这个是根据后面一起来的
[00:08:14.920 --> 00:08:16.960]  但是在讲的过程中我觉得这
[00:08:16.960 --> 00:08:17.960]  咦
[00:08:25.400 --> 00:08:27.000]  好了好了好了
[00:08:27.000 --> 00:08:29.000]  好了好了好了
[00:08:29.000 --> 00:08:30.200]  不动了不动了
[00:08:30.200 --> 00:08:32.200]  都不知道在哪去了
[00:08:32.200 --> 00:08:41.400]  陈教练我估计今天会一定讲的完的
[00:08:41.400 --> 00:08:43.400]  能讲多少讲多少啊
[00:08:43.400 --> 00:08:48.000]  好下一个就是我们说的巨量柱
[00:08:48.000 --> 00:08:51.720]  巨量柱呢是大于前面昨天
[00:08:51.720 --> 00:08:55.360]  或者是大于过去一段时间的5倍以上
[00:08:55.360 --> 00:09:00.840]  大家基本上可能会觉得巨量是一个很吓人的事
[00:09:00.840 --> 00:09:02.840]  要看你怎么理解
[00:09:02.840 --> 00:09:04.840]  从我的理解来讲
[00:09:04.840 --> 00:09:08.840]  巨量柱对应进攻杨那是好的不得了
[00:09:08.840 --> 00:09:12.840]  因为巨量是没有语言的
[00:09:12.840 --> 00:09:15.840]  量量是没有语言的
[00:09:15.840 --> 00:09:17.840]  大家能理解我意思没有
[00:09:17.840 --> 00:09:19.840]  但是K线是不是有语言的
[00:09:19.840 --> 00:09:22.840]  放量巨量也好高量也好
[00:09:22.840 --> 00:09:24.840]  对应的是进攻的语言好不好
[00:09:24.840 --> 00:09:28.840]  但是放量对应的是分歧的语言好不好
[00:09:28.840 --> 00:09:30.840]  停顿的语言好不好
[00:09:30.840 --> 00:09:32.840]  对所以我们就说要什么
[00:09:32.840 --> 00:09:34.840]  就是我们不能
[00:09:34.840 --> 00:09:36.840]  谁知识不能谁
[00:09:36.840 --> 00:09:39.840]  所以我有时候会想想看就是像我们这种草
[00:09:39.840 --> 00:09:43.840]  不是非金融专业出生的草根啊
[00:09:43.840 --> 00:09:45.840]  反正这个还挺快的
[00:09:45.840 --> 00:09:47.840]  就不会很
[00:09:47.840 --> 00:09:49.840]  我没有其他的意思
[00:09:49.840 --> 00:09:52.840]  就是我们在想的过程中就会比较
[00:09:52.840 --> 00:09:54.840]  就是没有那么多约束
[00:09:54.840 --> 00:09:58.840]  就没有那些金融的这个知识体系来约束我
[00:09:58.840 --> 00:10:00.840]  我没有其他的意思啊
[00:10:00.840 --> 00:10:02.840]  对我们在做的都是谁吧
[00:10:02.840 --> 00:10:05.840]  你们都好多我一了解你们都太厉害了
[00:10:05.840 --> 00:10:07.840]  都是顶呱呱的优秀
[00:10:07.840 --> 00:10:10.840]  所以我们在因为我自己是很喜欢太极
[00:10:10.840 --> 00:10:12.840]  也很喜欢孙子兵法
[00:10:12.840 --> 00:10:14.840]  所以很多时候会把这里面的很多
[00:10:14.840 --> 00:10:16.840]  跟股市结合起来
[00:10:16.840 --> 00:10:18.840]  但真正开启智慧的
[00:10:18.840 --> 00:10:21.840]  还真的就是我们的老祖宗的这些智慧
[00:10:21.840 --> 00:10:23.840]  去让我对于市场的理解
[00:10:23.840 --> 00:10:25.840]  它的深度够深的
[00:10:25.840 --> 00:10:28.840]  说真心话反正真的不是学问上的东西
[00:10:28.840 --> 00:10:30.840]  而是这些
[00:10:30.840 --> 00:10:32.840]  就是孙子兵法的一些
[00:10:32.840 --> 00:10:34.840]  对吧一些开悟点
[00:10:34.840 --> 00:10:37.840]  包括我们说的太极的这个开悟点对我的帮助
[00:10:37.840 --> 00:10:39.840]  我觉得是更非常的大的
[00:10:39.840 --> 00:10:41.840]  好 巨量柱和高量柱
[00:10:41.840 --> 00:10:43.840]  大家现在理解啊就是
[00:10:43.840 --> 00:10:45.840]  是好事了
[00:10:45.840 --> 00:10:47.840]  不要下次看到巨量柱就什么
[00:10:47.840 --> 00:10:49.840]  就吓跑了对不对
[00:10:49.840 --> 00:10:51.840]  这个就是我们说的倍量柱
[00:10:51.840 --> 00:10:53.840]  我都是往下往下提进的啊
[00:10:53.840 --> 00:10:55.840]  倍量柱是什么呢
[00:10:55.840 --> 00:10:57.840]  就是今天的放量大于
[00:10:57.840 --> 00:11:00.840]  昨天或前面一段时间的一倍以上
[00:11:00.840 --> 00:11:02.840]  叫倍量柱
[00:11:02.840 --> 00:11:06.840]  倍量柱
[00:11:06.840 --> 00:11:13.840]  那倍量柱完之后呢
[00:11:13.840 --> 00:11:15.840]  就进入到一个缩
[00:11:15.840 --> 00:11:17.840]  缩量是什么呢
[00:11:17.840 --> 00:11:19.840]  今天的这个成降量
[00:11:19.840 --> 00:11:23.840]  对比前天
[00:11:23.840 --> 00:11:25.840]  对比昨天或者是前一段时间的放量
[00:11:25.840 --> 00:11:27.840]  是缩的
[00:11:27.840 --> 00:11:29.840]  啊缩量里面有缩三分之一
[00:11:29.840 --> 00:11:31.840]  有缩五分之一
[00:11:31.840 --> 00:11:33.840]  甚至缩到八分之一十分之一
[00:11:33.840 --> 00:11:37.840]  啊是缩的
[00:11:37.840 --> 00:11:39.840]  缩三分之一五分之一
[00:11:39.840 --> 00:11:41.840]  甚至八分之一十分之一
[00:11:41.840 --> 00:11:43.840]  就相对是成缩的一个
[00:11:43.840 --> 00:11:45.840]  一个一个一个成状的一个现状的
[00:11:45.840 --> 00:11:47.840]  那在缩量柱里面大家也要注意一下
[00:11:47.840 --> 00:11:49.840]  缩量柱
[00:11:49.840 --> 00:11:51.840]  对应的K线
[00:11:51.840 --> 00:11:53.840]  也很重要
[00:11:53.840 --> 00:11:55.840]  那么因为本身缩量代表着
[00:11:55.840 --> 00:11:57.840]  最好的K线是不是停顿的或者小分歧
[00:11:57.840 --> 00:11:59.840]  对不对
[00:11:59.840 --> 00:12:01.840]  如果缩量对应是破坏呢
[00:12:01.840 --> 00:12:03.840]  又不好了
[00:12:03.840 --> 00:12:05.840]  因为你缩量本身代表着就是
[00:12:05.840 --> 00:12:07.840]  筹码相对比较干净嘛
[00:12:07.840 --> 00:12:09.840]  但你呈现出来的K线
[00:12:09.840 --> 00:12:11.840]  来佐证你的筹码是有问题的
[00:12:11.840 --> 00:12:13.840]  不干净的
[00:12:13.840 --> 00:12:15.840]  你一定是把K线结合起来啊
[00:12:15.840 --> 00:12:17.840]  缩量柱
[00:12:17.840 --> 00:12:19.840]  然后呢缩到一定的程度之后
[00:12:19.840 --> 00:12:21.840]  缩不下去了就进入一个
[00:12:21.840 --> 00:12:23.840]  低频量的频量柱
[00:12:23.840 --> 00:12:25.840]  就进入一个低频量的频量柱
[00:12:25.840 --> 00:12:27.840]  频量柱是今天的量跟昨天的量
[00:12:27.840 --> 00:12:29.840]  或者是连着最近五六天七八天的量
[00:12:29.840 --> 00:12:31.840]  就是一个将近一个水平线的
[00:12:31.840 --> 00:12:33.840]  就叫频量柱
[00:12:33.840 --> 00:12:35.840]  就是频量柱
[00:12:41.840 --> 00:12:43.840]  频量柱之后就是一个T量柱
[00:12:43.840 --> 00:12:45.840]  T量柱
[00:12:45.840 --> 00:12:47.840]  T量柱有两种
[00:12:47.840 --> 00:12:49.840]  一个像我们楼梯一样的
[00:12:49.840 --> 00:12:51.840]  一个台阶上去一个台阶上去
[00:12:51.840 --> 00:12:53.840]  一个台阶上去叫正T量
[00:12:53.840 --> 00:12:57.840]  另外一个呢就是一个台阶
[00:12:57.840 --> 00:12:59.840]  下来一个台阶下来一个台阶下来
[00:12:59.840 --> 00:13:01.840]  叫倒T量
[00:13:01.840 --> 00:13:03.840]  T量柱有两种
[00:13:03.840 --> 00:13:05.840]  有正T量和倒T量
[00:13:05.840 --> 00:13:07.840]  这是我们现在说的
[00:13:07.840 --> 00:13:09.840]  认识量柱
[00:13:09.840 --> 00:13:11.840]  认识成交量
[00:13:11.840 --> 00:13:23.840]  记好了啊
[00:13:23.840 --> 00:13:25.840]  成交量认识好了
[00:13:25.840 --> 00:13:27.840]  我们再来认一认
[00:13:27.840 --> 00:13:29.840]  再来认一认
[00:13:29.840 --> 00:13:31.840]  再来稍微认识一下成交量
[00:13:33.840 --> 00:13:35.840]  我先认识成交量的
[00:13:35.840 --> 00:13:37.840]  是不加上我们
[00:13:37.840 --> 00:13:39.840]  没有加上我们的DG的
[00:13:39.840 --> 00:13:41.840]  我们真正在用好成交量
[00:13:41.840 --> 00:13:43.840]  是要加上DG加上我们的K线的
[00:13:43.840 --> 00:13:45.840]  大家可以来看
[00:13:45.840 --> 00:13:47.840]  这个是什么量柱
[00:13:47.840 --> 00:13:49.840]  是不是巨量柱
[00:13:49.840 --> 00:13:51.840]  又没鼠标
[00:13:51.840 --> 00:13:55.840]  来看这个是什么量柱
[00:13:55.840 --> 00:13:57.840]  巨量柱对不对
[00:13:57.840 --> 00:13:59.840]  因为它这一个放上对比
[00:13:59.840 --> 00:14:01.840]  前段时间是达到
[00:14:01.840 --> 00:14:03.840]  高量柱没有5倍以上
[00:14:03.840 --> 00:14:05.840]  高量柱对不对
[00:14:05.840 --> 00:14:07.840]  那你看高量柱对于那阳线
[00:14:07.840 --> 00:14:09.840]  是空头市场也没用
[00:14:09.840 --> 00:14:13.840]  那你这有意思啊
[00:14:13.840 --> 00:14:15.840]  是空头也没用
[00:14:15.840 --> 00:14:17.840]  然后高量柱之后第二天你看是不是马上就缩到了
[00:14:17.840 --> 00:14:19.840]  一半以下呀
[00:14:19.840 --> 00:14:21.840]  所以第二天小K线停顿是缩量的
[00:14:21.840 --> 00:14:23.840]  缩量柱
[00:14:23.840 --> 00:14:25.840]  就是我今天对比昨天是缩的
[00:14:25.840 --> 00:14:27.840]  我说认识就好了
[00:14:27.840 --> 00:14:29.840]  你看我成交量
[00:14:29.840 --> 00:14:31.840]  我现在跟大家分享的过程是
[00:14:31.840 --> 00:14:33.840]  循序渐进的
[00:14:33.840 --> 00:14:35.840]  环环相扣的
[00:14:35.840 --> 00:14:37.840]  如果你光要我跟讲成交量
[00:14:37.840 --> 00:14:39.840]  你学完之后你一塌糊涂
[00:14:39.840 --> 00:14:41.840]  所以你看圈子里面有很多东西我不敢讲的
[00:14:41.840 --> 00:14:43.840]  就在这讲完之后会蒙圈的
[00:14:43.840 --> 00:14:45.840]  因为这一个点它本身没有毛
[00:14:45.840 --> 00:14:47.840]  没有DG的情况下
[00:14:47.840 --> 00:14:49.840]  你哪个点都想去试用之后就会蒙圈的
[00:14:49.840 --> 00:14:51.840]  我也不敢多讲
[00:14:51.840 --> 00:14:53.840]  好我们再来看
[00:14:53.840 --> 00:14:55.840]  这整个这一段时间是什么
[00:14:55.840 --> 00:14:57.840]  平量柱对不对
[00:14:57.840 --> 00:14:59.840]  就是水平线对不对
[00:14:59.840 --> 00:15:01.840]  如果是缩的很低叫
[00:15:01.840 --> 00:15:03.840]  D平量
[00:15:03.840 --> 00:15:05.840]  D量加平量
[00:15:05.840 --> 00:15:07.840]  缩的很低叫D平量
[00:15:07.840 --> 00:15:09.840]  好我们再来看一下
[00:15:09.840 --> 00:15:11.840]  这是不是一个阳线
[00:15:11.840 --> 00:15:13.840]  对应这一根K线是不是又是一个高量柱
[00:15:13.840 --> 00:15:15.840]  高量柱对它进行一个转势
[00:15:15.840 --> 00:15:17.840]  转多头
[00:15:17.840 --> 00:15:19.840]  然后再来看这是不是又是一个高量柱
[00:15:19.840 --> 00:15:21.840]  对应的是一个分歧
[00:15:21.840 --> 00:15:23.840]  所以你看分歧在这里趋势没破
[00:15:23.840 --> 00:15:25.840]  它需要化解
[00:15:25.840 --> 00:15:27.840]  对应了一个小K线对不对
[00:15:27.840 --> 00:15:29.840]  这就是我们叫高量柱
[00:15:29.840 --> 00:15:31.840]  就是认识高量柱
[00:15:31.840 --> 00:15:33.840]  平量柱
[00:15:33.840 --> 00:15:35.840]  平量柱就是我们可以看一下
[00:15:35.840 --> 00:15:37.840]  你看它调整的末期
[00:15:37.840 --> 00:15:39.840]  在这里就是几根K线走势一模一样的
[00:15:39.840 --> 00:15:41.840]  平量柱
[00:15:41.840 --> 00:15:43.840]  然后再来看一下倍量柱
[00:15:43.840 --> 00:15:45.840]  倍量柱就是达不到三倍以上
[00:15:45.840 --> 00:15:47.840]  也达不到五倍以上
[00:15:47.840 --> 00:15:49.840]  这个放量对比前面
[00:15:49.840 --> 00:15:51.840]  基本上一倍以上这叫倍量柱
[00:15:51.840 --> 00:15:53.840]  所以我们可以看到它是属于什么
[00:15:53.840 --> 00:15:55.840]  空转多的扭转是属于反打的扭转
[00:15:55.840 --> 00:15:57.840]  倍量柱反打扭转对不对
[00:15:57.840 --> 00:15:59.840]  然后呢在横盘
[00:15:59.840 --> 00:16:01.840]  再倍量柱
[00:16:01.840 --> 00:16:03.840]  小怀抱
[00:16:03.840 --> 00:16:05.840]  这个位置是不是买点
[00:16:05.840 --> 00:16:07.840]  然后整个这一段时间是不是都是属于持仓进行当中
[00:16:07.840 --> 00:16:09.840]  这里出现阴线
[00:16:09.840 --> 00:16:11.840]  阴线然后就第二天反爆
[00:16:11.840 --> 00:16:13.840]  是不是做成那个阴线的洗盘
[00:16:13.840 --> 00:16:15.840]  这是不是4号
[00:16:15.840 --> 00:16:17.840]  来看一下这个阴线是不是我们刚才讲的4号
[00:16:17.840 --> 00:16:19.840]  出现4号
[00:16:19.840 --> 00:16:21.840]  你就观察明天能不能站上均线
[00:16:21.840 --> 00:16:23.840]  能站上是不是又回到了多头趋势
[00:16:23.840 --> 00:16:25.840]  不能站上你这里赶紧就什么
[00:16:25.840 --> 00:16:27.840]  赶紧就走对不对
[00:16:27.840 --> 00:16:29.840]  4号的阴线
[00:16:29.840 --> 00:16:31.840]  然后再来看慢慢再到这一天
[00:16:31.840 --> 00:16:33.840]  这一天对应的这个
[00:16:33.840 --> 00:16:35.840]  是不是也是一个阳线突破
[00:16:35.840 --> 00:16:37.840]  怀抱突破对应的是什么
[00:16:37.840 --> 00:16:39.840]  小倍量对不对
[00:16:39.840 --> 00:16:41.840]  是不是倍量突破然后进入在趋势过程中
[00:16:41.840 --> 00:16:43.840]  就是倍量
[00:16:43.840 --> 00:16:45.840]  我们先认识倍量
[00:16:45.840 --> 00:16:47.840]  缩量
[00:16:47.840 --> 00:16:49.840]  缩量大家可以来看这是一个上涨
[00:16:49.840 --> 00:16:51.840]  你看这一
[00:16:51.840 --> 00:16:53.840]  这看细节点这是不是一段时间
[00:16:53.840 --> 00:16:55.840]  在分期k线
[00:16:55.840 --> 00:16:57.840]  分期k线对应的这一个成降量
[00:16:57.840 --> 00:16:59.840]  你来看一下这个成降量和
[00:16:59.840 --> 00:17:01.840]  对应前过去上涨的这个
[00:17:01.840 --> 00:17:03.840]  放量是不是相对缩量的
[00:17:03.840 --> 00:17:05.840]  就是缩量所以我们按正常
[00:17:05.840 --> 00:17:07.840]  要求来说头部
[00:17:07.840 --> 00:17:09.840]  的成一头部
[00:17:09.840 --> 00:17:11.840]  回调的
[00:17:11.840 --> 00:17:13.840]  音量要缩三分之一
[00:17:13.840 --> 00:17:15.840]  啊
[00:17:15.840 --> 00:17:17.840]  头部回调的音量最好要直接能
[00:17:17.840 --> 00:17:19.840]  缩掉三分之一直接比如说
[00:17:19.840 --> 00:17:21.840]  前面是放量的马上能够缩到三分
[00:17:21.840 --> 00:17:23.840]  之一左右如果能够
[00:17:23.840 --> 00:17:25.840]  一半左右那就更好
[00:17:25.840 --> 00:17:27.840]  如果能够缩到一半左右
[00:17:27.840 --> 00:17:29.840]  更好甚至有些股票
[00:17:29.840 --> 00:17:31.840]  它真正的是前面一个高点
[00:17:31.840 --> 00:17:33.840]  跌下来就没有放量的直接缩到五分
[00:17:33.840 --> 00:17:35.840]  之一所以为什么有些股票
[00:17:35.840 --> 00:17:37.840]  涨涨涨涨涨前高点根本就不回调
[00:17:37.840 --> 00:17:39.840]  直接反而是什么到了前高点
[00:17:39.840 --> 00:17:41.840]  二三十个点直接冲出去
