[00:00:00.000 --> 00:00:02.000]  破壞中的分期
[00:01:52.000 --> 00:01:55.000]  然後大家可以看這個月線是屬於什麼樣的一個扭轉
[00:01:55.000 --> 00:01:58.000]  月線組合裡面月線懷抱
[00:01:58.000 --> 00:02:02.000]  懷抱之後就容易形成月線頂橫盤
[00:02:02.000 --> 00:02:04.000]  大家能理解這意思沒有
[00:02:04.000 --> 00:02:07.000]  月線頂橫盤是跟在月線懷抱之後的
[00:02:07.000 --> 00:02:10.000]  就有走牛的預期
[00:02:10.000 --> 00:02:13.000]  跟在月線懷抱之後的你看月線頂橫盤對不對
[00:02:13.000 --> 00:02:16.000]  所以後面繼續上漲這一天形成對它進行突破
[00:02:16.000 --> 00:02:18.000]  這個月呈現之後後面是不是還可以繼續
[00:02:18.000 --> 00:02:21.000]  還是屬於我們買的區間對不對
[00:02:21.000 --> 00:02:24.000]  這是我們看到月線直到月線出現這什麼
[00:02:24.000 --> 00:02:28.000]  其實可能賣我們在這個分期就已經開始出手了
[00:02:28.000 --> 00:02:31.000]  會開始出不來因為後面一個月漲幅也都在這個區間
[00:02:31.000 --> 00:02:37.000]  周線上直倉是以周線直倉買和選股市的
[00:02:37.000 --> 00:02:41.000]  這是一個上漲這是一個下跌這是不是熊牛啊
[00:02:41.000 --> 00:02:44.000]  真正開始轉變是不是這個月線和這個陰線
[00:02:44.000 --> 00:02:46.000]  是屬於什麼樣的一個推線組合
[00:02:46.000 --> 00:02:48.000]  是不是切入啊
[00:02:48.000 --> 00:02:50.000]  月線揚包陰對不對
[00:02:50.000 --> 00:02:53.000]  然後你看整個基本上在這個揚線的一半的身體
[00:02:53.000 --> 00:02:56.000]  包括在這個陰線的頂端一直在運行對不對
[00:02:56.000 --> 00:02:58.000]  然後在揚線把這個陰線反包
[00:02:58.000 --> 00:03:02.000]  所以月線做趨勢做股票你會輕鬆很多
[00:03:02.000 --> 00:03:05.000]  但同樣的肯定會錯過很多機會
[00:03:05.000 --> 00:03:08.000]  所以人性就在這人性就是我看得很好
[00:03:08.000 --> 00:03:11.000]  但是我又受不到短期受不住短期誘惑
[00:03:11.000 --> 00:03:17.000]  所以我們說真正真正賺錢的人是極度專注的人
[00:03:17.000 --> 00:03:20.000]  或者是怪癖很奇怪的人
[00:03:20.000 --> 00:03:23.000]  就像我覺得我自己是一個很奇怪的人
[00:03:23.000 --> 00:03:29.000]  啊我自己就這樣你看我我的生活真的很簡單就是就是就是這個沒有其他的
[00:03:29.000 --> 00:03:33.000]  對吧就是陪陪孩子還好我生了兩個娃
[00:03:33.000 --> 00:03:36.000]  對有事情可以那個分散
[00:03:36.000 --> 00:03:40.000]  如果我是梅生娃的話我覺得我肯定是大名單身女性
[00:03:40.000 --> 00:03:43.000]  對因為除了這個其他也很難
[00:03:43.000 --> 00:03:45.000]  是吧也很難那個
[00:03:45.000 --> 00:03:49.000]  所以就是確實啊就是你足夠的在某一個領域足夠專注
[00:03:49.000 --> 00:03:54.000]  你才有可能在這個方向有所有所收穫有所得
[00:03:54.000 --> 00:03:57.000]  就讓我們工作也好做企業也是一樣的對不對
[00:03:57.000 --> 00:04:01.000]  這個專注不是說不是說一點點就是那種
[00:04:01.000 --> 00:04:03.000]  這什麼就是
[00:04:03.000 --> 00:04:08.000]  除了這個其他都不感興趣啊就是這樣的一個這種專注吧
[00:04:08.000 --> 00:04:12.000]  那大家可以看月線月線在這裡形成一個反打
[00:04:12.000 --> 00:04:15.000]  對吧你看這個月線的波段對這個月線的波段是不是一個反打
[00:04:15.000 --> 00:04:21.000]  我們來看修復然後破壞破壞之後在這個位置扛不住
[00:04:21.000 --> 00:04:24.000]  一直沒有對這個陰線進行反攻一直下跌對不對
[00:04:24.000 --> 00:04:27.000]  你看破壞一直沒有對這個陰線反攻一直向下
[00:04:27.000 --> 00:04:30.000]  然後你看這裡向上這是一個陽線
[00:04:30.000 --> 00:04:32.000]  陽線對這裡進行一個反包
[00:04:32.000 --> 00:04:36.000]  對不對反爆之後進行一個ABC的一個回調
[00:04:36.000 --> 00:04:39.000]  ABC的一個回調然後整個都在月線的一個上方
[00:04:39.000 --> 00:04:42.000]  然後再次大家看這是個月線是什麼K線組合
[00:04:42.000 --> 00:04:44.000]  是不是懷抱
[00:04:44.000 --> 00:04:49.000]  你看懷抱之後就在這頂著然後就開啟我們的大級別行情
[00:04:49.000 --> 00:04:53.000]  就是我現在講月線我們目前雖然月線的股票不多
[00:04:53.000 --> 00:04:56.000]  但你要知道過個大半年一年肯定會多起來的
[00:04:56.000 --> 00:05:00.000]  對吧因為你只有不斷的股票走扭轉行情才能走好
[00:05:00.000 --> 00:05:05.000]  那大家要還是把月線的這種思維是放在放在你的這個心目中的
[00:05:05.000 --> 00:05:09.000]  不要短線短線做著做著做著就沒有大方向了啊
[00:05:09.000 --> 00:05:13.000]  K線的態度的變化分很多種積極的態度消極的態度
[00:05:13.000 --> 00:05:17.000]  那就是我們說分歧對吧進攻中有分歧
[00:05:17.000 --> 00:05:20.000]  這個我們就不展開了就是對於回到K線上
[00:05:20.000 --> 00:05:24.000]  我們的K線就進攻破壞進攻中分歧破壞中分歧
[00:05:24.000 --> 00:05:30.000]  分歧停頓態度的背後呢是一種操盤傾向
[00:05:30.000 --> 00:05:35.000]  如果態度是積極的那麼操盤傾向的是以漲為主
[00:05:35.000 --> 00:05:38.000]  如果是消極的那麼以跌為主
[00:05:38.000 --> 00:05:41.000]  而最積極的態度就是高量注進攻揚
[00:05:41.000 --> 00:05:45.000]  其次是背量注進攻揚或者是進攻中有點分歧
[00:05:45.000 --> 00:05:50.000]  上升過程中如果出現一根K線把均線系統打走壞
[00:05:50.000 --> 00:05:54.000]  那就是行情結束如果是那就是行情結束
[00:05:54.000 --> 00:05:58.000]  所以從K線的態度來講越光滑越好啊揚突破
[00:05:58.000 --> 00:06:03.000]  揚突破呢就是我們所說的懷抱對於過去來講是一個平台
[00:06:03.000 --> 00:06:07.000]  我們所講要不就是揚暴運就是反打或者切入對不對
[00:06:07.000 --> 00:06:13.000]  揚突破是一個懷抱那麼對於過去一到三個月的小平台的突破
[00:06:13.000 --> 00:06:15.000]  或者是六個月以上的平台的突破
[00:06:15.000 --> 00:06:19.000]  大家可以來看有兩張圖一直沒跟他講過的啊
[00:06:20.000 --> 00:06:22.000]  中科實業大家講過了對吧
[00:06:22.000 --> 00:06:25.000]  一個是新武風再來講一下新武風
[00:06:25.000 --> 00:06:27.000]  可以把它拿出來啊
[00:06:27.000 --> 00:06:34.000]  這個書太神為什麼失敗也跟大家講過了啊
[00:06:34.000 --> 00:06:35.000]  對吧
[00:06:35.000 --> 00:06:45.000]  新武風
[00:06:47.000 --> 00:06:49.000]  鐵刻軌道
[00:06:49.000 --> 00:06:54.000]  太神光光雲科技
[00:06:54.000 --> 00:07:03.000]  就這四個請大家先做一下功課
[00:07:03.000 --> 00:07:06.000]  把他的懷抱的這個波段畫出來
[00:07:06.000 --> 00:07:11.000]  把它是以懷抱突破的這個這個區間畫出來
[00:07:14.000 --> 00:07:17.000]  也可能是一根刻線有可能是一個波段
[00:07:17.000 --> 00:07:19.000]  把懷抱的這個動作畫出來
[00:07:19.000 --> 00:07:21.000]  把這個圖畫出來
[00:07:21.000 --> 00:07:23.000]  中科實業
[00:07:50.000 --> 00:07:55.000]  新武風太神光光雲科技鐵刻軌道
[00:07:55.000 --> 00:08:03.000]  把懷抱的這個刻線和我就是這個波段畫出來
[00:08:03.000 --> 00:08:07.000]  因為他們他們走的是揚突破
[00:08:09.000 --> 00:08:10.000]  對不起
[00:08:10.000 --> 00:08:13.000]  你們還說不跟岔山說話還是我說說
[00:08:13.000 --> 00:08:15.000]  對
[00:08:17.000 --> 00:08:19.000]  我看你看你
[00:08:19.000 --> 00:08:23.000]  幫你穿著吧
[00:08:23.000 --> 00:08:26.000]  穿這兒吧
[00:08:43.000 --> 00:08:45.000]  這個是
[00:08:45.000 --> 00:08:57.000]  做好了嗎
[00:08:57.000 --> 00:09:00.000]  沒有再做一下啊
[00:09:00.000 --> 00:09:06.000]  這個
[00:09:06.000 --> 00:09:10.000]  嗯對
[00:09:10.000 --> 00:09:14.000]  懷抱的那個刻線畫圈標示出來
[00:09:14.000 --> 00:09:26.000]  兩個線
[00:09:26.000 --> 00:09:27.000]  這一個波段
[00:09:27.000 --> 00:09:29.000]  可以
[00:09:29.000 --> 00:09:33.000]  這一段
[00:09:33.000 --> 00:09:36.000]  對對對
[00:09:36.000 --> 00:09:38.000]  這兩個
[00:09:39.000 --> 00:09:41.000]  這一個波段是兩個的一個波段
[00:09:41.000 --> 00:09:45.000]  然後是這個
[00:09:45.000 --> 00:09:46.000]  對
[00:09:46.000 --> 00:09:48.000]  這個
[00:09:48.000 --> 00:09:52.000]  這一段
[00:09:52.000 --> 00:09:54.000]  這一根也可以
[00:09:54.000 --> 00:09:56.000]  這一根對於小的是這個
[00:09:56.000 --> 00:09:58.000]  這一段是對的
[00:09:58.000 --> 00:10:07.000]  這一根就是突破前一個波段
[00:10:08.000 --> 00:10:09.000]  這是一個吧
[00:10:09.000 --> 00:10:11.000]  這一段也是突破前一個
[00:10:11.000 --> 00:10:15.000]  日線上的
[00:10:15.000 --> 00:10:16.000]  日線上的
[00:10:16.000 --> 00:10:18.000]  日線上的
[00:10:18.000 --> 00:10:19.000]  用這個
[00:10:19.000 --> 00:10:20.000]  用這個
[00:10:20.000 --> 00:10:22.000]  用這個線
[00:10:22.000 --> 00:10:23.000]  這個波段
[00:10:23.000 --> 00:10:26.000]  懷抱的一個小的
[00:10:26.000 --> 00:10:27.000]  就是白線
[00:10:27.000 --> 00:10:29.000]  對
[00:10:29.000 --> 00:10:31.000]  這兩條都是白線
[00:10:31.000 --> 00:10:32.000]  用這個
[00:10:32.000 --> 00:10:34.000]  這兩條都是白線
[00:10:34.000 --> 00:10:35.000]  這個沒有調整
[00:10:35.000 --> 00:10:37.000]  我們是買了一個
[00:10:37.000 --> 00:10:38.000]  這個
[00:10:38.000 --> 00:10:39.000]  這個
[00:10:39.000 --> 00:10:40.000]  這個
[00:10:40.000 --> 00:10:42.000]  這個
[00:10:42.000 --> 00:10:44.000]  這個
[00:10:44.000 --> 00:10:46.000]  對
[00:10:46.000 --> 00:10:47.000]  這個
[00:10:47.000 --> 00:10:49.000]  對
[00:10:49.000 --> 00:10:51.000]  這個
[00:10:51.000 --> 00:10:53.000]  這個
[00:10:53.000 --> 00:10:54.000]  這個
[00:10:54.000 --> 00:10:58.000]  這個
[00:10:58.000 --> 00:11:00.000]  這個
[00:11:00.000 --> 00:11:02.000]  懷抱
[00:11:02.000 --> 00:11:06.000]  這個
[00:11:06.000 --> 00:11:07.000]  這個
[00:11:07.000 --> 00:11:09.000]  這個
[00:11:09.000 --> 00:11:11.000]  這個
[00:11:11.000 --> 00:11:13.000]  這個
[00:11:13.000 --> 00:11:15.000]  這個
[00:11:15.000 --> 00:11:17.000]  這個
[00:11:17.000 --> 00:11:19.000]  這個
[00:11:19.000 --> 00:11:21.000]  這個
[00:11:21.000 --> 00:11:23.000]  這個
[00:11:23.000 --> 00:11:25.000]  這個
[00:11:25.000 --> 00:11:27.000]  這個
[00:11:27.000 --> 00:11:29.000]  這個
[00:11:29.000 --> 00:11:31.000]  這個
[00:11:31.000 --> 00:11:33.000]  這個
[00:11:33.000 --> 00:11:35.000]  這個
[00:11:35.000 --> 00:11:36.000]  這個
[00:11:36.000 --> 00:11:38.000]  這個
[00:11:38.000 --> 00:11:40.000]  這個
[00:11:40.000 --> 00:11:42.000]  這個
[00:11:42.000 --> 00:11:44.000]  這個
[00:11:44.000 --> 00:11:46.000]  這個
[00:11:46.000 --> 00:11:48.000]  這個
[00:11:48.000 --> 00:11:50.000]  這個
[00:11:50.000 --> 00:11:52.000]  這個
[00:11:52.000 --> 00:11:54.000]  這個
[00:11:54.000 --> 00:11:56.000]  這個
[00:11:56.000 --> 00:11:58.000]  這個
[00:11:58.000 --> 00:12:00.000]  這個
[00:12:00.000 --> 00:12:02.000]  這個
[00:12:02.000 --> 00:12:04.000]  這個
[00:12:04.000 --> 00:12:05.000]  這個
[00:12:05.000 --> 00:12:07.000]  你要快切
[00:12:07.000 --> 00:12:08.000]  切
[00:12:08.000 --> 00:12:10.000]  切
[00:12:10.000 --> 00:12:11.000]  我這裡多了三個
[00:12:11.000 --> 00:12:12.000]  這個
[00:12:12.000 --> 00:12:14.000]  這個
[00:12:14.000 --> 00:12:16.000]  這個
[00:12:16.000 --> 00:12:18.000]  這個
[00:12:18.000 --> 00:12:20.000]  這個
[00:12:20.000 --> 00:12:21.000]  這個
[00:12:21.000 --> 00:12:23.000]  這個
[00:12:23.000 --> 00:12:27.000]  這個
[00:12:27.000 --> 00:12:29.000]  這個
[00:12:29.000 --> 00:12:32.000]  這個
[00:12:33.000 --> 00:12:34.000]  這個
[00:12:34.000 --> 00:12:36.000]  這個
[00:12:36.000 --> 00:12:38.000]  這個
[00:12:38.000 --> 00:12:40.000]  這個
[00:12:40.000 --> 00:12:42.000]  這個
[00:12:42.000 --> 00:12:44.000]  這個
[00:12:44.000 --> 00:12:46.000]  這個
[00:12:46.000 --> 00:12:48.000]  這個
[00:12:48.000 --> 00:12:50.000]  這個
[00:12:50.000 --> 00:12:52.000]  這個
[00:12:52.000 --> 00:12:54.000]  這個
[00:12:54.000 --> 00:12:56.000]  這個
[00:12:56.000 --> 00:12:58.000]  這個
[00:12:58.000 --> 00:13:00.000]  這個
[00:13:00.000 --> 00:13:02.000]  這個
[00:13:02.000 --> 00:13:03.000]  這個
[00:13:03.000 --> 00:13:05.000]  這個
[00:13:05.000 --> 00:13:07.000]  這個
[00:13:07.000 --> 00:13:09.000]  這個
[00:13:09.000 --> 00:13:11.000]  這個
[00:13:11.000 --> 00:13:13.000]  這個
[00:13:13.000 --> 00:13:15.000]  這個
[00:13:15.000 --> 00:13:17.000]  這個
[00:13:17.000 --> 00:13:19.000]  這個
[00:13:19.000 --> 00:13:21.000]  這個
[00:13:21.000 --> 00:13:23.000]  這個
[00:13:23.000 --> 00:13:25.000]  這個
[00:13:25.000 --> 00:13:27.000]  這個
[00:13:27.000 --> 00:13:29.000]  這個
[00:13:29.000 --> 00:13:31.000]  這個
[00:13:31.000 --> 00:13:32.000]  這個
[00:13:32.000 --> 00:13:34.000]  這個
[00:13:34.000 --> 00:13:36.000]  這個
[00:13:36.000 --> 00:13:38.000]  這個
[00:13:38.000 --> 00:13:40.000]  這個
[00:13:40.000 --> 00:13:42.000]  這個
[00:13:42.000 --> 00:13:44.000]  這個
[00:13:44.000 --> 00:13:46.000]  這個
[00:13:46.000 --> 00:13:48.000]  這個
[00:13:48.000 --> 00:13:50.000]  這個
[00:13:50.000 --> 00:13:52.000]  這個
[00:13:52.000 --> 00:13:54.000]  這個
[00:13:54.000 --> 00:13:56.000]  這個
[00:13:56.000 --> 00:13:58.000]  這個
[00:13:58.000 --> 00:14:00.000]  這個
[00:14:00.000 --> 00:14:01.000]  這個
[00:14:01.000 --> 00:14:03.000]  這個
[00:14:03.000 --> 00:14:05.000]  這個
[00:14:05.000 --> 00:14:07.000]  這個
[00:14:07.000 --> 00:14:09.000]  這個
[00:14:09.000 --> 00:14:11.000]  這個
[00:14:11.000 --> 00:14:13.000]  這個
[00:14:13.000 --> 00:14:15.000]  這個
[00:14:15.000 --> 00:14:17.000]  這個
[00:14:17.000 --> 00:14:19.000]  這個
[00:14:19.000 --> 00:14:21.000]  這個
[00:14:21.000 --> 00:14:23.000]  這個
[00:14:23.000 --> 00:14:25.000]  這個
[00:14:25.000 --> 00:14:27.000]  這個
[00:14:27.000 --> 00:14:29.000]  這個
[00:14:30.000 --> 00:14:31.000]  好我們開始
[00:14:31.000 --> 00:14:32.000]  我們給大家講一講啊
[00:14:32.000 --> 00:14:38.000]  這是最後一個細節的變化了啊
[00:14:38.000 --> 00:14:39.000]  這個完了之後
[00:14:39.000 --> 00:14:40.000]  我們基本上知識點都講完了
[00:14:40.000 --> 00:14:44.000]  第一個
[00:14:44.000 --> 00:14:49.000]  這都是懷抱的啊
[00:14:49.000 --> 00:14:54.000]  等會我們先講那個
[00:14:54.000 --> 00:14:56.000]  首先我們買是買在調整裡面
[00:14:56.000 --> 00:14:57.000]  再次強調
[00:14:57.000 --> 00:14:59.000]  調整默契的拐點
[00:14:59.000 --> 00:15:01.000]  不是要你追漲
[00:15:01.000 --> 00:15:02.000]  但是知道了沒有
[00:15:02.000 --> 00:15:05.000]  不要說哎呀這個懷抱我趕緊沖好了
[00:15:05.000 --> 00:15:06.000]  你沖
[00:15:06.000 --> 00:15:07.000]  我懷抱起來是不是
[00:15:07.000 --> 00:15:08.000]  都二三十幾點就上漲了
[00:15:08.000 --> 00:15:10.000]  好了買了我就好
[00:15:10.000 --> 00:15:11.000]  你不要學完就變形的啊
[00:15:11.000 --> 00:15:13.000]  我們是
[00:15:13.000 --> 00:15:15.000]  沖完之後看它怎麼漲了
[00:15:15.000 --> 00:15:17.000]  後面等它調整完之後再反包再買
[00:15:17.000 --> 00:15:19.000]  你所有的買請你保證
[00:15:19.000 --> 00:15:22.000]  五十二十相對收緊
[00:15:22.000 --> 00:15:24.000]  如果達不到這個要求
[00:15:24.000 --> 00:15:26.000]  如果發散了你就不要買
[00:15:26.000 --> 00:15:27.000]  大家明保例子了
[00:15:27.000 --> 00:15:29.000]  五十二十相對收緊啊
[00:15:29.000 --> 00:15:31.000]  先五公這一個懷抱來看
[00:15:31.000 --> 00:15:33.000]  這個羊線就是對整個這裡
[00:15:33.000 --> 00:15:35.000]  多長時間的橫行進行一個懷抱啊
[00:15:35.000 --> 00:15:37.000]  說半年多的一個時間的一個懷抱啊
[00:15:37.000 --> 00:15:38.000]  然後懷抱之後回踩
[00:15:38.000 --> 00:15:40.000]  是不是這個回踩之後的反包是不是買點
[00:15:40.000 --> 00:15:43.000]  對吧那就是一個就是說
[00:15:43.000 --> 00:15:46.000]  懷抱如果因為我們前面講的反打
[00:15:46.000 --> 00:15:48.000]  羊包一是不是一啊
[00:15:48.000 --> 00:15:50.000]  又沒反打又沒有懷抱
[00:15:50.000 --> 00:15:52.000]  那你就沒有一對不對
[00:15:52.000 --> 00:15:53.000]  那這個一怎麼定呢
[00:15:53.000 --> 00:15:54.000]  懷抱扭轉了
[00:15:54.000 --> 00:15:56.000]  這個懷抱的這個K線就是一
[00:15:56.000 --> 00:15:59.000]  或者懷抱的這個波段就是一
[00:15:59.000 --> 00:16:01.000]  當你知道這是一
[00:16:01.000 --> 00:16:03.000]  那它條條後面還有什麼
[00:16:03.000 --> 00:16:05.000]  還有三
[00:16:05.000 --> 00:16:07.000]  這是懷抱
[00:16:07.000 --> 00:16:09.000]  大家能理解啊
[00:16:09.000 --> 00:16:11.000]  好我們再來看下一個
[00:16:11.000 --> 00:16:14.000]  光源科技
[00:16:14.000 --> 00:16:17.000]  光源科技它的懷抱是不是這一個波段
[00:16:17.000 --> 00:16:19.000]  來告訴我
[00:16:19.000 --> 00:16:21.000]  這一個波段的上漲是要把整個這裡
[00:16:21.000 --> 00:16:23.000]  差不多一年多的橫行傳送給
[00:16:23.000 --> 00:16:26.000]  進行一個懷抱的一個什麼
[00:16:26.000 --> 00:16:28.000]  站上是不是
[00:16:28.000 --> 00:16:30.000]  那麼懷抱的站上
[00:16:30.000 --> 00:16:32.000]  我們當然後面必須保持趨勢多頭啊
[00:16:32.000 --> 00:16:33.000]  這是要求啊
[00:16:33.000 --> 00:16:35.000]  懷抱站上這就是一
[00:16:35.000 --> 00:16:38.000]  趨勢多頭保持就是二
[00:16:38.000 --> 00:16:40.000]  所以它站上的就是什麼
[00:16:40.000 --> 00:16:41.000]  三
[00:16:41.000 --> 00:16:44.000]  這個能理解我意思吧
[00:16:44.000 --> 00:16:45.000]  就是三
[00:16:45.000 --> 00:16:50.000]  再來看下一個啊
[00:16:50.000 --> 00:16:52.000]  這個解析完蛋就沒了
[00:16:52.000 --> 00:16:54.000]  解析完蛋就很清爽了
[00:16:54.000 --> 00:16:56.000]  所以強勢的骨頭是敢做的
[00:16:56.000 --> 00:16:57.000]  你得看懂就敢做
[00:16:57.000 --> 00:16:58.000]  懷抱就是強勢對不對
[00:16:58.000 --> 00:17:01.000]  來看這是不是一個懷抱波段
[00:17:01.000 --> 00:17:05.000]  這個懷抱波段對前面將近兩年多時間的一個懷抱
[00:17:05.000 --> 00:17:10.000]  你說我們剛才講的懷抱的時間越長越猛
[00:17:10.000 --> 00:17:12.000]  後發力越強對不對
[00:17:12.000 --> 00:17:15.000]  兩週的時間把過去兩年多時間的懷抱
[00:17:15.000 --> 00:17:16.000]  因為這個問題叫什麼
[00:17:16.000 --> 00:17:18.000]  是不是波段的一個什麼
[00:17:18.000 --> 00:17:20.000]  就是我們講的叫
[00:17:20.000 --> 00:17:23.000]  懷一點的白骨區間做第一波呀
[00:17:23.000 --> 00:17:25.000]  對不對
[00:17:25.000 --> 00:17:27.000]  那麼第一波它走出懷抱
[00:17:27.000 --> 00:17:28.000]  那這裡就變成了一
[00:17:28.000 --> 00:17:30.000]  本來這裡起來我們認為是三浪的
[00:17:30.000 --> 00:17:33.000]  但由於它走懷抱走出了一
[00:17:33.000 --> 00:17:36.000]  那麼經過多方調整保持再次行動
[00:17:36.000 --> 00:17:37.000]  一二後面還有什麼
[00:17:37.000 --> 00:17:38.000]  三
[00:17:38.000 --> 00:17:39.000]  還有三
[00:17:39.000 --> 00:17:41.000]  就是我們說的強者很強
[00:17:41.000 --> 00:17:42.000]  強者賽制很強
[00:17:42.000 --> 00:17:43.000]  再來看
[00:17:43.000 --> 00:17:46.000]  再來看下一個
[00:17:46.000 --> 00:17:48.000]  太閃光
[00:17:48.000 --> 00:17:50.000]  對吧太閃光從這裡
[00:17:50.000 --> 00:17:54.000]  這是我去年熬了多少個日夜才能打通的呀
[00:17:54.000 --> 00:17:56.000]  再來看
[00:17:56.000 --> 00:17:59.000]  很多人就是看到這裡就覺得走完了
[00:17:59.000 --> 00:18:01.000]  是不是
[00:18:01.000 --> 00:18:04.000]  然後在這前面也沒有什麼明顯的對吧
[00:18:04.000 --> 00:18:07.000]  這是不是一個懷抱的一個波段呢
[00:18:07.000 --> 00:18:11.000]  對過去進行多長兩三年時間進行一個懷抱
[00:18:11.000 --> 00:18:14.000]  懷抱完將是不是調整多久就是保持
[00:18:14.000 --> 00:18:15.000]  變成了一
[00:18:15.000 --> 00:18:16.000]  二
[00:18:16.000 --> 00:18:17.000]  三
[00:18:17.000 --> 00:18:18.000]  再來
[00:18:18.000 --> 00:18:21.000]  所以我們對於懷抱來說呢它會非常的強
[00:18:21.000 --> 00:18:24.000]  那但這個強呢為什麼我最後才講
[00:18:24.000 --> 00:18:28.000]  大家一定要配合我們對於股票的角度來講是什麼
[00:18:28.000 --> 00:18:30.000]  世
[00:18:30.000 --> 00:18:31.000]  仇
[00:18:31.000 --> 00:18:32.000]  行
[00:18:32.000 --> 00:18:33.000]  風
[00:18:33.000 --> 00:18:34.000]  這四個字我也不知道怎麼蹦出來的
[00:18:34.000 --> 00:18:37.000]  反正就給你們上課之前突然這四個字就出來了
[00:18:37.000 --> 00:18:40.000]  就是世仇行風
[00:18:40.000 --> 00:18:41.000]  你要把它結合起來
[00:18:41.000 --> 00:18:43.000]  你不要光看到懷抱啊
[00:18:43.000 --> 00:18:44.000]  大猶虎來了
[00:18:44.000 --> 00:18:45.000]  光看到懷抱
[00:18:45.000 --> 00:18:46.000]  哦大三道來了
[00:18:46.000 --> 00:18:47.000]  對吧結合起來
[00:18:47.000 --> 00:18:49.000]  一定是結合起來
[00:18:49.000 --> 00:18:51.000]  但是你要就是下次比如說再遇到這種
[00:18:51.000 --> 00:18:52.000]  你要知道它
[00:18:52.000 --> 00:18:54.000]  哎它只要多它保持在向上
[00:18:54.000 --> 00:18:55.000]  還沒有完
[00:18:55.000 --> 00:18:56.000]  還有還有什麼
[00:18:56.000 --> 00:18:58.000]  還有向上的一個空間
[00:18:58.000 --> 00:19:00.000]  這是對於我們說的大懷抱
[00:19:00.000 --> 00:19:04.000]  所以我們所有的這個每一張圖都跟大家解惑過了
[00:19:04.000 --> 00:19:05.000]  有失敗的
[00:19:05.000 --> 00:19:06.000]  有各種模型的
[00:19:06.000 --> 00:19:08.000]  有各種買點強弱的
[00:19:08.000 --> 00:19:09.000]  對吧
[00:19:09.000 --> 00:19:10.000]  有轉世的
[00:19:10.000 --> 00:19:14.000]  大家應該現在你們回家這這十八張圖應該是價值非常高吧
[00:19:15.000 --> 00:19:17.000]  自己做的筆記對吧
[00:19:17.000 --> 00:19:18.000]  自己看得懂的
[00:19:18.000 --> 00:19:19.000]  是不是這樣
[00:19:19.000 --> 00:19:21.000]  自己做的筆記自己看得懂的
[00:19:21.000 --> 00:19:22.000]  所以我們說
[00:19:22.000 --> 00:19:27.000]  這是陽突破對於懷抱的一個理解
[00:19:27.000 --> 00:19:30.000]  不同級別的突破代表著市場意義呢不一樣
[00:19:30.000 --> 00:19:33.000]  突破的平台級別越大越長
[00:19:33.000 --> 00:19:36.000]  彈琴的發聲的力度就越強
[00:19:36.000 --> 00:19:38.000]  突破的平台越短
[00:19:38.000 --> 00:19:41.000]  彈琴的力度就越小
[00:19:42.000 --> 00:19:45.000]  這樣這是由於做盤來決定的
[00:19:45.000 --> 00:19:48.000]  大局就是大生意
[00:19:48.000 --> 00:19:50.000]  小局就是小生意
