[00:00:00.000 --> 00:00:04.200]  第三天看了前面这一个半小时呢跟大家分享的就是什么
[00:02:49.100 --> 00:02:50.800]  就是我们从空转多板
[00:02:50.800 --> 00:02:52.800]  我现在就是高位到转变
[00:02:52.800 --> 00:02:53.700]  我就不多讲
[00:02:53.700 --> 00:02:56.600]  我们就从下跌怎么转为上涨的
[00:02:56.600 --> 00:02:58.100]  这个我们为主的去展开
[00:02:58.100 --> 00:02:59.900]  因为我们咱们现在正好是在一个
[00:02:59.900 --> 00:03:01.300]  就是下跌周期
[00:03:01.300 --> 00:03:04.000]  未来会慢慢转为上涨的一个周期啊
[00:03:04.000 --> 00:03:06.000]  第一个大家看的就是
[00:03:06.000 --> 00:03:07.000]  这三根线
[00:03:07.000 --> 00:03:09.500]  永远把它理解为趋势
[00:03:09.500 --> 00:03:11.300]  一定把它理解为趋势
[00:03:11.300 --> 00:03:16.700]  在单边趋势的时候是顺势而为
[00:03:16.700 --> 00:03:18.000]  那我问大家一个问题
[00:03:18.000 --> 00:03:20.700]  单边趋势的时候是K线重要
[00:03:20.700 --> 00:03:21.500]  就是单边啊
[00:03:21.500 --> 00:03:24.200]  像这里比如说5和10在20的下方
[00:03:24.200 --> 00:03:29.000]  是均线重要还是K线重要
[00:03:29.000 --> 00:03:30.200]  均线重要非常好
[00:03:30.200 --> 00:03:31.900]  回答非常棒
[00:03:31.900 --> 00:03:34.600]  单边的时候是均线重要
[00:03:34.600 --> 00:03:38.600]  扭转的时候是K线重要还是均线重要
[00:03:38.600 --> 00:03:39.900]  K线重要
[00:03:39.900 --> 00:03:42.300]  大家就是不同的位置
[00:03:42.300 --> 00:03:44.300]  你要有不同的侧重点
[00:03:44.300 --> 00:03:45.100]  大家一定要记住
[00:03:45.100 --> 00:03:46.700]  像我们现在是在
[00:03:46.700 --> 00:03:49.800]  可能未来会面临均线的适合
[00:03:49.800 --> 00:03:51.400]  扭转的阶段对不对
[00:03:51.400 --> 00:03:54.600]  那么就要看K线的一个价格
[00:03:54.600 --> 00:03:56.900]  因为均线只要是空头
[00:03:56.900 --> 00:03:58.400]  那就是顺势而为
[00:03:58.400 --> 00:03:59.200]  大家都记得啊
[00:03:59.200 --> 00:04:00.300]  就是顺势而为
[00:04:00.300 --> 00:04:01.600]  那只不过顺势
[00:04:01.600 --> 00:04:04.000]  顺势而为的过程中就是小机会
[00:04:04.000 --> 00:04:06.600]  比如说你这个板块在这里航了四个月
[00:04:06.600 --> 00:04:08.900]  那这里面就会有一些个股的小波段
[00:04:08.900 --> 00:04:09.200]  对吧
[00:04:09.200 --> 00:04:10.100]  轮动反弹
[00:04:10.100 --> 00:04:12.000]  有些小机会来呈现出来
[00:04:12.000 --> 00:04:14.200]  然后继续阴包阳
[00:04:14.200 --> 00:04:16.100]  阴包阳继续顺势而为
[00:04:16.100 --> 00:04:17.800]  反弹这也是一个月的反弹
[00:04:17.800 --> 00:04:19.500]  也可以大家可以把它想象成
[00:04:19.500 --> 00:04:21.700]  像这两天的房地产服务对不对
[00:04:21.700 --> 00:04:24.600]  空头过程中的价格的反弹
[00:04:24.600 --> 00:04:27.700]  不能改变就是价格的上涨
[00:04:27.700 --> 00:04:30.600]  不能改变势的变化
[00:04:30.600 --> 00:04:32.200]  势是不能反就是什么
[00:04:32.200 --> 00:04:33.900]  势就没有办法形成一个扭转
[00:04:33.900 --> 00:04:35.400]  刚才让大家记下来了
[00:04:35.400 --> 00:04:38.700]  然后他只会顺势继续原来的行为
[00:04:38.700 --> 00:04:40.500]  就是原来顺势而为向下
[00:04:40.500 --> 00:04:42.300]  只有到什么才会发生转变呢
[00:04:42.300 --> 00:04:43.700]  就是价格的变化
[00:04:43.700 --> 00:04:47.300]  还有啊
[00:04:47.300 --> 00:04:47.800]  我不重要
[00:04:47.800 --> 00:04:49.600]  不要看缩量
[00:04:49.600 --> 00:04:50.900]  不要看缩量
[00:04:50.900 --> 00:04:53.000]  觉得这个位置跌差不多了
[00:04:53.000 --> 00:04:54.700]  这句话里面给我记记好
[00:04:54.700 --> 00:04:55.600]  不要看缩量
[00:04:55.600 --> 00:04:57.400]  觉得哎跌无可跌了
[00:04:57.400 --> 00:04:59.700]  123456789了
[00:04:59.700 --> 00:05:00.700]  不要看缩量
[00:05:00.700 --> 00:05:02.400]  不要数结构
[00:05:02.400 --> 00:05:03.700]  强者思维
[00:05:03.700 --> 00:05:06.300]  啊我补充啊
[00:05:06.300 --> 00:05:07.100]  我就很担心
[00:05:07.100 --> 00:05:09.000]  看看这个这个位置说定量了
[00:05:09.000 --> 00:05:10.400]  我可不可以埋伏一点
[00:05:10.400 --> 00:05:12.000]  强者思维
[00:05:12.000 --> 00:05:14.000]  宁可成本高一点
[00:05:14.000 --> 00:05:15.800]  不要想着摊低
[00:05:15.800 --> 00:05:17.700]  摊便宜的低价
[00:05:17.700 --> 00:05:19.700]  因为只要你想摊便宜的低价
[00:05:19.700 --> 00:05:20.800]  你就想缩量
[00:05:20.800 --> 00:05:23.100]  我认为就是弱势思维
[00:05:23.100 --> 00:05:24.100]  强者思维
[00:05:24.100 --> 00:05:24.900]  勇者胜
[00:05:24.900 --> 00:05:25.800]  强者出
[00:05:25.800 --> 00:05:27.900]  必须给我扭转
[00:05:27.900 --> 00:05:29.200]  大家明白我意思没有
[00:05:29.200 --> 00:05:30.000]  一定注意啊
[00:05:30.000 --> 00:05:31.200]  没有出现扭转
[00:05:31.200 --> 00:05:32.800]  哪怕我觉得哎这里你看
[00:05:32.800 --> 00:05:34.000]  扬起动扬起
[00:05:34.000 --> 00:05:36.000]  应起动应接力应疯狂
[00:05:36.000 --> 00:05:37.700]  应衰竭再衰竭
[00:05:37.700 --> 00:05:39.800]  都跌无可跌了
[00:05:39.800 --> 00:05:42.200]  他的跌无可跌还可以磨三个月
[00:05:42.200 --> 00:05:43.900]  还可以磨五个月的
[00:05:43.900 --> 00:05:45.200]  明白我意思没有
[00:05:45.200 --> 00:05:46.700]  所以我们只有一条
[00:05:46.700 --> 00:05:48.600]  强者胜勇者出
[00:05:48.600 --> 00:05:50.800]  必须给我驾的变化
[00:05:50.800 --> 00:05:53.300]  带动势的变化
[00:05:53.300 --> 00:05:54.700]  必须给我们驾的变化
[00:05:54.700 --> 00:05:56.200]  带动势的变化
[00:05:56.200 --> 00:05:58.100]  这一张k线是驾
[00:05:58.100 --> 00:05:59.600]  站上了五合十
[00:05:59.600 --> 00:06:02.800]  但是没有站上二十
[00:06:02.800 --> 00:06:04.000]  这是一个变化
[00:06:04.000 --> 00:06:05.600]  那么这个变化的过程之中
[00:06:05.600 --> 00:06:07.900]  我问大家一个问题啊
[00:06:07.900 --> 00:06:11.600]  从我们的操作机会来讲啊
[00:06:11.600 --> 00:06:13.200]  这个是越线是趋势
[00:06:13.200 --> 00:06:15.300]  越线是转中长期还是
[00:06:15.300 --> 00:06:17.300]  没有转中长期
[00:06:17.300 --> 00:06:18.900]  没有转只是带转
[00:06:18.900 --> 00:06:20.900]  可能转的过程中对不对
[00:06:20.900 --> 00:06:22.100]  所以在这个过程中
[00:06:22.100 --> 00:06:24.100]  我们参与在一个方向的话
[00:06:24.100 --> 00:06:26.100]  是以波段参与还是
[00:06:26.100 --> 00:06:28.800]  我们说的短线参与
[00:06:28.800 --> 00:06:29.900]  对非常清楚啊
[00:06:29.900 --> 00:06:31.300]  就是短线参与为什么
[00:06:31.300 --> 00:06:32.800]  我们接下来2024年
[00:06:32.800 --> 00:06:34.800]  肯定有板块是走这种的
[00:06:34.800 --> 00:06:36.300]  肯定接下来慢慢会有板块
[00:06:36.300 --> 00:06:37.400]  呈现这种的
[00:06:37.400 --> 00:06:38.400]  那么什么情况下
[00:06:38.400 --> 00:06:39.400]  它会发生转变呢
[00:06:39.400 --> 00:06:40.200]  我们可以看
[00:06:40.200 --> 00:06:40.900]  首先第一点
[00:06:40.900 --> 00:06:42.900]  这个板块已经发生了变化
[00:06:42.900 --> 00:06:44.900]  最终最好的是什么呢
[00:06:44.900 --> 00:06:46.500]  最好的就是
[00:06:46.500 --> 00:06:47.700]  价格的变化
[00:06:47.700 --> 00:06:49.500]  不仅占上5和10
[00:06:49.500 --> 00:06:50.700]  价格的变化
[00:06:50.700 --> 00:06:55.100]  还能把5和10带到20的上方
[00:06:55.100 --> 00:06:58.500]  才是真正的转多
[00:06:58.500 --> 00:07:00.500]  价格的变化
[00:07:00.500 --> 00:07:03.600]  把5和10带到20的上方
[00:07:03.600 --> 00:07:08.100]  才是真正的具备未来走趋势多头
[00:07:08.100 --> 00:07:10.800]  的一个要求
[00:07:10.800 --> 00:07:12.700]  因为越线出现洋包音
[00:07:12.700 --> 00:07:13.700]  把5和10占上
[00:07:13.700 --> 00:07:15.300]  只能看是一个反弹
[00:07:15.300 --> 00:07:17.700]  因为5和10还是在20的下方
[00:07:17.700 --> 00:07:19.200]  还是属于趋势空头
[00:07:19.200 --> 00:07:20.300]  价格反弹
[00:07:20.300 --> 00:07:21.700]  好我们再来看
[00:07:21.700 --> 00:07:23.400]  价格继续向上
[00:07:23.400 --> 00:07:24.200]  这个月起来之后
[00:07:24.200 --> 00:07:25.800]  这个月都是可以在这个板块里面
[00:07:25.800 --> 00:07:27.900]  我们说只能短线参与对不对
[00:07:27.900 --> 00:07:28.700]  继续向上
[00:07:28.700 --> 00:07:30.400]  非常好的一点就是
[00:07:30.400 --> 00:07:33.400]  价格先收在20的上方
[00:07:33.400 --> 00:07:37.000]  但还不能递信为多头
[00:07:37.000 --> 00:07:38.400]  还只能说是什么
[00:07:38.400 --> 00:07:40.500]  空中墙反弹
[00:07:40.500 --> 00:07:41.900]  大家明白我的意思没有
[00:07:41.900 --> 00:07:44.100]  随后价格的变化
[00:07:44.100 --> 00:07:47.300]  能够带动50在20的上方
[00:07:47.300 --> 00:07:48.900]  那么这一个板块
[00:07:48.900 --> 00:07:52.600]  就结束了过去几年的熊市
[00:07:52.600 --> 00:07:53.900]  明白大家能理解了没有
[00:07:53.900 --> 00:07:56.200]  就是我们先讲中长期
[00:07:56.200 --> 00:07:58.000]  结束几年的熊市
[00:07:58.000 --> 00:08:00.900]  好回调
[00:08:00.900 --> 00:08:02.700]  回调是不是K线
[00:08:02.700 --> 00:08:04.600]  还是在5和10的上方
[00:08:04.600 --> 00:08:05.300]  还是在回调
[00:08:05.300 --> 00:08:06.500]  那么目前接下来
[00:08:06.500 --> 00:08:08.200]  还不能确定这个板块
[00:08:08.200 --> 00:08:09.800]  转为什么
[00:08:09.800 --> 00:08:10.900]  多头
[00:08:10.900 --> 00:08:12.100]  大家明白我的意思没有
[00:08:12.100 --> 00:08:13.100]  就像我们现在
[00:08:13.100 --> 00:08:15.400]  我这里会跟大家讲很仔细
[00:08:15.400 --> 00:08:16.600]  因为24年
[00:08:16.600 --> 00:08:18.900]  我们就要把这个看明白
[00:08:18.900 --> 00:08:20.500]  24年里面有哪些板块
[00:08:20.500 --> 00:08:22.300]  像这种能够走出来
[00:08:22.300 --> 00:08:24.300]  方向就在这
[00:08:24.300 --> 00:08:25.700]  这就会大家能理解
[00:08:25.700 --> 00:08:26.700]  因为我们很多板块
[00:08:26.700 --> 00:08:27.700]  都经历了两三年
[00:08:27.700 --> 00:08:29.500]  甚至三四年的调整
[00:08:29.500 --> 00:08:31.000]  好我们再来看
[00:08:31.000 --> 00:08:31.700]  回调
[00:08:31.700 --> 00:08:33.300]  它就是在一个震荡区间
[00:08:33.300 --> 00:08:34.100]  就有点像
[00:08:34.100 --> 00:08:35.300]  比如说我们现在的大盘
[00:08:35.300 --> 00:08:36.800]  可能在这
[00:08:36.800 --> 00:08:38.800]  它接下来可能就会有个回调
[00:08:38.800 --> 00:08:39.400]  对吧
[00:08:39.400 --> 00:08:41.000]  那么调调谈谈调谈谈
[00:08:41.000 --> 00:08:42.200]  深浅不知道
[00:08:42.200 --> 00:08:43.600]  但我们需要的是时间
[00:08:43.600 --> 00:08:44.500]  给到我们一个答案
[00:08:44.500 --> 00:08:45.700]  就是它能不能
[00:08:45.700 --> 00:08:46.900]  你看非常好的走出来
[00:08:46.900 --> 00:08:47.600]  对不对
[00:08:47.600 --> 00:08:50.200]  目前5在20的上方
[00:08:50.200 --> 00:08:51.600]  但是10还没有
[00:08:51.600 --> 00:08:54.100]  但20还是属于走平向下的
[00:08:54.100 --> 00:08:56.300]  还需要时间
[00:08:56.300 --> 00:08:56.900]  好
[00:08:56.900 --> 00:08:57.500]  这一天
[00:08:57.500 --> 00:08:59.300]  这个月走出来
[00:08:59.300 --> 00:09:00.700]  已经开始呈现出
[00:09:00.700 --> 00:09:02.100]  多头的轴形了
[00:09:02.100 --> 00:09:02.900]  对吧
[00:09:02.900 --> 00:09:04.000]  还需要一点时间
[00:09:04.000 --> 00:09:05.600]  因为
[00:09:05.600 --> 00:09:05.800]  好
[00:09:05.800 --> 00:09:07.000]  这个位置还是在这个
[00:09:07.000 --> 00:09:08.600]  目前中还在一个呈现中
[00:09:08.600 --> 00:09:11.900]  那我问大家一个问题
[00:09:11.900 --> 00:09:13.600]  我问大家一个问题
[00:09:13.600 --> 00:09:15.400]  这就是我们
[00:09:15.400 --> 00:09:18.800]  从实际操作的过程中
[00:09:18.800 --> 00:09:20.400]  下个月这个板块
[00:09:20.400 --> 00:09:21.700]  往下打
[00:09:21.700 --> 00:09:23.800]  周限扬包音
[00:09:23.800 --> 00:09:25.600]  告诉我这是机会还是工资
[00:09:25.600 --> 00:09:26.900]  机会
[00:09:26.900 --> 00:09:29.000]  为什么是机会
[00:09:29.000 --> 00:09:30.000]  你反应好
[00:09:30.000 --> 00:09:32.900]  博士就是博士
[00:09:32.900 --> 00:09:35.000]  对
[00:09:35.000 --> 00:09:37.700]  因为是在前
[00:09:37.700 --> 00:09:39.500]  价在后
[00:09:39.500 --> 00:09:41.800]  不要看k线很吓人
[00:09:41.800 --> 00:09:43.000]  大家听到没有
[00:09:43.000 --> 00:09:44.000]  这就是我们所说的
[00:09:44.000 --> 00:09:46.500]  就像接下来也会有这种调整
[00:09:46.500 --> 00:09:48.900]  你不要看价格很吓人
[00:09:48.900 --> 00:09:50.400]  只要是保持
[00:09:50.400 --> 00:09:52.700]  价格调整到位
[00:09:52.700 --> 00:09:55.300]  k线反包就是机会
[00:09:55.300 --> 00:09:56.800]  那么个股是不是一样的呢
[00:09:56.800 --> 00:09:59.000]  像前段时间的电力板块
[00:09:59.000 --> 00:09:59.300]  对吧
[00:09:59.300 --> 00:10:00.600]  是不是也是这样子的呢
[00:10:00.600 --> 00:10:02.500]  月限驱时向上
[00:10:02.500 --> 00:10:05.600]  周限日限在这里挖一个坑
[00:10:05.600 --> 00:10:06.800]  日限一反包
[00:10:06.800 --> 00:10:09.700]  是不是就沿着均线长了一个多月呢
[00:10:09.700 --> 00:10:12.500]  电力里面是不是有这样的股票
[00:10:12.500 --> 00:10:14.000]  大家能理解我意思没有
[00:10:14.000 --> 00:10:15.200]  因为我们每个人
[00:10:15.200 --> 00:10:17.000]  我们在做的有很多
[00:10:17.000 --> 00:10:18.200]  每个人的节奏不一样
[00:10:18.200 --> 00:10:19.000]  有的是慢一点
[00:10:19.000 --> 00:10:20.800]  我就把老师讲的这个大级别的
[00:10:20.800 --> 00:10:22.200]  我就慢慢的做
[00:10:22.200 --> 00:10:24.800]  有的我就跟着热点切换
[00:10:24.800 --> 00:10:26.300]  我都会跟大家就是
[00:10:26.300 --> 00:10:28.400]  从我认知的角度跟它结合
[00:10:28.400 --> 00:10:31.800]  但是我这一次开始要跟它重点展开的就是
[00:10:31.800 --> 00:10:33.600]  当市转变了
[00:10:33.600 --> 00:10:35.800]  价格很吓人
[00:10:35.800 --> 00:10:37.300]  你一定给我试第一
[00:10:37.300 --> 00:10:38.700]  但是价格吓人
[00:10:38.700 --> 00:10:41.700]  小周期没有行政发生变化是不行的
[00:10:41.700 --> 00:10:42.800]  我刚才讲的什么
[00:10:42.800 --> 00:10:44.100]  这里往下比如说下个月
[00:10:44.100 --> 00:10:45.500]  再往下打个下雨线
[00:10:45.500 --> 00:10:48.700]  但是周限出现阳暴音
[00:10:48.700 --> 00:10:49.500]  对吧
[00:10:49.500 --> 00:10:50.400]  那就是机会
[00:10:50.400 --> 00:10:52.100]  因为月限的驱时
[00:10:52.100 --> 00:10:56.300]  5和10和20已经趋于多的力量
[00:10:56.300 --> 00:10:58.200]  那么多的力量是什么
[00:10:58.200 --> 00:11:00.000]  小周期打到我行政板包
[00:11:00.000 --> 00:11:01.900]  那就会顺势而为
[00:11:01.900 --> 00:11:03.200]  我们再继续
[00:11:03.200 --> 00:11:06.600]  因为今年肯定会呈现这种
[00:11:06.600 --> 00:11:09.500]  这种方向的月限
[00:11:09.500 --> 00:11:10.600]  你看这个月的下跌
[00:11:10.600 --> 00:11:11.800]  大家可以看到
[00:11:11.800 --> 00:11:13.600]  这个月是价格往下
[00:11:13.600 --> 00:11:16.700]  但是它有没有把市带动变化
[00:11:16.700 --> 00:11:18.600]  反而因为价格的向下
[00:11:18.600 --> 00:11:20.100]  市还转多了
[00:11:20.100 --> 00:11:21.800]  所以这个位置告诉我
[00:11:21.800 --> 00:11:25.200]  是叫我们我们叫中长期机会的坑
[00:11:25.200 --> 00:11:28.600]  还是还是风险
[00:11:28.600 --> 00:11:30.900]  这就又回到我们不断模型的呀
[00:11:30.900 --> 00:11:31.500]  对吧
[00:11:31.500 --> 00:11:33.700]  我们说中期中长期就会有扭转
[00:11:33.700 --> 00:11:34.700]  有回彩有结构
[00:11:34.700 --> 00:11:35.400]  对不对
[00:11:35.400 --> 00:11:36.900]  那么所有的中长期
[00:11:36.900 --> 00:11:39.000]  以前我只跟他讲结构
[00:11:39.000 --> 00:11:40.400]  现在我就希望大家
[00:11:40.400 --> 00:11:42.600]  这个结构的重点
[00:11:42.600 --> 00:11:45.300]  能不能把市就月限的市
[00:11:45.300 --> 00:11:48.600]  中长期的模型就看中长期的市
[00:11:48.600 --> 00:11:49.900]  大家比较有意思没有
[00:11:49.900 --> 00:11:52.100]  甚至中期的模型也要看中长期
[00:11:52.100 --> 00:11:54.000]  月限的市
[00:11:54.000 --> 00:11:57.300]  再一个模型结构扭转ABC
[00:11:57.300 --> 00:11:59.600]  它能不能把这个中长期的市
[00:11:59.600 --> 00:12:01.300]  给转多
[00:12:01.300 --> 00:12:04.000]  能够转多这个模型
[00:12:04.000 --> 00:12:05.700]  才是真正的增量资金
[00:12:05.700 --> 00:12:07.500]  在这里做布局
[00:12:07.500 --> 00:12:09.600]  如果这个型很好
[00:12:09.600 --> 00:12:11.900]  但是市不能发生转变
[00:12:11.900 --> 00:12:14.800]  这个型没有任何意义
[00:12:14.800 --> 00:12:16.400]  反而容易亏钱
[00:12:16.400 --> 00:12:17.700]  就是我们说
[00:12:17.700 --> 00:12:19.600]  我把市放在第一位
[00:12:19.600 --> 00:12:21.400]  我现在这四个字
[00:12:21.400 --> 00:12:25.100]  市
[00:12:25.100 --> 00:12:28.300]  行
[00:12:28.300 --> 00:12:29.200]  这四个字
[00:12:29.200 --> 00:12:34.900]  等一下一下子脑子断片了
[00:12:34.900 --> 00:12:36.600]  风还有一个是
[00:12:36.600 --> 00:12:39.000]  市行筹风
[00:12:39.000 --> 00:12:39.600]  对
[00:12:39.600 --> 00:12:43.400]  我说量价这两个字不对
[00:12:43.400 --> 00:12:44.100]  大家可以看
[00:12:44.100 --> 00:12:46.700]  就是我觉得这四个字精华
[00:12:46.700 --> 00:12:49.700]  市我把市放在第一位
[00:12:49.700 --> 00:12:52.900]  我把筹放在第二位
[00:12:52.900 --> 00:12:55.500]  我把型放在第三位
[00:12:55.500 --> 00:12:57.300]  然后还有很重要的是什么
[00:12:57.300 --> 00:12:59.000]  风口
[00:12:59.000 --> 00:13:00.100]  大家会发现
[00:13:00.100 --> 00:13:05.100]  型已经把它的重要性放在后端了
[00:13:05.100 --> 00:13:05.800]  为什么呢
[00:13:05.800 --> 00:13:07.000]  我前两天
[00:13:07.000 --> 00:13:07.700]  一个股
[00:13:07.700 --> 00:13:12.500]  就是这有几个股要把我打通的
[00:13:12.500 --> 00:13:13.800]  我就直接跟大家分享
[00:13:13.800 --> 00:13:15.000]  因为我们现在在讲市
[00:13:15.000 --> 00:13:16.400]  对吧
[00:13:16.400 --> 00:13:19.800]  型是可以因为筹和市
[00:13:19.800 --> 00:13:22.800]  和风口发生变化
[00:13:22.800 --> 00:13:24.200]  这里面最大的变化
[00:13:24.200 --> 00:13:24.800]  大家知道是什么
[00:13:24.800 --> 00:13:27.200]  就是型
[00:13:27.200 --> 00:13:31.300]  就是最容易发生变化的是型
[00:13:31.300 --> 00:13:34.000]  风口来了可以变化它
[00:13:34.000 --> 00:13:34.900]  大家发现吧
[00:13:34.900 --> 00:13:35.700]  比如风口来了
[00:13:35.700 --> 00:13:36.500]  形态没准备好
[00:13:36.500 --> 00:13:38.200]  它也能有个小波段
[00:13:38.200 --> 00:13:40.600]  只是你像前段时间的那个万安科技
[00:13:40.600 --> 00:13:40.900]  对吧
[00:13:40.900 --> 00:13:42.800]  风口是低空经济
[00:13:42.800 --> 00:13:44.900]  但它风是有风口
[00:13:44.900 --> 00:13:47.300]  它的形态量价结构没有那么好
[00:13:47.300 --> 00:13:49.200]  它也能涨30个点
[00:13:49.200 --> 00:13:51.500]  但是如果低空经济的那个型
[00:13:51.500 --> 00:13:52.300]  没有风口
[00:13:52.300 --> 00:13:54.500]  那个型就会无限延伸
[00:13:54.500 --> 00:13:55.700]  明白我意思不明白
[00:13:55.700 --> 00:13:57.100]  那么反过来我跟大家讲
[00:13:57.100 --> 00:13:59.700]  筹码
[00:13:59.700 --> 00:14:00.800]  筹码如果说什么
[00:14:00.800 --> 00:14:03.000]  就是突然之间放量直接扭转
[00:14:03.000 --> 00:14:05.600]  因为这个风是可以改变这个型
[00:14:05.600 --> 00:14:06.300]  对不对
[00:14:06.300 --> 00:14:07.700]  是可以改变这个型
[00:14:07.700 --> 00:14:09.000]  所以我觉得最重要的
[00:14:09.000 --> 00:14:10.300]  说实话做股票
[00:14:10.300 --> 00:14:12.000]  市是第一位的
[00:14:12.000 --> 00:14:14.200]  必须多头
[00:14:14.200 --> 00:14:17.900]  但是真正核心的是这个字和这个字
[00:14:17.900 --> 00:14:19.200]  大家去感受吧
[00:14:19.200 --> 00:14:20.600]  我觉得这个字我们是
